"area","provincia","id_fact_ci","total_cursos","volumen_capacitados","total_horas","carga_horaria","anio","num_cap","prediction(num_cap)"
"administración y legislación","guayas",674.0,5.0,39.0,72.0,24.0,2021.0,3.0,3.0
"procesos industriales","guayas",677.0,5.0,39.0,64.0,16.0,2021.0,4.0,4.0
"procesos industriales","tungurahua",682.0,3.0,110.0,80.0,40.0,2021.0,2.0,2.0
"administración y legislación","tungurahua",684.0,3.0,110.0,120.0,40.0,2021.0,3.0,3.0
"procesos industriales","loja",685.0,1.0,2.0,32.0,16.0,2021.0,2.0,2.0
"finanzas comercio y ventas","pichincha",687.0,1.0,1.0,40.0,40.0,2021.0,1.0,1.0
"servicios socioculturales y a la comunidad","manabi",690.0,2.0,58.0,320.0,40.0,2021.0,8.0,8.090909090909092
"administración y legislación","pichincha",694.0,2.0,44.0,800.0,40.0,2021.0,20.0,19.0
"educación y capacitación","pichincha",695.0,2.0,785.0,12736.0,32.0,2021.0,398.0,398.3333333333333
"finanzas comercio y ventas","sin provincia",697.0,3.0,255.0,4480.0,40.0,2021.0,112.0,109.66666666666667
"administración y legislación","tungurahua",698.0,1.0,1.0,16.0,16.0,2021.0,1.0,1.0
"educación y capacitación","pichincha",704.0,2.0,2.0,40.0,40.0,2021.0,1.0,1.0
"procesos industriales","manabi",711.0,4.0,11.0,120.0,40.0,2021.0,3.0,3.0
"procesos industriales","manabi",714.0,4.0,11.0,120.0,40.0,2021.0,3.0,3.0
"administración y legislación","manabi",716.0,2.0,140.0,2240.0,32.0,2021.0,70.0,73.33333333333333
"comunicación y artes gráficas","el oro",717.0,2.0,31.0,600.0,40.0,2021.0,15.0,14.8
"comunicación y artes gráficas","el oro",718.0,2.0,31.0,640.0,40.0,2021.0,16.0,16.0
"procesos industriales","pichincha",726.0,2.0,11.0,280.0,40.0,2021.0,7.0,7.0
"educación y capacitación","azuay",727.0,5.0,61.0,320.0,40.0,2021.0,8.0,8.090909090909092
"forestal ecología y medio ambiente","azuay",728.0,5.0,61.0,240.0,40.0,2021.0,6.0,6.0
"procesos industriales","los rios",732.0,1.0,11.0,88.0,8.0,2021.0,11.0,9.5
"educación y capacitación","pichincha",733.0,1.0,107.0,1712.0,16.0,2022.0,107.0,111.5
"administración y legislación","pichincha",734.0,1.0,3.0,120.0,40.0,2022.0,3.0,3.0
"procesos industriales","los rios",735.0,2.0,165.0,3120.0,24.0,2022.0,130.0,148.5
"servicios socioculturales y a la comunidad","los rios",736.0,2.0,165.0,1400.0,40.0,2022.0,35.0,35.5
"electricidad y electrónica","pichincha",740.0,2.0,22.0,576.0,32.0,2022.0,18.0,19.0
"electricidad y electrónica","imbabura",742.0,1.0,5.0,160.0,32.0,2022.0,5.0,4.5
"educación y capacitación","pichincha",747.0,3.0,53.0,992.0,32.0,2022.0,31.0,28.666666666666668
"procesos industriales","guayas",754.0,6.0,543.0,5280.0,40.0,2022.0,132.0,132.0
"procesos industriales","guayas",755.0,6.0,543.0,40.0,40.0,2022.0,1.0,1.0
"electricidad y electrónica","guayas",757.0,1.0,26.0,832.0,32.0,2022.0,26.0,21.0
"procesos industriales","pichincha",761.0,2.0,13.0,176.0,16.0,2022.0,11.0,11.0
"forestal ecología y medio ambiente","sin provincia",764.0,3.0,3.0,24.0,24.0,2022.0,1.0,1.0
"tecnologías de la información y comunicación","pichincha",765.0,8.0,248.0,48.0,8.0,2022.0,6.0,6.0
"procesos industriales","pichincha",768.0,8.0,248.0,944.0,8.0,2022.0,118.0,150.25
"forestal ecología y medio ambiente","pichincha",770.0,8.0,248.0,240.0,16.0,2022.0,15.0,14.0
"forestal ecología y medio ambiente","pichincha",779.0,1.0,3.0,48.0,16.0,2022.0,3.0,3.0
"administración y legislación","guayas",780.0,7.0,1107.0,3568.0,8.0,2022.0,446.0,337.0
"servicios socioculturales y a la comunidad","pichincha",783.0,1.0,14.0,560.0,40.0,2022.0,14.0,14.8
"procesos industriales","pichincha",784.0,1.0,27.0,1080.0,40.0,2022.0,27.0,28.0
"procesos industriales","pichincha",786.0,2.0,27.0,624.0,24.0,2022.0,26.0,26.0
"administración y legislación","loja",787.0,1.0,16.0,384.0,24.0,2022.0,16.0,16.0
"finanzas comercio y ventas","pichincha",790.0,1.0,32.0,1280.0,40.0,2022.0,32.0,31.0
"procesos industriales","guayas",792.0,2.0,46.0,1120.0,40.0,2022.0,28.0,28.0
"administración y legislación","pichincha",800.0,3.0,120.0,3880.0,40.0,2022.0,97.0,95.5
"procesos industriales","pichincha",801.0,3.0,120.0,160.0,16.0,2022.0,10.0,10.0
"alimentación gastronomía y turismo","pichincha",802.0,1.0,3.0,120.0,40.0,2022.0,3.0,3.0
"procesos industriales","guayas",803.0,3.0,18.0,320.0,40.0,2022.0,8.0,8.090909090909092
"educación y capacitación","guayas",804.0,3.0,18.0,16.0,16.0,2022.0,1.0,1.0
"administración y legislación","pichincha",805.0,6.0,377.0,6464.0,32.0,2022.0,202.0,160.5
"administración y legislación","pichincha",806.0,6.0,377.0,3600.0,24.0,2022.0,150.0,148.5
"procesos industriales","napo",814.0,3.0,16.0,128.0,16.0,2022.0,8.0,7.166666666666667
"procesos industriales","napo",815.0,3.0,16.0,160.0,40.0,2022.0,4.0,4.0
"transporte y logística","chimborazo",817.0,2.0,175.0,3400.0,40.0,2022.0,85.0,87.2
"administración y legislación","cañar",819.0,1.0,4.0,128.0,32.0,2022.0,4.0,4.5
"electricidad y electrónica","guayas",821.0,1.0,10.0,400.0,40.0,2022.0,10.0,10.0
"procesos industriales","pichincha",825.0,2.0,3.0,80.0,40.0,2022.0,2.0,2.0
"procesos industriales","santa elena",827.0,2.0,21.0,440.0,40.0,2022.0,11.0,11.0
"mecánica industrial y minería","imbabura",831.0,2.0,7.0,160.0,40.0,2022.0,4.0,4.0
"administración y legislación","manabi",834.0,2.0,339.0,6760.0,40.0,2022.0,169.0,150.66666666666666
"servicios socioculturales y a la comunidad","chimborazo",840.0,3.0,86.0,1160.0,40.0,2022.0,29.0,28.0
"servicios socioculturales y a la comunidad","chimborazo",841.0,3.0,86.0,1160.0,40.0,2022.0,29.0,28.0
"servicios socioculturales y a la comunidad","chimborazo",842.0,3.0,86.0,1120.0,40.0,2022.0,28.0,28.0
"educación y capacitación","pichincha",844.0,1.0,2.0,80.0,40.0,2022.0,2.0,2.0
"procesos industriales","guayas",846.0,4.0,126.0,152.0,8.0,2022.0,19.0,19.5
"electricidad y electrónica","sin provincia",847.0,1.0,2.0,64.0,32.0,2022.0,2.0,2.0
"procesos industriales","tungurahua",848.0,2.0,41.0,64.0,8.0,2022.0,8.0,9.5
"educación y capacitación","tungurahua",849.0,2.0,41.0,528.0,16.0,2022.0,33.0,29.5
"alimentación gastronomía y turismo","manabi",852.0,9.0,969.0,520.0,40.0,2022.0,13.0,13.0
"procesos industriales","manabi",854.0,9.0,969.0,4944.0,16.0,2022.0,309.0,265.5
"tecnologías de la información y comunicación","guayas",858.0,1.0,12.0,480.0,40.0,2022.0,12.0,12.0
"servicios socioculturales y a la comunidad","tungurahua",860.0,1.0,7.0,280.0,40.0,2022.0,7.0,7.0
"alimentación gastronomía y turismo","guayas",868.0,1.0,3.0,120.0,40.0,2022.0,3.0,3.0
"procesos industriales","cotopaxi",874.0,3.0,24.0,176.0,16.0,2022.0,11.0,11.0
"tecnologías de la información y comunicación","imbabura",875.0,1.0,1.0,40.0,40.0,2022.0,1.0,1.0
"administración y legislación","tungurahua",881.0,4.0,8.0,32.0,8.0,2022.0,4.0,3.0
"administración y legislación","tungurahua",882.0,4.0,8.0,64.0,32.0,2022.0,2.0,2.0
"finanzas comercio y ventas","tungurahua",884.0,4.0,8.0,40.0,40.0,2022.0,1.0,1.0
"educación y capacitación","guayas",889.0,1.0,39.0,1560.0,40.0,2022.0,39.0,40.0
"procesos industriales","guayas",891.0,2.0,12.0,176.0,16.0,2022.0,11.0,11.0
"educación y capacitación","pichincha",893.0,1.0,3.0,120.0,40.0,2022.0,3.0,3.0
"servicios socioculturales y a la comunidad","pichincha",894.0,2.0,2.0,8.0,8.0,2022.0,1.0,1.0
"educación y capacitación","pichincha",895.0,2.0,2.0,24.0,24.0,2022.0,1.0,1.0
"educación y capacitación","pichincha",897.0,1.0,23.0,920.0,40.0,2022.0,23.0,23.0
"electricidad y electrónica","pichincha",904.0,3.0,3.0,32.0,32.0,2022.0,1.0,1.0
"procesos industriales","pichincha",905.0,3.0,3.0,16.0,16.0,2022.0,1.0,1.0
"procesos industriales","tungurahua",907.0,6.0,441.0,9120.0,40.0,2022.0,228.0,254.0
"forestal ecología y medio ambiente","tungurahua",908.0,6.0,441.0,4480.0,40.0,2022.0,112.0,118.5
"servicios socioculturales y a la comunidad","pichincha",911.0,1.0,7.0,280.0,40.0,2022.0,7.0,7.0
"educación y capacitación","pichincha",918.0,1.0,2.0,80.0,40.0,2022.0,2.0,2.0
"procesos industriales","santa elena",919.0,7.0,1181.0,2760.0,8.0,2022.0,345.0,337.0
"administración y legislación","santa elena",920.0,7.0,1181.0,5856.0,32.0,2022.0,183.0,162.33333333333334
"procesos industriales","santa elena",924.0,7.0,1181.0,4800.0,40.0,2022.0,120.0,118.5
"procesos industriales","tungurahua",927.0,3.0,19.0,200.0,40.0,2022.0,5.0,5.0
"procesos industriales","tungurahua",928.0,3.0,19.0,400.0,40.0,2022.0,10.0,11.25
"servicios socioculturales y a la comunidad","el oro",929.0,1.0,2.0,80.0,40.0,2022.0,2.0,2.0
"procesos industriales","pichincha",934.0,3.0,84.0,384.0,8.0,2022.0,48.0,56.0
"administración y legislación","pichincha",939.0,5.0,94.0,2280.0,40.0,2020.0,57.0,56.333333333333336
"educación y capacitación","pichincha",948.0,3.0,17.0,120.0,40.0,2020.0,3.0,3.0
"educación y capacitación","pichincha",949.0,3.0,17.0,240.0,40.0,2020.0,6.0,6.0
"educación y capacitación","pichincha",950.0,3.0,17.0,320.0,40.0,2020.0,8.0,8.090909090909092
"educación y capacitación","guayas",952.0,3.0,464.0,14560.0,40.0,2020.0,364.0,398.3333333333333
"administración y legislación","pichincha",953.0,2.0,10.0,200.0,40.0,2020.0,5.0,5.0
"procesos industriales","el oro",959.0,5.0,908.0,48.0,8.0,2020.0,6.0,6.0
"procesos industriales","el oro",961.0,5.0,908.0,1184.0,16.0,2020.0,74.0,68.5
"tecnologías de la información y comunicación","guayas",965.0,2.0,25.0,400.0,40.0,2020.0,10.0,10.0
"servicios socioculturales y a la comunidad","cañar",968.0,1.0,285.0,4560.0,16.0,2020.0,285.0,233.0
"educación y capacitación","pichincha",969.0,2.0,455.0,12040.0,40.0,2020.0,301.0,270.0
"educación y capacitación","pichincha",972.0,3.0,507.0,11280.0,40.0,2020.0,282.0,270.0
"transporte y logística","chimborazo",976.0,6.0,1455.0,40.0,40.0,2020.0,1.0,1.0
"transporte y logística","chimborazo",977.0,6.0,1455.0,40.0,40.0,2020.0,1.0,1.0
"administración y legislación","chimborazo",978.0,6.0,1455.0,25888.0,32.0,2020.0,809.0,1411.0
"administración y legislación","chimborazo",980.0,6.0,1455.0,760.0,40.0,2020.0,19.0,19.0
"administración y legislación","chimborazo",981.0,6.0,1455.0,22800.0,40.0,2020.0,570.0,1411.0
"procesos industriales","imbabura",985.0,3.0,168.0,176.0,8.0,2020.0,22.0,19.5
"procesos industriales","santo domingo de los tsachilas",988.0,2.0,3.0,80.0,40.0,2020.0,2.0,2.0
"administración y legislación","pichincha",989.0,1.0,2.0,32.0,16.0,2020.0,2.0,2.0
"procesos industriales","pichincha",992.0,6.0,1162.0,480.0,16.0,2020.0,30.0,29.5
"procesos industriales","napo",998.0,3.0,170.0,120.0,8.0,2020.0,15.0,19.5
"procesos industriales","napo",999.0,3.0,170.0,720.0,24.0,2020.0,30.0,31.5
"transporte y logística","pichincha",1001.0,3.0,101.0,560.0,40.0,2020.0,14.0,14.8
"forestal ecología y medio ambiente","pichincha",1002.0,3.0,101.0,800.0,16.0,2020.0,50.0,54.333333333333336
"forestal ecología y medio ambiente","pichincha",1003.0,3.0,101.0,1480.0,40.0,2020.0,37.0,35.5
"educación y capacitación","cotopaxi",1004.0,2.0,144.0,3880.0,40.0,2020.0,97.0,95.5
"procesos industriales","cotopaxi",1005.0,2.0,144.0,752.0,16.0,2020.0,47.0,45.666666666666664
"procesos industriales","cotopaxi",1010.0,3.0,542.0,4440.0,40.0,2020.0,111.0,109.66666666666667
"forestal ecología y medio ambiente","chimborazo",1012.0,1.0,2.0,32.0,16.0,2020.0,2.0,2.0
"servicios socioculturales y a la comunidad","pichincha",1013.0,1.0,84.0,3360.0,40.0,2020.0,84.0,87.2
"finanzas comercio y ventas","pichincha",1015.0,2.0,1216.0,29064.0,24.0,2020.0,1211.0,567.3
"tecnologías de la información y comunicación","pichincha",1016.0,1.0,495.0,19800.0,40.0,2020.0,495.0,567.3
"procesos industriales","sin provincia",1019.0,9.0,195.0,64.0,16.0,2020.0,4.0,4.0
"procesos industriales","sin provincia",1021.0,9.0,195.0,1712.0,16.0,2020.0,107.0,111.5
"educación y capacitación","el oro",1022.0,2.0,10.0,32.0,32.0,2020.0,1.0,1.0
"educación y capacitación","el oro",1023.0,2.0,10.0,216.0,24.0,2020.0,9.0,9.666666666666666
"mecánica automotriz","pichincha",1026.0,1.0,4.0,160.0,40.0,2020.0,4.0,4.0
"procesos industriales","guayas",1034.0,4.0,1524.0,64.0,16.0,2020.0,4.0,4.0
"procesos industriales","guayas",1035.0,4.0,1524.0,4480.0,16.0,2020.0,280.0,233.0
"administración y legislación","el oro",1037.0,1.0,1.0,40.0,40.0,2020.0,1.0,1.0
"procesos industriales","manabi",1040.0,3.0,56.0,240.0,40.0,2020.0,6.0,6.0
"administración y legislación","pichincha",1042.0,3.0,279.0,2784.0,24.0,2020.0,116.0,148.5
"finanzas comercio y ventas","pichincha",1044.0,3.0,279.0,3840.0,24.0,2020.0,160.0,148.5
"procesos industriales","pichincha",1048.0,1.0,34.0,1360.0,40.0,2020.0,34.0,33.5
"administración y legislación","pichincha",1051.0,6.0,190.0,160.0,40.0,2020.0,4.0,4.0
"administración y legislación","pichincha",1052.0,6.0,190.0,880.0,40.0,2020.0,22.0,22.0
"administración y legislación","pichincha",1054.0,6.0,190.0,200.0,40.0,2020.0,5.0,5.0
"procesos industriales","pichincha",1055.0,6.0,190.0,6200.0,40.0,2020.0,155.0,160.5
"administración y legislación","tungurahua",1059.0,4.0,164.0,192.0,16.0,2020.0,12.0,11.0
"administración y legislación","tungurahua",1061.0,4.0,164.0,16.0,16.0,2020.0,1.0,1.0
"mecánica industrial y minería","pichincha",1064.0,1.0,9.0,360.0,40.0,2020.0,9.0,9.0
"procesos industriales","pichincha",1068.0,6.0,294.0,192.0,8.0,2020.0,24.0,19.5
"procesos industriales","pichincha",1069.0,6.0,294.0,128.0,16.0,2020.0,8.0,7.166666666666667
"procesos industriales","pichincha",1070.0,6.0,294.0,128.0,16.0,2020.0,8.0,7.166666666666667
"procesos industriales","pichincha",1071.0,6.0,294.0,3456.0,16.0,2020.0,216.0,233.0
"procesos industriales","pichincha",1073.0,6.0,294.0,16.0,16.0,2020.0,1.0,1.0
"procesos industriales","pichincha",1076.0,8.0,4788.0,17440.0,40.0,2020.0,436.0,1411.0
"procesos industriales","pichincha",1080.0,8.0,4788.0,7744.0,16.0,2020.0,484.0,1411.0
"educación y capacitación","el oro",1086.0,3.0,1054.0,10320.0,40.0,2020.0,258.0,270.0
"transporte y logística","el oro",1088.0,3.0,1054.0,9080.0,40.0,2020.0,227.0,254.0
"electricidad y electrónica","pichincha",1091.0,3.0,150.0,2520.0,40.0,2020.0,63.0,63.666666666666664
"electricidad y electrónica","pichincha",1092.0,3.0,150.0,1640.0,40.0,2020.0,41.0,41.5
"educación y capacitación","pichincha",1094.0,3.0,665.0,2624.0,32.0,2020.0,82.0,73.33333333333333
"construcción e infraestructura","azuay",1096.0,1.0,166.0,3984.0,24.0,2020.0,166.0,148.5
