"area","provincia","num_cap","total_cursos","volumen_capacitados","carga_horaria","anio","total_horas","prediction(total_horas)"
"electricidad y electrónica","pichincha",18.0,2.0,22.0,32.0,2022.0,576.0,618.6666666666666
"electricidad y electrónica","imbabura",5.0,1.0,5.0,32.0,2022.0,160.0,160.0
"educación y capacitación","pichincha",31.0,3.0,53.0,32.0,2022.0,992.0,1120.0
"procesos industriales","guayas",132.0,6.0,543.0,40.0,2022.0,5280.0,5093.333333333333
"procesos industriales","guayas",1.0,6.0,543.0,40.0,2022.0,40.0,40.0
"electricidad y electrónica","guayas",26.0,1.0,26.0,32.0,2022.0,832.0,917.3333333333334
"procesos industriales","pichincha",11.0,2.0,13.0,16.0,2022.0,176.0,176.0
"forestal ecología y medio ambiente","sin provincia",1.0,3.0,3.0,24.0,2022.0,24.0,24.0
"tecnologías de la información y comunicación","pichincha",6.0,8.0,248.0,8.0,2022.0,48.0,48.0
"procesos industriales","pichincha",118.0,8.0,248.0,8.0,2022.0,944.0,888.0
"forestal ecología y medio ambiente","pichincha",15.0,8.0,248.0,16.0,2022.0,240.0,224.0
"forestal ecología y medio ambiente","pichincha",3.0,1.0,3.0,16.0,2022.0,48.0,48.0
"administración y legislación","guayas",446.0,7.0,1107.0,8.0,2022.0,3568.0,2728.0
"servicios socioculturales y a la comunidad","pichincha",14.0,1.0,14.0,40.0,2022.0,560.0,533.3333333333334
"procesos industriales","pichincha",27.0,1.0,27.0,40.0,2022.0,1080.0,1048.0
"procesos industriales","pichincha",26.0,2.0,27.0,24.0,2022.0,624.0,624.0
"administración y legislación","loja",16.0,1.0,16.0,24.0,2022.0,384.0,384.0
"finanzas comercio y ventas","pichincha",32.0,1.0,32.0,40.0,2022.0,1280.0,1240.0
"procesos industriales","guayas",28.0,2.0,46.0,40.0,2022.0,1120.0,1120.0
"administración y legislación","pichincha",97.0,3.0,120.0,40.0,2022.0,3880.0,3826.6666666666665
"procesos industriales","pichincha",10.0,3.0,120.0,16.0,2022.0,160.0,160.0
"alimentación gastronomía y turismo","pichincha",3.0,1.0,3.0,40.0,2022.0,120.0,120.0
"procesos industriales","guayas",8.0,3.0,18.0,40.0,2022.0,320.0,320.0
"educación y capacitación","guayas",1.0,3.0,18.0,16.0,2022.0,16.0,16.0
"administración y legislación","pichincha",202.0,6.0,377.0,32.0,2022.0,6464.0,8170.0
"administración y legislación","pichincha",150.0,6.0,377.0,24.0,2022.0,3600.0,3112.0
"procesos industriales","napo",8.0,3.0,16.0,16.0,2022.0,128.0,112.0
"procesos industriales","napo",4.0,3.0,16.0,40.0,2022.0,160.0,160.0
"transporte y logística","chimborazo",85.0,2.0,175.0,40.0,2022.0,3400.0,3053.3333333333335
"administración y legislación","cañar",4.0,1.0,4.0,32.0,2022.0,128.0,128.0
"electricidad y electrónica","guayas",10.0,1.0,10.0,40.0,2022.0,400.0,400.0
"procesos industriales","pichincha",2.0,2.0,3.0,40.0,2022.0,80.0,80.0
"procesos industriales","santa elena",11.0,2.0,21.0,40.0,2022.0,440.0,412.0
"mecánica industrial y minería","imbabura",4.0,2.0,7.0,40.0,2022.0,160.0,160.0
"administración y legislación","manabi",169.0,2.0,339.0,40.0,2022.0,6760.0,6420.0
"servicios socioculturales y a la comunidad","chimborazo",29.0,3.0,86.0,40.0,2022.0,1160.0,1160.0
"servicios socioculturales y a la comunidad","chimborazo",29.0,3.0,86.0,40.0,2022.0,1160.0,1160.0
"servicios socioculturales y a la comunidad","chimborazo",28.0,3.0,86.0,40.0,2022.0,1120.0,1120.0
"educación y capacitación","pichincha",2.0,1.0,2.0,40.0,2022.0,80.0,80.0
"procesos industriales","guayas",19.0,4.0,126.0,8.0,2022.0,152.0,156.0
"electricidad y electrónica","sin provincia",2.0,1.0,2.0,32.0,2022.0,64.0,64.0
"procesos industriales","tungurahua",8.0,2.0,41.0,8.0,2022.0,64.0,64.0
"educación y capacitación","tungurahua",33.0,2.0,41.0,16.0,2022.0,528.0,544.0
"alimentación gastronomía y turismo","manabi",13.0,9.0,969.0,40.0,2022.0,520.0,520.0
"procesos industriales","manabi",309.0,9.0,969.0,16.0,2022.0,4944.0,4208.0
"tecnologías de la información y comunicación","guayas",12.0,1.0,12.0,40.0,2022.0,480.0,412.0
"servicios socioculturales y a la comunidad","tungurahua",7.0,1.0,7.0,40.0,2022.0,280.0,280.0
"alimentación gastronomía y turismo","guayas",3.0,1.0,3.0,40.0,2022.0,120.0,120.0
"procesos industriales","cotopaxi",11.0,3.0,24.0,16.0,2022.0,176.0,176.0
"tecnologías de la información y comunicación","imbabura",1.0,1.0,1.0,40.0,2022.0,40.0,40.0
"administración y legislación","tungurahua",4.0,4.0,8.0,8.0,2022.0,32.0,36.0
"administración y legislación","tungurahua",2.0,4.0,8.0,32.0,2022.0,64.0,64.0
"finanzas comercio y ventas","tungurahua",1.0,4.0,8.0,40.0,2022.0,40.0,40.0
"educación y capacitación","guayas",39.0,1.0,39.0,40.0,2022.0,1560.0,1560.0
"procesos industriales","guayas",11.0,2.0,12.0,16.0,2022.0,176.0,176.0
"educación y capacitación","pichincha",3.0,1.0,3.0,40.0,2022.0,120.0,120.0
"servicios socioculturales y a la comunidad","pichincha",1.0,2.0,2.0,8.0,2022.0,8.0,8.0
"educación y capacitación","pichincha",1.0,2.0,2.0,24.0,2022.0,24.0,24.0
"educación y capacitación","pichincha",23.0,1.0,23.0,40.0,2022.0,920.0,920.0
"electricidad y electrónica","pichincha",1.0,3.0,3.0,32.0,2022.0,32.0,32.0
"procesos industriales","pichincha",1.0,3.0,3.0,16.0,2022.0,16.0,16.0
"procesos industriales","tungurahua",228.0,6.0,441.0,40.0,2022.0,9120.0,9708.0
"forestal ecología y medio ambiente","tungurahua",112.0,6.0,441.0,40.0,2022.0,4480.0,4094.8571428571427
"servicios socioculturales y a la comunidad","pichincha",7.0,1.0,7.0,40.0,2022.0,280.0,280.0
"educación y capacitación","pichincha",2.0,1.0,2.0,40.0,2022.0,80.0,80.0
"procesos industriales","santa elena",345.0,7.0,1181.0,8.0,2022.0,2760.0,2728.0
"administración y legislación","santa elena",183.0,7.0,1181.0,32.0,2022.0,5856.0,7290.0
"procesos industriales","santa elena",120.0,7.0,1181.0,40.0,2022.0,4800.0,4740.0
"procesos industriales","tungurahua",5.0,3.0,19.0,40.0,2022.0,200.0,200.0
"procesos industriales","tungurahua",10.0,3.0,19.0,40.0,2022.0,400.0,400.0
"servicios socioculturales y a la comunidad","el oro",2.0,1.0,2.0,40.0,2022.0,80.0,80.0
"procesos industriales","pichincha",48.0,3.0,84.0,8.0,2022.0,384.0,456.0
"administración y legislación","pichincha",57.0,5.0,94.0,40.0,2020.0,2280.0,2440.0
"educación y capacitación","pichincha",3.0,3.0,17.0,40.0,2020.0,120.0,120.0
"educación y capacitación","pichincha",6.0,3.0,17.0,40.0,2020.0,240.0,240.0
"educación y capacitación","pichincha",8.0,3.0,17.0,40.0,2020.0,320.0,320.0
"educación y capacitación","guayas",364.0,3.0,464.0,40.0,2020.0,14560.0,14440.0
"administración y legislación","pichincha",5.0,2.0,10.0,40.0,2020.0,200.0,200.0
"procesos industriales","el oro",6.0,5.0,908.0,8.0,2020.0,48.0,48.0
"procesos industriales","el oro",74.0,5.0,908.0,16.0,2020.0,1184.0,1264.0
"tecnologías de la información y comunicación","guayas",10.0,2.0,25.0,40.0,2020.0,400.0,400.0
"servicios socioculturales y a la comunidad","cañar",285.0,1.0,285.0,16.0,2020.0,4560.0,4208.0
"educación y capacitación","pichincha",301.0,2.0,455.0,40.0,2020.0,12040.0,9708.0
"educación y capacitación","pichincha",282.0,3.0,507.0,40.0,2020.0,11280.0,9708.0
"transporte y logística","chimborazo",1.0,6.0,1455.0,40.0,2020.0,40.0,40.0
"transporte y logística","chimborazo",1.0,6.0,1455.0,40.0,2020.0,40.0,40.0
"administración y legislación","chimborazo",809.0,6.0,1455.0,32.0,2020.0,25888.0,26656.0
"administración y legislación","chimborazo",19.0,6.0,1455.0,40.0,2020.0,760.0,773.3333333333334
"administración y legislación","chimborazo",570.0,6.0,1455.0,40.0,2020.0,22800.0,26656.0
"procesos industriales","imbabura",22.0,3.0,168.0,8.0,2020.0,176.0,156.0
"procesos industriales","santo domingo de los tsachilas",2.0,2.0,3.0,40.0,2020.0,80.0,80.0
"administración y legislación","pichincha",2.0,1.0,2.0,16.0,2020.0,32.0,32.0
"procesos industriales","pichincha",30.0,6.0,1162.0,16.0,2020.0,480.0,472.0
"procesos industriales","napo",15.0,3.0,170.0,8.0,2020.0,120.0,106.0
"procesos industriales","napo",30.0,3.0,170.0,24.0,2020.0,720.0,696.0
"transporte y logística","pichincha",14.0,3.0,101.0,40.0,2020.0,560.0,520.0
"forestal ecología y medio ambiente","pichincha",50.0,3.0,101.0,16.0,2020.0,800.0,757.3333333333334
"forestal ecología y medio ambiente","pichincha",37.0,3.0,101.0,40.0,2020.0,1480.0,1420.0
"educación y capacitación","cotopaxi",97.0,2.0,144.0,40.0,2020.0,3880.0,3826.6666666666665
"procesos industriales","cotopaxi",47.0,2.0,144.0,16.0,2020.0,752.0,757.3333333333334
"procesos industriales","cotopaxi",111.0,3.0,542.0,40.0,2020.0,4440.0,4094.8571428571427
"forestal ecología y medio ambiente","chimborazo",2.0,1.0,2.0,16.0,2020.0,32.0,32.0
"servicios socioculturales y a la comunidad","pichincha",84.0,1.0,84.0,40.0,2020.0,3360.0,3053.3333333333335
"finanzas comercio y ventas","pichincha",1211.0,2.0,1216.0,24.0,2020.0,29064.0,12789.333333333334
"tecnologías de la información y comunicación","pichincha",495.0,1.0,495.0,40.0,2020.0,19800.0,19586.666666666668
"procesos industriales","sin provincia",4.0,9.0,195.0,16.0,2020.0,64.0,64.0
"procesos industriales","sin provincia",107.0,9.0,195.0,16.0,2020.0,1712.0,1616.0
"educación y capacitación","el oro",1.0,2.0,10.0,32.0,2020.0,32.0,32.0
"educación y capacitación","el oro",9.0,2.0,10.0,24.0,2020.0,216.0,232.0
"mecánica automotriz","pichincha",4.0,1.0,4.0,40.0,2020.0,160.0,160.0
"procesos industriales","guayas",4.0,4.0,1524.0,16.0,2020.0,64.0,64.0
"procesos industriales","guayas",280.0,4.0,1524.0,16.0,2020.0,4480.0,4208.0
"administración y legislación","el oro",1.0,1.0,1.0,40.0,2020.0,40.0,40.0
"procesos industriales","manabi",6.0,3.0,56.0,40.0,2020.0,240.0,240.0
"administración y legislación","pichincha",116.0,3.0,279.0,24.0,2020.0,2784.0,3112.0
"finanzas comercio y ventas","pichincha",160.0,3.0,279.0,24.0,2020.0,3840.0,3112.0
"procesos industriales","pichincha",34.0,1.0,34.0,40.0,2020.0,1360.0,1360.0
"administración y legislación","pichincha",4.0,6.0,190.0,40.0,2020.0,160.0,160.0
"administración y legislación","pichincha",22.0,6.0,190.0,40.0,2020.0,880.0,880.0
"administración y legislación","pichincha",5.0,6.0,190.0,40.0,2020.0,200.0,200.0
"procesos industriales","pichincha",155.0,6.0,190.0,40.0,2020.0,6200.0,5970.0
"administración y legislación","tungurahua",12.0,4.0,164.0,16.0,2020.0,192.0,192.0
"administración y legislación","tungurahua",1.0,4.0,164.0,16.0,2020.0,16.0,16.0
"mecánica industrial y minería","pichincha",9.0,1.0,9.0,40.0,2020.0,360.0,348.0
"procesos industriales","pichincha",24.0,6.0,294.0,8.0,2020.0,192.0,202.66666666666666
"procesos industriales","pichincha",8.0,6.0,294.0,16.0,2020.0,128.0,112.0
"procesos industriales","pichincha",8.0,6.0,294.0,16.0,2020.0,128.0,112.0
"procesos industriales","pichincha",216.0,6.0,294.0,16.0,2020.0,3456.0,3109.3333333333335
"procesos industriales","pichincha",1.0,6.0,294.0,16.0,2020.0,16.0,16.0
"procesos industriales","pichincha",436.0,8.0,4788.0,40.0,2020.0,17440.0,42760.0
"procesos industriales","pichincha",484.0,8.0,4788.0,16.0,2020.0,7744.0,7740.0
"educación y capacitación","el oro",258.0,3.0,1054.0,40.0,2020.0,10320.0,9708.0
"transporte y logística","el oro",227.0,3.0,1054.0,40.0,2020.0,9080.0,9708.0
"electricidad y electrónica","pichincha",63.0,3.0,150.0,40.0,2020.0,2520.0,2546.6666666666665
"electricidad y electrónica","pichincha",41.0,3.0,150.0,40.0,2020.0,1640.0,1613.3333333333333
"educación y capacitación","pichincha",82.0,3.0,665.0,32.0,2020.0,2624.0,3053.3333333333335
"construcción e infraestructura","azuay",166.0,1.0,166.0,24.0,2020.0,3984.0,3112.0
