"area","provincia","total_cursos","volumen_capacitados","total_horas","carga_horaria","anio","num_cap","prediction(num_cap)"
"electricidad y electrónica","imbabura",1.0,5.0,160.0,32.0,2022.0,5.0,4.5
"educación y capacitación","pichincha",3.0,53.0,992.0,32.0,2022.0,31.0,28.666666666666668
"procesos industriales","guayas",6.0,543.0,5280.0,40.0,2022.0,132.0,137.5
"procesos industriales","guayas",6.0,543.0,40.0,40.0,2022.0,1.0,1.0
"electricidad y electrónica","guayas",1.0,26.0,832.0,32.0,2022.0,26.0,21.0
"procesos industriales","pichincha",2.0,13.0,176.0,16.0,2022.0,11.0,11.0
"forestal ecología y medio ambiente","sin provincia",3.0,3.0,24.0,24.0,2022.0,1.0,1.0
"tecnologías de la información y comunicación","pichincha",8.0,248.0,48.0,8.0,2022.0,6.0,6.0
"procesos industriales","pichincha",8.0,248.0,944.0,8.0,2022.0,118.0,150.25
"forestal ecología y medio ambiente","pichincha",8.0,248.0,240.0,16.0,2022.0,15.0,14.0
"forestal ecología y medio ambiente","pichincha",1.0,3.0,48.0,16.0,2022.0,3.0,3.0
"administración y legislación","guayas",7.0,1107.0,3568.0,8.0,2022.0,446.0,337.0
"servicios socioculturales y a la comunidad","pichincha",1.0,14.0,560.0,40.0,2022.0,14.0,14.8
"procesos industriales","pichincha",1.0,27.0,1080.0,40.0,2022.0,27.0,28.0
"procesos industriales","pichincha",2.0,27.0,624.0,24.0,2022.0,26.0,26.0
"administración y legislación","loja",1.0,16.0,384.0,24.0,2022.0,16.0,16.0
"finanzas comercio y ventas","pichincha",1.0,32.0,1280.0,40.0,2022.0,32.0,31.0
"procesos industriales","guayas",2.0,46.0,1120.0,40.0,2022.0,28.0,28.0
"administración y legislación","pichincha",3.0,120.0,3880.0,40.0,2022.0,97.0,95.5
"procesos industriales","pichincha",3.0,120.0,160.0,16.0,2022.0,10.0,10.0
"alimentación gastronomía y turismo","pichincha",1.0,3.0,120.0,40.0,2022.0,3.0,3.0
"procesos industriales","guayas",3.0,18.0,320.0,40.0,2022.0,8.0,8.090909090909092
"educación y capacitación","guayas",3.0,18.0,16.0,16.0,2022.0,1.0,1.0
"administración y legislación","pichincha",6.0,377.0,6464.0,32.0,2022.0,202.0,160.5
"administración y legislación","pichincha",6.0,377.0,3600.0,24.0,2022.0,150.0,148.5
"procesos industriales","napo",3.0,16.0,128.0,16.0,2022.0,8.0,7.0
"procesos industriales","napo",3.0,16.0,160.0,40.0,2022.0,4.0,4.0
"transporte y logística","chimborazo",2.0,175.0,3400.0,40.0,2022.0,85.0,87.2
"administración y legislación","cañar",1.0,4.0,128.0,32.0,2022.0,4.0,4.0
"electricidad y electrónica","guayas",1.0,10.0,400.0,40.0,2022.0,10.0,10.0
"procesos industriales","pichincha",2.0,3.0,80.0,40.0,2022.0,2.0,2.0
"procesos industriales","santa elena",2.0,21.0,440.0,40.0,2022.0,11.0,11.0
"mecánica industrial y minería","imbabura",2.0,7.0,160.0,40.0,2022.0,4.0,4.0
"administración y legislación","manabi",2.0,339.0,6760.0,40.0,2022.0,169.0,150.66666666666666
"servicios socioculturales y a la comunidad","chimborazo",3.0,86.0,1160.0,40.0,2022.0,29.0,28.0
"servicios socioculturales y a la comunidad","chimborazo",3.0,86.0,1160.0,40.0,2022.0,29.0,28.0
"servicios socioculturales y a la comunidad","chimborazo",3.0,86.0,1120.0,40.0,2022.0,28.0,28.0
"educación y capacitación","pichincha",1.0,2.0,80.0,40.0,2022.0,2.0,2.0
"procesos industriales","guayas",4.0,126.0,152.0,8.0,2022.0,19.0,19.5
"electricidad y electrónica","sin provincia",1.0,2.0,64.0,32.0,2022.0,2.0,2.0
"procesos industriales","tungurahua",2.0,41.0,64.0,8.0,2022.0,8.0,9.5
"educación y capacitación","tungurahua",2.0,41.0,528.0,16.0,2022.0,33.0,29.5
"alimentación gastronomía y turismo","manabi",9.0,969.0,520.0,40.0,2022.0,13.0,13.0
"procesos industriales","manabi",9.0,969.0,4944.0,16.0,2022.0,309.0,265.5
"tecnologías de la información y comunicación","guayas",1.0,12.0,480.0,40.0,2022.0,12.0,12.0
"servicios socioculturales y a la comunidad","tungurahua",1.0,7.0,280.0,40.0,2022.0,7.0,7.0
"alimentación gastronomía y turismo","guayas",1.0,3.0,120.0,40.0,2022.0,3.0,3.0
"procesos industriales","cotopaxi",3.0,24.0,176.0,16.0,2022.0,11.0,11.0
"tecnologías de la información y comunicación","imbabura",1.0,1.0,40.0,40.0,2022.0,1.0,1.0
"administración y legislación","tungurahua",4.0,8.0,32.0,8.0,2022.0,4.0,3.0
"administración y legislación","tungurahua",4.0,8.0,64.0,32.0,2022.0,2.0,2.0
"finanzas comercio y ventas","tungurahua",4.0,8.0,40.0,40.0,2022.0,1.0,1.0
"educación y capacitación","guayas",1.0,39.0,1560.0,40.0,2022.0,39.0,39.0
"procesos industriales","guayas",2.0,12.0,176.0,16.0,2022.0,11.0,11.0
"educación y capacitación","pichincha",1.0,3.0,120.0,40.0,2022.0,3.0,3.0
"servicios socioculturales y a la comunidad","pichincha",2.0,2.0,8.0,8.0,2022.0,1.0,1.0
"educación y capacitación","pichincha",2.0,2.0,24.0,24.0,2022.0,1.0,1.0
"educación y capacitación","pichincha",1.0,23.0,920.0,40.0,2022.0,23.0,23.0
"electricidad y electrónica","pichincha",3.0,3.0,32.0,32.0,2022.0,1.0,1.0
"procesos industriales","pichincha",3.0,3.0,16.0,16.0,2022.0,1.0,1.0
"procesos industriales","tungurahua",6.0,441.0,9120.0,40.0,2022.0,228.0,254.0
"forestal ecología y medio ambiente","tungurahua",6.0,441.0,4480.0,40.0,2022.0,112.0,118.5
"servicios socioculturales y a la comunidad","pichincha",1.0,7.0,280.0,40.0,2022.0,7.0,7.0
"educación y capacitación","pichincha",1.0,2.0,80.0,40.0,2022.0,2.0,2.0
"procesos industriales","santa elena",7.0,1181.0,2760.0,8.0,2022.0,345.0,337.0
"administración y legislación","santa elena",7.0,1181.0,5856.0,32.0,2022.0,183.0,162.33333333333334
"procesos industriales","santa elena",7.0,1181.0,4800.0,40.0,2022.0,120.0,118.5
"procesos industriales","tungurahua",3.0,19.0,200.0,40.0,2022.0,5.0,5.0
"procesos industriales","tungurahua",3.0,19.0,400.0,40.0,2022.0,10.0,11.25
"servicios socioculturales y a la comunidad","el oro",1.0,2.0,80.0,40.0,2022.0,2.0,2.0
"procesos industriales","pichincha",3.0,84.0,384.0,8.0,2022.0,48.0,56.0
"administración y legislación","pichincha",5.0,94.0,2280.0,40.0,2020.0,57.0,56.333333333333336
"educación y capacitación","pichincha",3.0,17.0,120.0,40.0,2020.0,3.0,3.0
"educación y capacitación","pichincha",3.0,17.0,240.0,40.0,2020.0,6.0,6.0
"educación y capacitación","pichincha",3.0,17.0,320.0,40.0,2020.0,8.0,8.090909090909092
"educación y capacitación","guayas",3.0,464.0,14560.0,40.0,2020.0,364.0,361.0
"administración y legislación","pichincha",2.0,10.0,200.0,40.0,2020.0,5.0,5.0
"procesos industriales","el oro",5.0,908.0,48.0,8.0,2020.0,6.0,6.0
"procesos industriales","el oro",5.0,908.0,1184.0,16.0,2020.0,74.0,68.5
"tecnologías de la información y comunicación","guayas",2.0,25.0,400.0,40.0,2020.0,10.0,10.0
"servicios socioculturales y a la comunidad","cañar",1.0,285.0,4560.0,16.0,2020.0,285.0,233.0
"educación y capacitación","pichincha",2.0,455.0,12040.0,40.0,2020.0,301.0,270.0
"educación y capacitación","pichincha",3.0,507.0,11280.0,40.0,2020.0,282.0,270.0
"transporte y logística","chimborazo",6.0,1455.0,40.0,40.0,2020.0,1.0,1.0
"transporte y logística","chimborazo",6.0,1455.0,40.0,40.0,2020.0,1.0,1.0
"administración y legislación","chimborazo",6.0,1455.0,25888.0,32.0,2020.0,809.0,1411.0
"administración y legislación","chimborazo",6.0,1455.0,760.0,40.0,2020.0,19.0,19.333333333333332
"administración y legislación","chimborazo",6.0,1455.0,22800.0,40.0,2020.0,570.0,1411.0
"procesos industriales","imbabura",3.0,168.0,176.0,8.0,2020.0,22.0,25.0
"procesos industriales","santo domingo de los tsachilas",2.0,3.0,80.0,40.0,2020.0,2.0,2.0
"administración y legislación","pichincha",1.0,2.0,32.0,16.0,2020.0,2.0,2.0
"procesos industriales","pichincha",6.0,1162.0,480.0,16.0,2020.0,30.0,29.5
"procesos industriales","napo",3.0,170.0,120.0,8.0,2020.0,15.0,25.0
"procesos industriales","napo",3.0,170.0,720.0,24.0,2020.0,30.0,31.5
"transporte y logística","pichincha",3.0,101.0,560.0,40.0,2020.0,14.0,14.8
"forestal ecología y medio ambiente","pichincha",3.0,101.0,800.0,16.0,2020.0,50.0,54.333333333333336
"forestal ecología y medio ambiente","pichincha",3.0,101.0,1480.0,40.0,2020.0,37.0,35.5
"educación y capacitación","cotopaxi",2.0,144.0,3880.0,40.0,2020.0,97.0,95.5
"procesos industriales","cotopaxi",2.0,144.0,752.0,16.0,2020.0,47.0,45.666666666666664
"procesos industriales","cotopaxi",3.0,542.0,4440.0,40.0,2020.0,111.0,109.66666666666667
"forestal ecología y medio ambiente","chimborazo",1.0,2.0,32.0,16.0,2020.0,2.0,2.0
"servicios socioculturales y a la comunidad","pichincha",1.0,84.0,3360.0,40.0,2020.0,84.0,87.2
"finanzas comercio y ventas","pichincha",2.0,1216.0,29064.0,24.0,2020.0,1211.0,567.3
"tecnologías de la información y comunicación","pichincha",1.0,495.0,19800.0,40.0,2020.0,495.0,567.3
"procesos industriales","sin provincia",9.0,195.0,64.0,16.0,2020.0,4.0,4.0
"procesos industriales","sin provincia",9.0,195.0,1712.0,16.0,2020.0,107.0,111.5
"educación y capacitación","el oro",2.0,10.0,32.0,32.0,2020.0,1.0,1.0
"educación y capacitación","el oro",2.0,10.0,216.0,24.0,2020.0,9.0,9.666666666666666
"mecánica automotriz","pichincha",1.0,4.0,160.0,40.0,2020.0,4.0,4.0
"procesos industriales","guayas",4.0,1524.0,64.0,16.0,2020.0,4.0,4.0
"procesos industriales","guayas",4.0,1524.0,4480.0,16.0,2020.0,280.0,233.0
"administración y legislación","el oro",1.0,1.0,40.0,40.0,2020.0,1.0,1.0
"procesos industriales","manabi",3.0,56.0,240.0,40.0,2020.0,6.0,6.0
"administración y legislación","pichincha",3.0,279.0,2784.0,24.0,2020.0,116.0,148.5
"finanzas comercio y ventas","pichincha",3.0,279.0,3840.0,24.0,2020.0,160.0,148.5
"procesos industriales","pichincha",1.0,34.0,1360.0,40.0,2020.0,34.0,34.0
"administración y legislación","pichincha",6.0,190.0,160.0,40.0,2020.0,4.0,4.0
"administración y legislación","pichincha",6.0,190.0,880.0,40.0,2020.0,22.0,22.0
"administración y legislación","pichincha",6.0,190.0,200.0,40.0,2020.0,5.0,5.0
"procesos industriales","pichincha",6.0,190.0,6200.0,40.0,2020.0,155.0,160.5
"administración y legislación","tungurahua",4.0,164.0,192.0,16.0,2020.0,12.0,12.0
"administración y legislación","tungurahua",4.0,164.0,16.0,16.0,2020.0,1.0,1.0
"mecánica industrial y minería","pichincha",1.0,9.0,360.0,40.0,2020.0,9.0,9.0
"procesos industriales","pichincha",6.0,294.0,192.0,8.0,2020.0,24.0,19.5
"procesos industriales","pichincha",6.0,294.0,128.0,16.0,2020.0,8.0,7.0
"procesos industriales","pichincha",6.0,294.0,128.0,16.0,2020.0,8.0,7.0
"procesos industriales","pichincha",6.0,294.0,3456.0,16.0,2020.0,216.0,233.0
"procesos industriales","pichincha",6.0,294.0,16.0,16.0,2020.0,1.0,1.0
"procesos industriales","pichincha",8.0,4788.0,17440.0,40.0,2020.0,436.0,1411.0
"procesos industriales","pichincha",8.0,4788.0,7744.0,16.0,2020.0,484.0,1411.0
"educación y capacitación","el oro",3.0,1054.0,10320.0,40.0,2020.0,258.0,270.0
"transporte y logística","el oro",3.0,1054.0,9080.0,40.0,2020.0,227.0,254.0
"electricidad y electrónica","pichincha",3.0,150.0,2520.0,40.0,2020.0,63.0,63.666666666666664
"electricidad y electrónica","pichincha",3.0,150.0,1640.0,40.0,2020.0,41.0,41.5
"educación y capacitación","pichincha",3.0,665.0,2624.0,32.0,2020.0,82.0,73.33333333333333
"construcción e infraestructura","azuay",1.0,166.0,3984.0,24.0,2020.0,166.0,148.5
