"area","provincia","num_cap","total_cursos","total_horas","carga_horaria","anio","volumen_capacitados","prediction(volumen_capacitados)"
"forestal ecología y medio ambiente","azuay",6.0,5.0,240.0,40.0,2021.0,61.0,66.5
"procesos industriales","los rios",11.0,1.0,88.0,8.0,2021.0,11.0,11.25
"educación y capacitación","pichincha",107.0,1.0,1712.0,16.0,2022.0,107.0,116.5
"administración y legislación","pichincha",3.0,1.0,120.0,40.0,2022.0,3.0,3.0
"procesos industriales","los rios",130.0,2.0,3120.0,24.0,2022.0,165.0,129.0
"servicios socioculturales y a la comunidad","los rios",35.0,2.0,1400.0,40.0,2022.0,165.0,52.673611111111114
"electricidad y electrónica","pichincha",18.0,2.0,576.0,32.0,2022.0,22.0,52.673611111111114
"electricidad y electrónica","imbabura",5.0,1.0,160.0,32.0,2022.0,5.0,5.0
"educación y capacitación","pichincha",31.0,3.0,992.0,32.0,2022.0,53.0,88.0
"procesos industriales","guayas",132.0,6.0,5280.0,40.0,2022.0,543.0,543.0
"procesos industriales","guayas",1.0,6.0,40.0,40.0,2022.0,543.0,832.5
"electricidad y electrónica","guayas",26.0,1.0,832.0,32.0,2022.0,26.0,26.0
"procesos industriales","pichincha",11.0,2.0,176.0,16.0,2022.0,13.0,52.673611111111114
"forestal ecología y medio ambiente","sin provincia",1.0,3.0,24.0,24.0,2022.0,3.0,30.615384615384617
"tecnologías de la información y comunicación","pichincha",6.0,8.0,48.0,8.0,2022.0,248.0,205.0
"procesos industriales","pichincha",118.0,8.0,944.0,8.0,2022.0,248.0,205.0
"forestal ecología y medio ambiente","pichincha",15.0,8.0,240.0,16.0,2022.0,248.0,405.42857142857144
"forestal ecología y medio ambiente","pichincha",3.0,1.0,48.0,16.0,2022.0,3.0,3.0
"administración y legislación","guayas",446.0,7.0,3568.0,8.0,2022.0,1107.0,1180.6666666666667
"servicios socioculturales y a la comunidad","pichincha",14.0,1.0,560.0,40.0,2022.0,14.0,14.0
"procesos industriales","pichincha",27.0,1.0,1080.0,40.0,2022.0,27.0,27.833333333333332
"procesos industriales","pichincha",26.0,2.0,624.0,24.0,2022.0,27.0,52.673611111111114
"administración y legislación","loja",16.0,1.0,384.0,24.0,2022.0,16.0,16.0
"finanzas comercio y ventas","pichincha",32.0,1.0,1280.0,40.0,2022.0,32.0,32.0
"procesos industriales","guayas",28.0,2.0,1120.0,40.0,2022.0,46.0,52.673611111111114
"administración y legislación","pichincha",97.0,3.0,3880.0,40.0,2022.0,120.0,174.5
"procesos industriales","pichincha",10.0,3.0,160.0,16.0,2022.0,120.0,58.5
"alimentación gastronomía y turismo","pichincha",3.0,1.0,120.0,40.0,2022.0,3.0,3.0
"procesos industriales","guayas",8.0,3.0,320.0,40.0,2022.0,18.0,263.2
"educación y capacitación","guayas",1.0,3.0,16.0,16.0,2022.0,18.0,30.615384615384617
"administración y legislación","pichincha",202.0,6.0,6464.0,32.0,2022.0,377.0,305.0
"administración y legislación","pichincha",150.0,6.0,3600.0,24.0,2022.0,377.0,305.0
"procesos industriales","napo",8.0,3.0,128.0,16.0,2022.0,16.0,58.5
"procesos industriales","napo",4.0,3.0,160.0,40.0,2022.0,16.0,30.615384615384617
"transporte y logística","chimborazo",85.0,2.0,3400.0,40.0,2022.0,175.0,129.0
"administración y legislación","cañar",4.0,1.0,128.0,32.0,2022.0,4.0,4.0
"electricidad y electrónica","guayas",10.0,1.0,400.0,40.0,2022.0,10.0,10.0
"procesos industriales","pichincha",2.0,2.0,80.0,40.0,2022.0,3.0,52.673611111111114
"procesos industriales","santa elena",11.0,2.0,440.0,40.0,2022.0,21.0,52.673611111111114
"mecánica industrial y minería","imbabura",4.0,2.0,160.0,40.0,2022.0,7.0,52.673611111111114
"administración y legislación","manabi",169.0,2.0,6760.0,40.0,2022.0,339.0,249.0
"servicios socioculturales y a la comunidad","chimborazo",29.0,3.0,1160.0,40.0,2022.0,86.0,88.0
"servicios socioculturales y a la comunidad","chimborazo",29.0,3.0,1160.0,40.0,2022.0,86.0,88.0
"servicios socioculturales y a la comunidad","chimborazo",28.0,3.0,1120.0,40.0,2022.0,86.0,88.0
"educación y capacitación","pichincha",2.0,1.0,80.0,40.0,2022.0,2.0,2.0
"procesos industriales","guayas",19.0,4.0,152.0,8.0,2022.0,126.0,309.0
"electricidad y electrónica","sin provincia",2.0,1.0,64.0,32.0,2022.0,2.0,2.0
"procesos industriales","tungurahua",8.0,2.0,64.0,8.0,2022.0,41.0,52.673611111111114
"educación y capacitación","tungurahua",33.0,2.0,528.0,16.0,2022.0,41.0,52.673611111111114
"alimentación gastronomía y turismo","manabi",13.0,9.0,520.0,40.0,2022.0,969.0,1210.3333333333333
"procesos industriales","manabi",309.0,9.0,4944.0,16.0,2022.0,969.0,969.0
"tecnologías de la información y comunicación","guayas",12.0,1.0,480.0,40.0,2022.0,12.0,11.25
"servicios socioculturales y a la comunidad","tungurahua",7.0,1.0,280.0,40.0,2022.0,7.0,7.0
"alimentación gastronomía y turismo","guayas",3.0,1.0,120.0,40.0,2022.0,3.0,3.0
"procesos industriales","cotopaxi",11.0,3.0,176.0,16.0,2022.0,24.0,58.5
"tecnologías de la información y comunicación","imbabura",1.0,1.0,40.0,40.0,2022.0,1.0,1.0
"administración y legislación","tungurahua",4.0,4.0,32.0,8.0,2022.0,8.0,9.5
"administración y legislación","tungurahua",2.0,4.0,64.0,32.0,2022.0,8.0,232.5
"finanzas comercio y ventas","tungurahua",1.0,4.0,40.0,40.0,2022.0,8.0,9.5
"educación y capacitación","guayas",39.0,1.0,1560.0,40.0,2022.0,39.0,38.25
"procesos industriales","guayas",11.0,2.0,176.0,16.0,2022.0,12.0,52.673611111111114
"educación y capacitación","pichincha",3.0,1.0,120.0,40.0,2022.0,3.0,3.0
"servicios socioculturales y a la comunidad","pichincha",1.0,2.0,8.0,8.0,2022.0,2.0,52.673611111111114
"educación y capacitación","pichincha",1.0,2.0,24.0,24.0,2022.0,2.0,52.673611111111114
"educación y capacitación","pichincha",23.0,1.0,920.0,40.0,2022.0,23.0,23.5
"electricidad y electrónica","pichincha",1.0,3.0,32.0,32.0,2022.0,3.0,30.615384615384617
"procesos industriales","pichincha",1.0,3.0,16.0,16.0,2022.0,3.0,30.615384615384617
"procesos industriales","tungurahua",228.0,6.0,9120.0,40.0,2022.0,441.0,424.0
"forestal ecología y medio ambiente","tungurahua",112.0,6.0,4480.0,40.0,2022.0,441.0,424.0
"servicios socioculturales y a la comunidad","pichincha",7.0,1.0,280.0,40.0,2022.0,7.0,7.0
"educación y capacitación","pichincha",2.0,1.0,80.0,40.0,2022.0,2.0,2.0
"procesos industriales","santa elena",345.0,7.0,2760.0,8.0,2022.0,1181.0,1180.6666666666667
"administración y legislación","santa elena",183.0,7.0,5856.0,32.0,2022.0,1181.0,1180.6666666666667
"procesos industriales","santa elena",120.0,7.0,4800.0,40.0,2022.0,1181.0,1402.0
"procesos industriales","tungurahua",5.0,3.0,200.0,40.0,2022.0,19.0,30.615384615384617
"procesos industriales","tungurahua",10.0,3.0,400.0,40.0,2022.0,19.0,263.2
"servicios socioculturales y a la comunidad","el oro",2.0,1.0,80.0,40.0,2022.0,2.0,2.0
"procesos industriales","pichincha",48.0,3.0,384.0,8.0,2022.0,84.0,105.0
"administración y legislación","pichincha",57.0,5.0,2280.0,40.0,2020.0,94.0,97.75
"educación y capacitación","pichincha",3.0,3.0,120.0,40.0,2020.0,17.0,184.25
"educación y capacitación","pichincha",6.0,3.0,240.0,40.0,2020.0,17.0,441.3333333333333
"educación y capacitación","pichincha",8.0,3.0,320.0,40.0,2020.0,17.0,441.3333333333333
"educación y capacitación","guayas",364.0,3.0,14560.0,40.0,2020.0,464.0,408.6666666666667
"administración y legislación","pichincha",5.0,2.0,200.0,40.0,2020.0,10.0,52.673611111111114
"procesos industriales","el oro",6.0,5.0,48.0,8.0,2020.0,908.0,309.0
"procesos industriales","el oro",74.0,5.0,1184.0,16.0,2020.0,908.0,343.0
"tecnologías de la información y comunicación","guayas",10.0,2.0,400.0,40.0,2020.0,25.0,52.673611111111114
"servicios socioculturales y a la comunidad","cañar",285.0,1.0,4560.0,16.0,2020.0,285.0,240.33333333333334
"educación y capacitación","pichincha",301.0,2.0,12040.0,40.0,2020.0,455.0,408.6666666666667
"educación y capacitación","pichincha",282.0,3.0,11280.0,40.0,2020.0,507.0,235.5
"transporte y logística","chimborazo",1.0,6.0,40.0,40.0,2020.0,1455.0,832.5
"transporte y logística","chimborazo",1.0,6.0,40.0,40.0,2020.0,1455.0,832.5
"administración y legislación","chimborazo",809.0,6.0,25888.0,32.0,2020.0,1455.0,3621.3333333333335
"administración y legislación","chimborazo",19.0,6.0,760.0,40.0,2020.0,1455.0,139.33333333333334
"administración y legislación","chimborazo",570.0,6.0,22800.0,40.0,2020.0,1455.0,3621.3333333333335
"procesos industriales","imbabura",22.0,3.0,176.0,8.0,2020.0,168.0,441.3333333333333
"procesos industriales","santo domingo de los tsachilas",2.0,2.0,80.0,40.0,2020.0,3.0,52.673611111111114
"administración y legislación","pichincha",2.0,1.0,32.0,16.0,2020.0,2.0,2.0
"procesos industriales","pichincha",30.0,6.0,480.0,16.0,2020.0,1162.0,1210.3333333333333
"procesos industriales","napo",15.0,3.0,120.0,8.0,2020.0,170.0,441.3333333333333
"procesos industriales","napo",30.0,3.0,720.0,24.0,2020.0,170.0,441.3333333333333
"transporte y logística","pichincha",14.0,3.0,560.0,40.0,2020.0,101.0,441.3333333333333
"forestal ecología y medio ambiente","pichincha",50.0,3.0,800.0,16.0,2020.0,101.0,186.0
"forestal ecología y medio ambiente","pichincha",37.0,3.0,1480.0,40.0,2020.0,101.0,186.0
"educación y capacitación","cotopaxi",97.0,2.0,3880.0,40.0,2020.0,144.0,216.0
"procesos industriales","cotopaxi",47.0,2.0,752.0,16.0,2020.0,144.0,52.673611111111114
"procesos industriales","cotopaxi",111.0,3.0,4440.0,40.0,2020.0,542.0,343.0
"forestal ecología y medio ambiente","chimborazo",2.0,1.0,32.0,16.0,2020.0,2.0,2.0
"servicios socioculturales y a la comunidad","pichincha",84.0,1.0,3360.0,40.0,2020.0,84.0,87.25
"finanzas comercio y ventas","pichincha",1211.0,2.0,29064.0,24.0,2020.0,1216.0,954.6666666666666
"tecnologías de la información y comunicación","pichincha",495.0,1.0,19800.0,40.0,2020.0,495.0,583.2857142857143
"procesos industriales","sin provincia",4.0,9.0,64.0,16.0,2020.0,195.0,405.42857142857144
"procesos industriales","sin provincia",107.0,9.0,1712.0,16.0,2020.0,195.0,4788.0
"educación y capacitación","el oro",1.0,2.0,32.0,32.0,2020.0,10.0,52.673611111111114
"educación y capacitación","el oro",9.0,2.0,216.0,24.0,2020.0,10.0,52.673611111111114
"mecánica automotriz","pichincha",4.0,1.0,160.0,40.0,2020.0,4.0,4.0
"procesos industriales","guayas",4.0,4.0,64.0,16.0,2020.0,1524.0,184.25
"procesos industriales","guayas",280.0,4.0,4480.0,16.0,2020.0,1524.0,1524.0
"administración y legislación","el oro",1.0,1.0,40.0,40.0,2020.0,1.0,1.0
"procesos industriales","manabi",6.0,3.0,240.0,40.0,2020.0,56.0,441.3333333333333
"administración y legislación","pichincha",116.0,3.0,2784.0,24.0,2020.0,279.0,723.5
"finanzas comercio y ventas","pichincha",160.0,3.0,3840.0,24.0,2020.0,279.0,642.3333333333334
"procesos industriales","pichincha",34.0,1.0,1360.0,40.0,2020.0,34.0,34.0
"administración y legislación","pichincha",4.0,6.0,160.0,40.0,2020.0,190.0,193.33333333333334
"administración y legislación","pichincha",22.0,6.0,880.0,40.0,2020.0,190.0,139.33333333333334
"administración y legislación","pichincha",5.0,6.0,200.0,40.0,2020.0,190.0,193.33333333333334
"procesos industriales","pichincha",155.0,6.0,6200.0,40.0,2020.0,190.0,1298.25
"administración y legislación","tungurahua",12.0,4.0,192.0,16.0,2020.0,164.0,131.29166666666669
"administración y legislación","tungurahua",1.0,4.0,16.0,16.0,2020.0,164.0,184.25
"mecánica industrial y minería","pichincha",9.0,1.0,360.0,40.0,2020.0,9.0,9.0
"procesos industriales","pichincha",24.0,6.0,192.0,8.0,2020.0,294.0,205.0
"procesos industriales","pichincha",8.0,6.0,128.0,16.0,2020.0,294.0,405.42857142857144
"procesos industriales","pichincha",8.0,6.0,128.0,16.0,2020.0,294.0,405.42857142857144
"procesos industriales","pichincha",216.0,6.0,3456.0,16.0,2020.0,294.0,1162.0
"procesos industriales","pichincha",1.0,6.0,16.0,16.0,2020.0,294.0,187.0
"procesos industriales","pichincha",436.0,8.0,17440.0,40.0,2020.0,4788.0,4788.0
"procesos industriales","pichincha",484.0,8.0,7744.0,16.0,2020.0,4788.0,4788.0
"educación y capacitación","el oro",258.0,3.0,10320.0,40.0,2020.0,1054.0,235.5
"transporte y logística","el oro",227.0,3.0,9080.0,40.0,2020.0,1054.0,235.5
"electricidad y electrónica","pichincha",63.0,3.0,2520.0,40.0,2020.0,150.0,953.0
"electricidad y electrónica","pichincha",41.0,3.0,1640.0,40.0,2020.0,150.0,186.0
"educación y capacitación","pichincha",82.0,3.0,2624.0,32.0,2020.0,665.0,343.0
"construcción e infraestructura","azuay",166.0,1.0,3984.0,24.0,2020.0,166.0,186.33333333333334
