"area","id_fact_ci","num_cap","total_cursos","volumen_capacitados","total_horas","carga_horaria","anio","total_ganancias","prediction(total_ganancias)"
"finanzas comercio y ventas",697.0,112.0,3.0,255.0,4480.0,40.0,2021.0,0.0,0.0
"administración y legislación",698.0,1.0,1.0,1.0,16.0,16.0,2021.0,0.0,0.0
"educación y capacitación",704.0,1.0,2.0,2.0,40.0,40.0,2021.0,0.0,0.0
"procesos industriales",711.0,3.0,4.0,11.0,120.0,40.0,2021.0,0.0,0.0
"procesos industriales",714.0,3.0,4.0,11.0,120.0,40.0,2021.0,0.0,0.0
"administración y legislación",716.0,70.0,2.0,140.0,2240.0,32.0,2021.0,0.0,0.0
"comunicación y artes gráficas",717.0,15.0,2.0,31.0,600.0,40.0,2021.0,0.0,0.0
"comunicación y artes gráficas",718.0,16.0,2.0,31.0,640.0,40.0,2021.0,0.0,0.0
"procesos industriales",726.0,7.0,2.0,11.0,280.0,40.0,2021.0,0.0,0.0
"educación y capacitación",727.0,8.0,5.0,61.0,320.0,40.0,2021.0,0.0,0.0
"forestal ecología y medio ambiente",728.0,6.0,5.0,61.0,240.0,40.0,2021.0,0.0,0.0
"procesos industriales",732.0,11.0,1.0,11.0,88.0,8.0,2021.0,0.0,0.0
"educación y capacitación",733.0,107.0,1.0,107.0,1712.0,16.0,2022.0,0.0,0.0
"administración y legislación",734.0,3.0,1.0,3.0,120.0,40.0,2022.0,0.0,0.0
"procesos industriales",735.0,130.0,2.0,165.0,3120.0,24.0,2022.0,0.0,0.0
"servicios socioculturales y a la comunidad",736.0,35.0,2.0,165.0,1400.0,40.0,2022.0,0.0,0.0
"electricidad y electrónica",740.0,18.0,2.0,22.0,576.0,32.0,2022.0,0.0,0.0
"electricidad y electrónica",742.0,5.0,1.0,5.0,160.0,32.0,2022.0,0.0,0.0
"educación y capacitación",747.0,31.0,3.0,53.0,992.0,32.0,2022.0,0.0,0.0
"procesos industriales",754.0,132.0,6.0,543.0,5280.0,40.0,2022.0,0.0,0.0
"procesos industriales",755.0,1.0,6.0,543.0,40.0,40.0,2022.0,0.0,0.0
"electricidad y electrónica",757.0,26.0,1.0,26.0,832.0,32.0,2022.0,0.0,0.0
"procesos industriales",761.0,11.0,2.0,13.0,176.0,16.0,2022.0,0.0,0.0
"forestal ecología y medio ambiente",764.0,1.0,3.0,3.0,24.0,24.0,2022.0,0.0,0.0
"tecnologías de la información y comunicación",765.0,6.0,8.0,248.0,48.0,8.0,2022.0,464.16,1047.4541176470589
"procesos industriales",768.0,118.0,8.0,248.0,944.0,8.0,2022.0,0.0,0.0
"forestal ecología y medio ambiente",770.0,15.0,8.0,248.0,240.0,16.0,2022.0,0.0,0.0
"forestal ecología y medio ambiente",779.0,3.0,1.0,3.0,48.0,16.0,2022.0,0.0,0.0
"administración y legislación",780.0,446.0,7.0,1107.0,3568.0,8.0,2022.0,0.0,0.0
"servicios socioculturales y a la comunidad",783.0,14.0,1.0,14.0,560.0,40.0,2022.0,0.0,0.0
"procesos industriales",784.0,27.0,1.0,27.0,1080.0,40.0,2022.0,0.0,0.0
"procesos industriales",786.0,26.0,2.0,27.0,624.0,24.0,2022.0,0.0,0.0
"administración y legislación",787.0,16.0,1.0,16.0,384.0,24.0,2022.0,0.0,0.0
"finanzas comercio y ventas",790.0,32.0,1.0,32.0,1280.0,40.0,2022.0,0.0,0.0
"procesos industriales",792.0,28.0,2.0,46.0,1120.0,40.0,2022.0,0.0,0.0
"administración y legislación",800.0,97.0,3.0,120.0,3880.0,40.0,2022.0,0.0,0.0
"procesos industriales",801.0,10.0,3.0,120.0,160.0,16.0,2022.0,0.0,0.0
"alimentación gastronomía y turismo",802.0,3.0,1.0,3.0,120.0,40.0,2022.0,0.0,0.0
"procesos industriales",803.0,8.0,3.0,18.0,320.0,40.0,2022.0,0.0,0.0
"educación y capacitación",804.0,1.0,3.0,18.0,16.0,16.0,2022.0,0.0,0.0
"administración y legislación",805.0,202.0,6.0,377.0,6464.0,32.0,2022.0,0.0,0.0
"administración y legislación",806.0,150.0,6.0,377.0,3600.0,24.0,2022.0,0.0,0.0
"procesos industriales",814.0,8.0,3.0,16.0,128.0,16.0,2022.0,0.0,0.0
"procesos industriales",815.0,4.0,3.0,16.0,160.0,40.0,2022.0,0.0,0.0
"transporte y logística",817.0,85.0,2.0,175.0,3400.0,40.0,2022.0,0.0,0.0
"administración y legislación",819.0,4.0,1.0,4.0,128.0,32.0,2022.0,0.0,0.0
"electricidad y electrónica",821.0,10.0,1.0,10.0,400.0,40.0,2022.0,0.0,0.0
"procesos industriales",825.0,2.0,2.0,3.0,80.0,40.0,2022.0,0.0,0.0
"procesos industriales",827.0,11.0,2.0,21.0,440.0,40.0,2022.0,0.0,0.0
"mecánica industrial y minería",831.0,4.0,2.0,7.0,160.0,40.0,2022.0,0.0,0.0
"administración y legislación",834.0,169.0,2.0,339.0,6760.0,40.0,2022.0,0.0,0.0
"servicios socioculturales y a la comunidad",840.0,29.0,3.0,86.0,1160.0,40.0,2022.0,0.0,0.0
"servicios socioculturales y a la comunidad",841.0,29.0,3.0,86.0,1160.0,40.0,2022.0,0.0,0.0
"servicios socioculturales y a la comunidad",842.0,28.0,3.0,86.0,1120.0,40.0,2022.0,0.0,0.0
"educación y capacitación",844.0,2.0,1.0,2.0,80.0,40.0,2022.0,0.0,0.0
"procesos industriales",846.0,19.0,4.0,126.0,152.0,8.0,2022.0,0.0,0.0
"electricidad y electrónica",847.0,2.0,1.0,2.0,64.0,32.0,2022.0,0.0,0.0
"procesos industriales",848.0,8.0,2.0,41.0,64.0,8.0,2022.0,0.0,0.0
"educación y capacitación",849.0,33.0,2.0,41.0,528.0,16.0,2022.0,0.0,0.0
"alimentación gastronomía y turismo",852.0,13.0,9.0,969.0,520.0,40.0,2022.0,0.0,0.0
"procesos industriales",854.0,309.0,9.0,969.0,4944.0,16.0,2022.0,0.0,0.0
"tecnologías de la información y comunicación",858.0,12.0,1.0,12.0,480.0,40.0,2022.0,4641.6,4448.200000000001
"servicios socioculturales y a la comunidad",860.0,7.0,1.0,7.0,280.0,40.0,2022.0,0.0,0.0
"alimentación gastronomía y turismo",868.0,3.0,1.0,3.0,120.0,40.0,2022.0,0.0,0.0
"procesos industriales",874.0,11.0,3.0,24.0,176.0,16.0,2022.0,0.0,0.0
"tecnologías de la información y comunicación",875.0,1.0,1.0,1.0,40.0,40.0,2022.0,133.2,1047.4541176470589
"administración y legislación",881.0,4.0,4.0,8.0,32.0,8.0,2022.0,0.0,0.0
"administración y legislación",882.0,2.0,4.0,8.0,64.0,32.0,2022.0,0.0,0.0
"finanzas comercio y ventas",884.0,1.0,4.0,8.0,40.0,40.0,2022.0,0.0,0.0
"educación y capacitación",889.0,39.0,1.0,39.0,1560.0,40.0,2022.0,0.0,0.0
"procesos industriales",891.0,11.0,2.0,12.0,176.0,16.0,2022.0,0.0,0.0
"educación y capacitación",893.0,3.0,1.0,3.0,120.0,40.0,2022.0,0.0,0.0
"servicios socioculturales y a la comunidad",894.0,1.0,2.0,2.0,8.0,8.0,2022.0,0.0,0.0
"educación y capacitación",895.0,1.0,2.0,2.0,24.0,24.0,2022.0,0.0,0.0
"educación y capacitación",897.0,23.0,1.0,23.0,920.0,40.0,2022.0,0.0,0.0
"electricidad y electrónica",904.0,1.0,3.0,3.0,32.0,32.0,2022.0,0.0,0.0
"procesos industriales",905.0,1.0,3.0,3.0,16.0,16.0,2022.0,0.0,0.0
"procesos industriales",907.0,228.0,6.0,441.0,9120.0,40.0,2022.0,0.0,0.0
"forestal ecología y medio ambiente",908.0,112.0,6.0,441.0,4480.0,40.0,2022.0,0.0,0.0
"servicios socioculturales y a la comunidad",911.0,7.0,1.0,7.0,280.0,40.0,2022.0,0.0,0.0
"educación y capacitación",918.0,2.0,1.0,2.0,80.0,40.0,2022.0,0.0,0.0
"procesos industriales",919.0,345.0,7.0,1181.0,2760.0,8.0,2022.0,0.0,0.0
"administración y legislación",920.0,183.0,7.0,1181.0,5856.0,32.0,2022.0,0.0,0.0
"procesos industriales",924.0,120.0,7.0,1181.0,4800.0,40.0,2022.0,0.0,0.0
"procesos industriales",927.0,5.0,3.0,19.0,200.0,40.0,2022.0,0.0,0.0
"procesos industriales",928.0,10.0,3.0,19.0,400.0,40.0,2022.0,0.0,0.0
"servicios socioculturales y a la comunidad",929.0,2.0,1.0,2.0,80.0,40.0,2022.0,0.0,0.0
"procesos industriales",934.0,48.0,3.0,84.0,384.0,8.0,2022.0,0.0,0.0
"administración y legislación",939.0,57.0,5.0,94.0,2280.0,40.0,2020.0,0.0,0.0
"educación y capacitación",948.0,3.0,3.0,17.0,120.0,40.0,2020.0,0.0,0.0
"educación y capacitación",949.0,6.0,3.0,17.0,240.0,40.0,2020.0,0.0,0.0
"educación y capacitación",950.0,8.0,3.0,17.0,320.0,40.0,2020.0,0.0,0.0
"educación y capacitación",952.0,364.0,3.0,464.0,14560.0,40.0,2020.0,0.0,0.0
"administración y legislación",953.0,5.0,2.0,10.0,200.0,40.0,2020.0,0.0,0.0
"procesos industriales",959.0,6.0,5.0,908.0,48.0,8.0,2020.0,0.0,0.0
"procesos industriales",961.0,74.0,5.0,908.0,1184.0,16.0,2020.0,0.0,0.0
"tecnologías de la información y comunicación",965.0,10.0,2.0,25.0,400.0,40.0,2020.0,2668.0,3458.06
"servicios socioculturales y a la comunidad",968.0,285.0,1.0,285.0,4560.0,16.0,2020.0,0.0,0.0
"educación y capacitación",969.0,301.0,2.0,455.0,12040.0,40.0,2020.0,0.0,0.0
"educación y capacitación",972.0,282.0,3.0,507.0,11280.0,40.0,2020.0,0.0,0.0
"transporte y logística",976.0,1.0,6.0,1455.0,40.0,40.0,2020.0,0.0,0.0
"transporte y logística",977.0,1.0,6.0,1455.0,40.0,40.0,2020.0,0.0,0.0
"administración y legislación",978.0,809.0,6.0,1455.0,25888.0,32.0,2020.0,0.0,0.0
"administración y legislación",980.0,19.0,6.0,1455.0,760.0,40.0,2020.0,0.0,0.0
"administración y legislación",981.0,570.0,6.0,1455.0,22800.0,40.0,2020.0,0.0,0.0
"procesos industriales",985.0,22.0,3.0,168.0,176.0,8.0,2020.0,0.0,0.0
"procesos industriales",988.0,2.0,2.0,3.0,80.0,40.0,2020.0,0.0,0.0
"administración y legislación",989.0,2.0,1.0,2.0,32.0,16.0,2020.0,0.0,0.0
"procesos industriales",992.0,30.0,6.0,1162.0,480.0,16.0,2020.0,0.0,0.0
"procesos industriales",998.0,15.0,3.0,170.0,120.0,8.0,2020.0,0.0,0.0
"procesos industriales",999.0,30.0,3.0,170.0,720.0,24.0,2020.0,0.0,0.0
"transporte y logística",1001.0,14.0,3.0,101.0,560.0,40.0,2020.0,0.0,0.0
"forestal ecología y medio ambiente",1002.0,50.0,3.0,101.0,800.0,16.0,2020.0,0.0,0.0
"forestal ecología y medio ambiente",1003.0,37.0,3.0,101.0,1480.0,40.0,2020.0,0.0,0.0
"educación y capacitación",1004.0,97.0,2.0,144.0,3880.0,40.0,2020.0,0.0,0.0
"procesos industriales",1005.0,47.0,2.0,144.0,752.0,16.0,2020.0,0.0,0.0
"procesos industriales",1010.0,111.0,3.0,542.0,4440.0,40.0,2020.0,0.0,0.0
"forestal ecología y medio ambiente",1012.0,2.0,1.0,2.0,32.0,16.0,2020.0,0.0,0.0
"servicios socioculturales y a la comunidad",1013.0,84.0,1.0,84.0,3360.0,40.0,2020.0,0.0,0.0
"finanzas comercio y ventas",1015.0,1211.0,2.0,1216.0,29064.0,24.0,2020.0,0.0,0.0
"tecnologías de la información y comunicación",1016.0,495.0,1.0,495.0,19800.0,40.0,2020.0,207900.0,103933.60000000002
"procesos industriales",1019.0,4.0,9.0,195.0,64.0,16.0,2020.0,0.0,0.0
"procesos industriales",1021.0,107.0,9.0,195.0,1712.0,16.0,2020.0,0.0,0.0
"educación y capacitación",1022.0,1.0,2.0,10.0,32.0,32.0,2020.0,0.0,0.0
"educación y capacitación",1023.0,9.0,2.0,10.0,216.0,24.0,2020.0,0.0,0.0
"mecánica automotriz",1026.0,4.0,1.0,4.0,160.0,40.0,2020.0,0.0,0.0
"procesos industriales",1034.0,4.0,4.0,1524.0,64.0,16.0,2020.0,0.0,0.0
"procesos industriales",1035.0,280.0,4.0,1524.0,4480.0,16.0,2020.0,0.0,0.0
"administración y legislación",1037.0,1.0,1.0,1.0,40.0,40.0,2020.0,0.0,0.0
"procesos industriales",1040.0,6.0,3.0,56.0,240.0,40.0,2020.0,0.0,0.0
"administración y legislación",1042.0,116.0,3.0,279.0,2784.0,24.0,2020.0,0.0,0.0
"finanzas comercio y ventas",1044.0,160.0,3.0,279.0,3840.0,24.0,2020.0,0.0,0.0
"procesos industriales",1048.0,34.0,1.0,34.0,1360.0,40.0,2020.0,0.0,0.0
"administración y legislación",1051.0,4.0,6.0,190.0,160.0,40.0,2020.0,0.0,0.0
"administración y legislación",1052.0,22.0,6.0,190.0,880.0,40.0,2020.0,0.0,0.0
"administración y legislación",1054.0,5.0,6.0,190.0,200.0,40.0,2020.0,0.0,0.0
"procesos industriales",1055.0,155.0,6.0,190.0,6200.0,40.0,2020.0,0.0,0.0
"administración y legislación",1059.0,12.0,4.0,164.0,192.0,16.0,2020.0,0.0,0.0
"administración y legislación",1061.0,1.0,4.0,164.0,16.0,16.0,2020.0,0.0,0.0
"mecánica industrial y minería",1064.0,9.0,1.0,9.0,360.0,40.0,2020.0,0.0,0.0
"procesos industriales",1068.0,24.0,6.0,294.0,192.0,8.0,2020.0,0.0,0.0
"procesos industriales",1069.0,8.0,6.0,294.0,128.0,16.0,2020.0,0.0,0.0
"procesos industriales",1070.0,8.0,6.0,294.0,128.0,16.0,2020.0,0.0,0.0
"procesos industriales",1071.0,216.0,6.0,294.0,3456.0,16.0,2020.0,0.0,0.0
"procesos industriales",1073.0,1.0,6.0,294.0,16.0,16.0,2020.0,0.0,0.0
"procesos industriales",1076.0,436.0,8.0,4788.0,17440.0,40.0,2020.0,0.0,0.0
"procesos industriales",1080.0,484.0,8.0,4788.0,7744.0,16.0,2020.0,0.0,0.0
"educación y capacitación",1086.0,258.0,3.0,1054.0,10320.0,40.0,2020.0,0.0,0.0
"transporte y logística",1088.0,227.0,3.0,1054.0,9080.0,40.0,2020.0,0.0,0.0
"electricidad y electrónica",1091.0,63.0,3.0,150.0,2520.0,40.0,2020.0,0.0,0.0
"electricidad y electrónica",1092.0,41.0,3.0,150.0,1640.0,40.0,2020.0,0.0,0.0
"educación y capacitación",1094.0,82.0,3.0,665.0,2624.0,32.0,2020.0,0.0,0.0
"construcción e infraestructura",1096.0,166.0,1.0,166.0,3984.0,24.0,2020.0,0.0,0.0
