#,Universidad,Ciudad,Pagina Web,Servicios,Tipos de Oferta ,Areas de Formación,Nombre  de los Programas,Modalidad,horarios,Tiempo de duración,Duración programa, Precio ,formas de pago,certificación,plataforma educacion virtual,Red de educación
1,udla universidad de las americas ,Quito,https://www.udla.edu.ec/educacion-continua2/,"37 carreras de pregrado en modalidades presencial,  y semipresencial 22 diplomados en modalidad 100% online.",Maestrias,Administracion y negocios,gerencia de instituciones de salud,100% online,22 de marzo de 2021,1736 H,1 año  2 meses, llamar ,"efectivo , tarjetas de credito y , debito , banco pichincha","WACS, Acreditadora de Chile, CES","moodle ,office 365",
,,,,,CURSOS Y PROGRAMAS DE FORMACION,Empresariales,Econometría con Stata,Presencial,"Este curso se oferta bajo pedido, para grupos e instituciones públicas o privada",40 H,40 H, llamar ,"DESCUENTOS
10% de descuento por pronto pago: pagando dos días antes del inicio del curso.
15% de descuento por pronto pago, grupos a partir de tres o más personas: pagando dos días antes del inicio del curso. Se emitirá una sola factura a nombre de una sola persona del grupo o de la institución auspiciante.
15% de descuento por pronto pago, por cliente frecuente, personas que tomaron cursos durante los últimos seis meses: pagando dos días antes del inicio del curso.
50% de descuento a personas de la tercera edad.
Personas con carnet del CONADIS obtienen descuento, según el grado de discapacidad.
FORMAS DE PAGO

El CEC-EPN pone a su disposición las siguientes formas de pago para la matriculación en los cursos de Educación Presencial:

Matriculación Presencial en las oficinas de la Sede Medio Externo (Av. Toledo N23-55 y Madrid, Planta Baja), en el horario de 07:00 a 18:00 sin interrupción al medio día

Con el formulario de inscripción que llene en Servicio al Cliente, usted puede cancelar en Tesorería:

En efectivo
Cheque certificado a nombre del CENTRO DE EDUCACIÓN CONTINUA EPN
Tarjetas de Débito VISA y Mastercard (Banco Guayaquil, Banco Pichincha)
Tarjetas de Crédito con pago corriente: VISA y MasterCard
Tarjetas de Crédito con pago corriente o diferido a tres meses sin intereses: Diners, Discover, VISA Banco Pichincha, Mastercard Banco Pichincha, VISA Banco del Pacífico y PACIFICARD; Visa, Mastercard Banco Guayaquil y American Express.
Matriculación Online por medio del Portal en Línea (https://aps.cec-epn.edu.ec/)

Con el Formulario de Pago de Matrícula impreso que emite el portal luego del proceso de Inscripción en el curso requerido, usted puede acercarse a cancelar en:

Las sucursales del Banco Guayaquil (directamente a ventanilla sin llenar una papeleta).
Las sucursales del Banco Pichincha (directamente a ventanilla sin llenar una papeleta).
Pichincha Mi Vecino
Además, usted puede realizar los pagos con los datos del Formulario de Pago de Matrícula en:

Banca Electrónica del Banco Pichincha, opción Pagos, Facturas No Inscritas, CENTRO DE EDUCACIÓN CONTINUA EPN.
En el Portal en Línea (https://aps.cec-epn.edu.ec/) con las Tarjetas de Crédito Diners, Discover, VISA Banco Pichincha y Mastercard Banco Pichincha, VISA Banco del Pacífico y PACIFICARD; American Express, Visa Y MasterCard de Banco Guayaquil. Con pago corriente o diferido a tres meses sin intereses.

IMPORTANTE:

Una vez que usted ha realizado el proceso de inscripción, debe imprimir el formato de pago respectivo. Cuando el curso tenga el cupo mínimo necesario, recibirá un correo de confirmación de apertura del curso a su dirección electrónica registrada.  Solo en ese momento usted debe  proceder a realizar el pago correspondiente desde la fecha que se le indique.","EPN, CEC-EPN Se entregará solamente , cuando el estudiante haya aprobado el curso","EPN , CEC-EPN",
,,,,,CURSOS Y PROGRAMAS DE FORMACION,Empresariales,Control de Gestión Pública,Presencial,"Este curso se oferta bajo pedido, para grupos e instituciones públicas o privada",16 H,16 H, llamar ,"DESCUENTOS
10% de descuento por pronto pago: pagando dos días antes del inicio del curso.
15% de descuento por pronto pago, grupos a partir de tres o más personas: pagando dos días antes del inicio del curso. Se emitirá una sola factura a nombre de una sola persona del grupo o de la institución auspiciante.
15% de descuento por pronto pago, por cliente frecuente, personas que tomaron cursos durante los últimos seis meses: pagando dos días antes del inicio del curso.
50% de descuento a personas de la tercera edad.
Personas con carnet del CONADIS obtienen descuento, según el grado de discapacidad.
FORMAS DE PAGO

El CEC-EPN pone a su disposición las siguientes formas de pago para la matriculación en los cursos de Educación Presencial:

Matriculación Presencial en las oficinas de la Sede Medio Externo (Av. Toledo N23-55 y Madrid, Planta Baja), en el horario de 07:00 a 18:00 sin interrupción al medio día

Con el formulario de inscripción que llene en Servicio al Cliente, usted puede cancelar en Tesorería:

En efectivo
Cheque certificado a nombre del CENTRO DE EDUCACIÓN CONTINUA EPN
Tarjetas de Débito VISA y Mastercard (Banco Guayaquil, Banco Pichincha)
Tarjetas de Crédito con pago corriente: VISA y MasterCard
Tarjetas de Crédito con pago corriente o diferido a tres meses sin intereses: Diners, Discover, VISA Banco Pichincha, Mastercard Banco Pichincha, VISA Banco del Pacífico y PACIFICARD; Visa, Mastercard Banco Guayaquil y American Express.
Matriculación Online por medio del Portal en Línea (https://aps.cec-epn.edu.ec/)

Con el Formulario de Pago de Matrícula impreso que emite el portal luego del proceso de Inscripción en el curso requerido, usted puede acercarse a cancelar en:

Las sucursales del Banco Guayaquil (directamente a ventanilla sin llenar una papeleta).
Las sucursales del Banco Pichincha (directamente a ventanilla sin llenar una papeleta).
Pichincha Mi Vecino
Además, usted puede realizar los pagos con los datos del Formulario de Pago de Matrícula en:

Banca Electrónica del Banco Pichincha, opción Pagos, Facturas No Inscritas, CENTRO DE EDUCACIÓN CONTINUA EPN.
En el Portal en Línea (https://aps.cec-epn.edu.ec/) con las Tarjetas de Crédito Diners, Discover, VISA Banco Pichincha y Mastercard Banco Pichincha, VISA Banco del Pacífico y PACIFICARD; American Express, Visa Y MasterCard de Banco Guayaquil. Con pago corriente o diferido a tres meses sin intereses.

IMPORTANTE:

Una vez que usted ha realizado el proceso de inscripción, debe imprimir el formato de pago respectivo. Cuando el curso tenga el cupo mínimo necesario, recibirá un correo de confirmación de apertura del curso a su dirección electrónica registrada.  Solo en ese momento usted debe  proceder a realizar el pago correspondiente desde la fecha que se le indique.","EPN, CEC-EPN Se entregará solamente , cuando el estudiante haya aprobado el curso","EPN , CEC-EPN",
,,,,,CURSOS Y PROGRAMAS DE FORMACION,Empresariales,Brigadas de Incendios,Presencial,"Este curso se oferta bajo pedido, para grupos e instituciones públicas o privada",16 H,16 H, llamar ,"DESCUENTOS
10% de descuento por pronto pago: pagando dos días antes del inicio del curso.
15% de descuento por pronto pago, grupos a partir de tres o más personas: pagando dos días antes del inicio del curso. Se emitirá una sola factura a nombre de una sola persona del grupo o de la institución auspiciante.
15% de descuento por pronto pago, por cliente frecuente, personas que tomaron cursos durante los últimos seis meses: pagando dos días antes del inicio del curso.
50% de descuento a personas de la tercera edad.
Personas con carnet del CONADIS obtienen descuento, según el grado de discapacidad.
FORMAS DE PAGO

El CEC-EPN pone a su disposición las siguientes formas de pago para la matriculación en los cursos de Educación Presencial:

Matriculación Presencial en las oficinas de la Sede Medio Externo (Av. Toledo N23-55 y Madrid, Planta Baja), en el horario de 07:00 a 18:00 sin interrupción al medio día

Con el formulario de inscripción que llene en Servicio al Cliente, usted puede cancelar en Tesorería:

En efectivo
Cheque certificado a nombre del CENTRO DE EDUCACIÓN CONTINUA EPN
Tarjetas de Débito VISA y Mastercard (Banco Guayaquil, Banco Pichincha)
Tarjetas de Crédito con pago corriente: VISA y MasterCard
Tarjetas de Crédito con pago corriente o diferido a tres meses sin intereses: Diners, Discover, VISA Banco Pichincha, Mastercard Banco Pichincha, VISA Banco del Pacífico y PACIFICARD; Visa, Mastercard Banco Guayaquil y American Express.
Matriculación Online por medio del Portal en Línea (https://aps.cec-epn.edu.ec/)

Con el Formulario de Pago de Matrícula impreso que emite el portal luego del proceso de Inscripción en el curso requerido, usted puede acercarse a cancelar en:

Las sucursales del Banco Guayaquil (directamente a ventanilla sin llenar una papeleta).
Las sucursales del Banco Pichincha (directamente a ventanilla sin llenar una papeleta).
Pichincha Mi Vecino
Además, usted puede realizar los pagos con los datos del Formulario de Pago de Matrícula en:

Banca Electrónica del Banco Pichincha, opción Pagos, Facturas No Inscritas, CENTRO DE EDUCACIÓN CONTINUA EPN.
En el Portal en Línea (https://aps.cec-epn.edu.ec/) con las Tarjetas de Crédito Diners, Discover, VISA Banco Pichincha y Mastercard Banco Pichincha, VISA Banco del Pacífico y PACIFICARD; American Express, Visa Y MasterCard de Banco Guayaquil. Con pago corriente o diferido a tres meses sin intereses.

IMPORTANTE:

Una vez que usted ha realizado el proceso de inscripción, debe imprimir el formato de pago respectivo. Cuando el curso tenga el cupo mínimo necesario, recibirá un correo de confirmación de apertura del curso a su dirección electrónica registrada.  Solo en ese momento usted debe  proceder a realizar el pago correspondiente desde la fecha que se le indique.","EPN, CEC-EPN Se entregará solamente , cuando el estudiante haya aprobado el curso","EPN , CEC-EPN",
,,,,,CURSOS Y PROGRAMAS DE FORMACION,Empresariales,"Brigadas de Evacuación y Rescate
",Presencial,"Este curso se oferta bajo pedido, para grupos e instituciones públicas o privada",16 H,16 H, llamar ,"DESCUENTOS
10% de descuento por pronto pago: pagando dos días antes del inicio del curso.
15% de descuento por pronto pago, grupos a partir de tres o más personas: pagando dos días antes del inicio del curso. Se emitirá una sola factura a nombre de una sola persona del grupo o de la institución auspiciante.
15% de descuento por pronto pago, por cliente frecuente, personas que tomaron cursos durante los últimos seis meses: pagando dos días antes del inicio del curso.
50% de descuento a personas de la tercera edad.
Personas con carnet del CONADIS obtienen descuento, según el grado de discapacidad.
FORMAS DE PAGO

El CEC-EPN pone a su disposición las siguientes formas de pago para la matriculación en los cursos de Educación Presencial:

Matriculación Presencial en las oficinas de la Sede Medio Externo (Av. Toledo N23-55 y Madrid, Planta Baja), en el horario de 07:00 a 18:00 sin interrupción al medio día

Con el formulario de inscripción que llene en Servicio al Cliente, usted puede cancelar en Tesorería:

En efectivo
Cheque certificado a nombre del CENTRO DE EDUCACIÓN CONTINUA EPN
Tarjetas de Débito VISA y Mastercard (Banco Guayaquil, Banco Pichincha)
Tarjetas de Crédito con pago corriente: VISA y MasterCard
Tarjetas de Crédito con pago corriente o diferido a tres meses sin intereses: Diners, Discover, VISA Banco Pichincha, Mastercard Banco Pichincha, VISA Banco del Pacífico y PACIFICARD; Visa, Mastercard Banco Guayaquil y American Express.
Matriculación Online por medio del Portal en Línea (https://aps.cec-epn.edu.ec/)

Con el Formulario de Pago de Matrícula impreso que emite el portal luego del proceso de Inscripción en el curso requerido, usted puede acercarse a cancelar en:

Las sucursales del Banco Guayaquil (directamente a ventanilla sin llenar una papeleta).
Las sucursales del Banco Pichincha (directamente a ventanilla sin llenar una papeleta).
Pichincha Mi Vecino
Además, usted puede realizar los pagos con los datos del Formulario de Pago de Matrícula en:

Banca Electrónica del Banco Pichincha, opción Pagos, Facturas No Inscritas, CENTRO DE EDUCACIÓN CONTINUA EPN.
En el Portal en Línea (https://aps.cec-epn.edu.ec/) con las Tarjetas de Crédito Diners, Discover, VISA Banco Pichincha y Mastercard Banco Pichincha, VISA Banco del Pacífico y PACIFICARD; American Express, Visa Y MasterCard de Banco Guayaquil. Con pago corriente o diferido a tres meses sin intereses.

IMPORTANTE:

Una vez que usted ha realizado el proceso de inscripción, debe imprimir el formato de pago respectivo. Cuando el curso tenga el cupo mínimo necesario, recibirá un correo de confirmación de apertura del curso a su dirección electrónica registrada.  Solo en ese momento usted debe  proceder a realizar el pago correspondiente desde la fecha que se le indique.","EPN, CEC-EPN Se entregará solamente , cuando el estudiante haya aprobado el curso","EPN , CEC-EPN",
,,,,,CURSOS Y PROGRAMAS DE FORMACION,Empresariales,Bizagi,Presencial,"Este curso se oferta bajo pedido, para grupos e instituciones públicas o privada",16 H,16 H, llamar ,"DESCUENTOS
10% de descuento por pronto pago: pagando dos días antes del inicio del curso.
15% de descuento por pronto pago, grupos a partir de tres o más personas: pagando dos días antes del inicio del curso. Se emitirá una sola factura a nombre de una sola persona del grupo o de la institución auspiciante.
15% de descuento por pronto pago, por cliente frecuente, personas que tomaron cursos durante los últimos seis meses: pagando dos días antes del inicio del curso.
50% de descuento a personas de la tercera edad.
Personas con carnet del CONADIS obtienen descuento, según el grado de discapacidad.
FORMAS DE PAGO

El CEC-EPN pone a su disposición las siguientes formas de pago para la matriculación en los cursos de Educación Presencial:

Matriculación Presencial en las oficinas de la Sede Medio Externo (Av. Toledo N23-55 y Madrid, Planta Baja), en el horario de 07:00 a 18:00 sin interrupción al medio día

Con el formulario de inscripción que llene en Servicio al Cliente, usted puede cancelar en Tesorería:

En efectivo
Cheque certificado a nombre del CENTRO DE EDUCACIÓN CONTINUA EPN
Tarjetas de Débito VISA y Mastercard (Banco Guayaquil, Banco Pichincha)
Tarjetas de Crédito con pago corriente: VISA y MasterCard
Tarjetas de Crédito con pago corriente o diferido a tres meses sin intereses: Diners, Discover, VISA Banco Pichincha, Mastercard Banco Pichincha, VISA Banco del Pacífico y PACIFICARD; Visa, Mastercard Banco Guayaquil y American Express.
Matriculación Online por medio del Portal en Línea (https://aps.cec-epn.edu.ec/)

Con el Formulario de Pago de Matrícula impreso que emite el portal luego del proceso de Inscripción en el curso requerido, usted puede acercarse a cancelar en:

Las sucursales del Banco Guayaquil (directamente a ventanilla sin llenar una papeleta).
Las sucursales del Banco Pichincha (directamente a ventanilla sin llenar una papeleta).
Pichincha Mi Vecino
Además, usted puede realizar los pagos con los datos del Formulario de Pago de Matrícula en:

Banca Electrónica del Banco Pichincha, opción Pagos, Facturas No Inscritas, CENTRO DE EDUCACIÓN CONTINUA EPN.
En el Portal en Línea (https://aps.cec-epn.edu.ec/) con las Tarjetas de Crédito Diners, Discover, VISA Banco Pichincha y Mastercard Banco Pichincha, VISA Banco del Pacífico y PACIFICARD; American Express, Visa Y MasterCard de Banco Guayaquil. Con pago corriente o diferido a tres meses sin intereses.

IMPORTANTE:

Una vez que usted ha realizado el proceso de inscripción, debe imprimir el formato de pago respectivo. Cuando el curso tenga el cupo mínimo necesario, recibirá un correo de confirmación de apertura del curso a su dirección electrónica registrada.  Solo en ese momento usted debe  proceder a realizar el pago correspondiente desde la fecha que se le indique.","EPN, CEC-EPN Se entregará solamente , cuando el estudiante haya aprobado el curso","EPN , CEC-EPN",
,,,,,CURSOS Y PROGRAMAS DE FORMACION,Empresariales,Auditoría Gubernamental,Presencial,"Este curso se oferta bajo pedido, para grupos e instituciones públicas o privada",16 H,16 H, llamar ,"DESCUENTOS
10% de descuento por pronto pago: pagando dos días antes del inicio del curso.
15% de descuento por pronto pago, grupos a partir de tres o más personas: pagando dos días antes del inicio del curso. Se emitirá una sola factura a nombre de una sola persona del grupo o de la institución auspiciante.
15% de descuento por pronto pago, por cliente frecuente, personas que tomaron cursos durante los últimos seis meses: pagando dos días antes del inicio del curso.
50% de descuento a personas de la tercera edad.
Personas con carnet del CONADIS obtienen descuento, según el grado de discapacidad.
FORMAS DE PAGO

El CEC-EPN pone a su disposición las siguientes formas de pago para la matriculación en los cursos de Educación Presencial:

Matriculación Presencial en las oficinas de la Sede Medio Externo (Av. Toledo N23-55 y Madrid, Planta Baja), en el horario de 07:00 a 18:00 sin interrupción al medio día

Con el formulario de inscripción que llene en Servicio al Cliente, usted puede cancelar en Tesorería:

En efectivo
Cheque certificado a nombre del CENTRO DE EDUCACIÓN CONTINUA EPN
Tarjetas de Débito VISA y Mastercard (Banco Guayaquil, Banco Pichincha)
Tarjetas de Crédito con pago corriente: VISA y MasterCard
Tarjetas de Crédito con pago corriente o diferido a tres meses sin intereses: Diners, Discover, VISA Banco Pichincha, Mastercard Banco Pichincha, VISA Banco del Pacífico y PACIFICARD; Visa, Mastercard Banco Guayaquil y American Express.
Matriculación Online por medio del Portal en Línea (https://aps.cec-epn.edu.ec/)

Con el Formulario de Pago de Matrícula impreso que emite el portal luego del proceso de Inscripción en el curso requerido, usted puede acercarse a cancelar en:

Las sucursales del Banco Guayaquil (directamente a ventanilla sin llenar una papeleta).
Las sucursales del Banco Pichincha (directamente a ventanilla sin llenar una papeleta).
Pichincha Mi Vecino
Además, usted puede realizar los pagos con los datos del Formulario de Pago de Matrícula en:

Banca Electrónica del Banco Pichincha, opción Pagos, Facturas No Inscritas, CENTRO DE EDUCACIÓN CONTINUA EPN.
En el Portal en Línea (https://aps.cec-epn.edu.ec/) con las Tarjetas de Crédito Diners, Discover, VISA Banco Pichincha y Mastercard Banco Pichincha, VISA Banco del Pacífico y PACIFICARD; American Express, Visa Y MasterCard de Banco Guayaquil. Con pago corriente o diferido a tres meses sin intereses.

IMPORTANTE:

Una vez que usted ha realizado el proceso de inscripción, debe imprimir el formato de pago respectivo. Cuando el curso tenga el cupo mínimo necesario, recibirá un correo de confirmación de apertura del curso a su dirección electrónica registrada.  Solo en ese momento usted debe  proceder a realizar el pago correspondiente desde la fecha que se le indique.","EPN, CEC-EPN Se entregará solamente , cuando el estudiante haya aprobado el curso","EPN , CEC-EPN",
,,,,,CURSOS Y PROGRAMAS DE FORMACION,Empresariales,Auditoría a los Procesos de Contratación Pública,Presencial,"Este curso se oferta bajo pedido, para grupos e instituciones públicas o privada",16 H,16 H, llamar ,"DESCUENTOS
10% de descuento por pronto pago: pagando dos días antes del inicio del curso.
15% de descuento por pronto pago, grupos a partir de tres o más personas: pagando dos días antes del inicio del curso. Se emitirá una sola factura a nombre de una sola persona del grupo o de la institución auspiciante.
15% de descuento por pronto pago, por cliente frecuente, personas que tomaron cursos durante los últimos seis meses: pagando dos días antes del inicio del curso.
50% de descuento a personas de la tercera edad.
Personas con carnet del CONADIS obtienen descuento, según el grado de discapacidad.
FORMAS DE PAGO

El CEC-EPN pone a su disposición las siguientes formas de pago para la matriculación en los cursos de Educación Presencial:

Matriculación Presencial en las oficinas de la Sede Medio Externo (Av. Toledo N23-55 y Madrid, Planta Baja), en el horario de 07:00 a 18:00 sin interrupción al medio día

Con el formulario de inscripción que llene en Servicio al Cliente, usted puede cancelar en Tesorería:

En efectivo
Cheque certificado a nombre del CENTRO DE EDUCACIÓN CONTINUA EPN
Tarjetas de Débito VISA y Mastercard (Banco Guayaquil, Banco Pichincha)
Tarjetas de Crédito con pago corriente: VISA y MasterCard
Tarjetas de Crédito con pago corriente o diferido a tres meses sin intereses: Diners, Discover, VISA Banco Pichincha, Mastercard Banco Pichincha, VISA Banco del Pacífico y PACIFICARD; Visa, Mastercard Banco Guayaquil y American Express.
Matriculación Online por medio del Portal en Línea (https://aps.cec-epn.edu.ec/)

Con el Formulario de Pago de Matrícula impreso que emite el portal luego del proceso de Inscripción en el curso requerido, usted puede acercarse a cancelar en:

Las sucursales del Banco Guayaquil (directamente a ventanilla sin llenar una papeleta).
Las sucursales del Banco Pichincha (directamente a ventanilla sin llenar una papeleta).
Pichincha Mi Vecino
Además, usted puede realizar los pagos con los datos del Formulario de Pago de Matrícula en:

Banca Electrónica del Banco Pichincha, opción Pagos, Facturas No Inscritas, CENTRO DE EDUCACIÓN CONTINUA EPN.
En el Portal en Línea (https://aps.cec-epn.edu.ec/) con las Tarjetas de Crédito Diners, Discover, VISA Banco Pichincha y Mastercard Banco Pichincha, VISA Banco del Pacífico y PACIFICARD; American Express, Visa Y MasterCard de Banco Guayaquil. Con pago corriente o diferido a tres meses sin intereses.

IMPORTANTE:

Una vez que usted ha realizado el proceso de inscripción, debe imprimir el formato de pago respectivo. Cuando el curso tenga el cupo mínimo necesario, recibirá un correo de confirmación de apertura del curso a su dirección electrónica registrada.  Solo en ese momento usted debe  proceder a realizar el pago correspondiente desde la fecha que se le indique.","EPN, CEC-EPN Se entregará solamente , cuando el estudiante haya aprobado el curso","EPN , CEC-EPN",
,,,,,CURSOS Y PROGRAMAS DE FORMACION,Empresariales,Análisis Financiero,Presencial,"Este curso se oferta bajo pedido, para grupos e instituciones públicas o privada",24 H,24 H, llamar ,"DESCUENTOS
10% de descuento por pronto pago: pagando dos días antes del inicio del curso.
15% de descuento por pronto pago, grupos a partir de tres o más personas: pagando dos días antes del inicio del curso. Se emitirá una sola factura a nombre de una sola persona del grupo o de la institución auspiciante.
15% de descuento por pronto pago, por cliente frecuente, personas que tomaron cursos durante los últimos seis meses: pagando dos días antes del inicio del curso.
50% de descuento a personas de la tercera edad.
Personas con carnet del CONADIS obtienen descuento, según el grado de discapacidad.
FORMAS DE PAGO

El CEC-EPN pone a su disposición las siguientes formas de pago para la matriculación en los cursos de Educación Presencial:

Matriculación Presencial en las oficinas de la Sede Medio Externo (Av. Toledo N23-55 y Madrid, Planta Baja), en el horario de 07:00 a 18:00 sin interrupción al medio día

Con el formulario de inscripción que llene en Servicio al Cliente, usted puede cancelar en Tesorería:

En efectivo
Cheque certificado a nombre del CENTRO DE EDUCACIÓN CONTINUA EPN
Tarjetas de Débito VISA y Mastercard (Banco Guayaquil, Banco Pichincha)
Tarjetas de Crédito con pago corriente: VISA y MasterCard
Tarjetas de Crédito con pago corriente o diferido a tres meses sin intereses: Diners, Discover, VISA Banco Pichincha, Mastercard Banco Pichincha, VISA Banco del Pacífico y PACIFICARD; Visa, Mastercard Banco Guayaquil y American Express.
Matriculación Online por medio del Portal en Línea (https://aps.cec-epn.edu.ec/)

Con el Formulario de Pago de Matrícula impreso que emite el portal luego del proceso de Inscripción en el curso requerido, usted puede acercarse a cancelar en:

Las sucursales del Banco Guayaquil (directamente a ventanilla sin llenar una papeleta).
Las sucursales del Banco Pichincha (directamente a ventanilla sin llenar una papeleta).
Pichincha Mi Vecino
Además, usted puede realizar los pagos con los datos del Formulario de Pago de Matrícula en:

Banca Electrónica del Banco Pichincha, opción Pagos, Facturas No Inscritas, CENTRO DE EDUCACIÓN CONTINUA EPN.
En el Portal en Línea (https://aps.cec-epn.edu.ec/) con las Tarjetas de Crédito Diners, Discover, VISA Banco Pichincha y Mastercard Banco Pichincha, VISA Banco del Pacífico y PACIFICARD; American Express, Visa Y MasterCard de Banco Guayaquil. Con pago corriente o diferido a tres meses sin intereses.

IMPORTANTE:

Una vez que usted ha realizado el proceso de inscripción, debe imprimir el formato de pago respectivo. Cuando el curso tenga el cupo mínimo necesario, recibirá un correo de confirmación de apertura del curso a su dirección electrónica registrada.  Solo en ese momento usted debe  proceder a realizar el pago correspondiente desde la fecha que se le indique.","EPN, CEC-EPN Se entregará solamente , cuando el estudiante haya aprobado el curso","EPN , CEC-EPN",
,,,,,CURSOS Y PROGRAMAS DE FORMACION,Empresariales,Programación Aplicada a Estadística con R,Presencial,"Este curso se oferta bajo pedido, para grupos e instituciones públicas o privada",40 H,40 H, llamar ,"DESCUENTOS
10% de descuento por pronto pago: pagando dos días antes del inicio del curso.
15% de descuento por pronto pago, grupos a partir de tres o más personas: pagando dos días antes del inicio del curso. Se emitirá una sola factura a nombre de una sola persona del grupo o de la institución auspiciante.
15% de descuento por pronto pago, por cliente frecuente, personas que tomaron cursos durante los últimos seis meses: pagando dos días antes del inicio del curso.
50% de descuento a personas de la tercera edad.
Personas con carnet del CONADIS obtienen descuento, según el grado de discapacidad.
FORMAS DE PAGO

El CEC-EPN pone a su disposición las siguientes formas de pago para la matriculación en los cursos de Educación Presencial:

Matriculación Presencial en las oficinas de la Sede Medio Externo (Av. Toledo N23-55 y Madrid, Planta Baja), en el horario de 07:00 a 18:00 sin interrupción al medio día

Con el formulario de inscripción que llene en Servicio al Cliente, usted puede cancelar en Tesorería:

En efectivo
Cheque certificado a nombre del CENTRO DE EDUCACIÓN CONTINUA EPN
Tarjetas de Débito VISA y Mastercard (Banco Guayaquil, Banco Pichincha)
Tarjetas de Crédito con pago corriente: VISA y MasterCard
Tarjetas de Crédito con pago corriente o diferido a tres meses sin intereses: Diners, Discover, VISA Banco Pichincha, Mastercard Banco Pichincha, VISA Banco del Pacífico y PACIFICARD; Visa, Mastercard Banco Guayaquil y American Express.
Matriculación Online por medio del Portal en Línea (https://aps.cec-epn.edu.ec/)

Con el Formulario de Pago de Matrícula impreso que emite el portal luego del proceso de Inscripción en el curso requerido, usted puede acercarse a cancelar en:

Las sucursales del Banco Guayaquil (directamente a ventanilla sin llenar una papeleta).
Las sucursales del Banco Pichincha (directamente a ventanilla sin llenar una papeleta).
Pichincha Mi Vecino
Además, usted puede realizar los pagos con los datos del Formulario de Pago de Matrícula en:

Banca Electrónica del Banco Pichincha, opción Pagos, Facturas No Inscritas, CENTRO DE EDUCACIÓN CONTINUA EPN.
En el Portal en Línea (https://aps.cec-epn.edu.ec/) con las Tarjetas de Crédito Diners, Discover, VISA Banco Pichincha y Mastercard Banco Pichincha, VISA Banco del Pacífico y PACIFICARD; American Express, Visa Y MasterCard de Banco Guayaquil. Con pago corriente o diferido a tres meses sin intereses.

IMPORTANTE:

Una vez que usted ha realizado el proceso de inscripción, debe imprimir el formato de pago respectivo. Cuando el curso tenga el cupo mínimo necesario, recibirá un correo de confirmación de apertura del curso a su dirección electrónica registrada.  Solo en ese momento usted debe  proceder a realizar el pago correspondiente desde la fecha que se le indique.","EPN, CEC-EPN Se entregará solamente , cuando el estudiante haya aprobado el curso","EPN , CEC-EPN",
,,,,,CURSOS Y PROGRAMAS DE FORMACION,Empresariales,Administración y Control de Bienes y Existencias del Sector Público,Presencial,"Este curso se oferta bajo pedido, para grupos e instituciones públicas o privada",24 H,24 H, llamar ,"DESCUENTOS
10% de descuento por pronto pago: pagando dos días antes del inicio del curso.
15% de descuento por pronto pago, grupos a partir de tres o más personas: pagando dos días antes del inicio del curso. Se emitirá una sola factura a nombre de una sola persona del grupo o de la institución auspiciante.
15% de descuento por pronto pago, por cliente frecuente, personas que tomaron cursos durante los últimos seis meses: pagando dos días antes del inicio del curso.
50% de descuento a personas de la tercera edad.
Personas con carnet del CONADIS obtienen descuento, según el grado de discapacidad.
FORMAS DE PAGO

El CEC-EPN pone a su disposición las siguientes formas de pago para la matriculación en los cursos de Educación Presencial:

Matriculación Presencial en las oficinas de la Sede Medio Externo (Av. Toledo N23-55 y Madrid, Planta Baja), en el horario de 07:00 a 18:00 sin interrupción al medio día

Con el formulario de inscripción que llene en Servicio al Cliente, usted puede cancelar en Tesorería:

En efectivo
Cheque certificado a nombre del CENTRO DE EDUCACIÓN CONTINUA EPN
Tarjetas de Débito VISA y Mastercard (Banco Guayaquil, Banco Pichincha)
Tarjetas de Crédito con pago corriente: VISA y MasterCard
Tarjetas de Crédito con pago corriente o diferido a tres meses sin intereses: Diners, Discover, VISA Banco Pichincha, Mastercard Banco Pichincha, VISA Banco del Pacífico y PACIFICARD; Visa, Mastercard Banco Guayaquil y American Express.
Matriculación Online por medio del Portal en Línea (https://aps.cec-epn.edu.ec/)

Con el Formulario de Pago de Matrícula impreso que emite el portal luego del proceso de Inscripción en el curso requerido, usted puede acercarse a cancelar en:

Las sucursales del Banco Guayaquil (directamente a ventanilla sin llenar una papeleta).
Las sucursales del Banco Pichincha (directamente a ventanilla sin llenar una papeleta).
Pichincha Mi Vecino
Además, usted puede realizar los pagos con los datos del Formulario de Pago de Matrícula en:

Banca Electrónica del Banco Pichincha, opción Pagos, Facturas No Inscritas, CENTRO DE EDUCACIÓN CONTINUA EPN.
En el Portal en Línea (https://aps.cec-epn.edu.ec/) con las Tarjetas de Crédito Diners, Discover, VISA Banco Pichincha y Mastercard Banco Pichincha, VISA Banco del Pacífico y PACIFICARD; American Express, Visa Y MasterCard de Banco Guayaquil. Con pago corriente o diferido a tres meses sin intereses.

IMPORTANTE:

Una vez que usted ha realizado el proceso de inscripción, debe imprimir el formato de pago respectivo. Cuando el curso tenga el cupo mínimo necesario, recibirá un correo de confirmación de apertura del curso a su dirección electrónica registrada.  Solo en ese momento usted debe  proceder a realizar el pago correspondiente desde la fecha que se le indique.","EPN, CEC-EPN Se entregará solamente , cuando el estudiante haya aprobado el curso","EPN , CEC-EPN",
