id_curso_perfil,tipo,area_familia,especialidad_sector,curso_perfil,modalidad,carga_horaria
1583,curso,tecnologías de la información y comunicación,software especializado,revit architecture,presencial,40.0
1584,curso,tecnologías de la información y comunicación,software especializado,autocad basico,presencial,40.0
1585,curso,tecnologías de la información y comunicación,software especializado,autocad intermedio,presencial,40.0
1586,curso,tecnologías de la información y comunicación,software especializado,autocad avanzado,presencial,40.0
1587,curso,tecnologías de la información y comunicación,software especializado,sistema de información geográfica - sig,presencial,40.0
1588,curso,administración y legislación,administración general,contratacion publica nivel basico,presencial,20.0
1589,curso,administración y legislación,administración general,contratacion publica nivel intermedio,presencial,20.0
1590,curso,administración y legislación,administración general,gestion plan de contingencia en tiempo,presencial,30.0
1591,curso,administración y legislación,administración general,administracion del tiempo,presencial,30.0
1592,curso,finanzas comercio y ventas,crédito y cobranzas,gestion de cartera vencida,presencial,30.0
1593,curso,finanzas comercio y ventas,presupuestos y flujo de caja,elaboración y estructuras de flujos de caja,presencial,48.0
1594,curso,finanzas comercio y ventas,marketing y ventas,el marketing para microempresas,presencial,48.0
1595,curso,administración y legislación,administración contable y de costos,la tributación en mi negocio,presencial,48.0
1596,curso,tecnologías de la información y comunicación,hardware y equipos,mantenimiento correctivo y preventivo de ordenadores,presencial,48.0
1597,curso,administración y legislación,administración general,administración de organizaciones y pymes,presencial,48.0
1598,curso,administración y legislación,administración contable y de costos,matemática financiera,presencial,48.0
1599,curso,administración y legislación,administración contable y de costos,clasificación de los costos por su identidad y por el comportamiento teórico práctico,presencial,48.0
1600,curso,administración y legislación,administración contable y de costos,contabilidad de costos,presencial,48.0
1601,curso,tecnologías de la información y comunicación,hardware y equipos,"mantenimiento, reparación y configuración de computadoras",presencial,100.0
1602,curso,educación y capacitación,formación de instructores facilitadores monitores maestros guías formadores,formación de formador,presencial,40.0
1603,curso,educación y capacitación,idiomas,nivel básico a2- inglés,presencial,240.0
1604,curso,educación y capacitación,idiomas,nivel básico a1- inglés,presencial,240.0
1605,curso,transporte y logística,transporte de carga y de pasajeros,normas de seguridad portuaria,presencial,10.0
1606,curso,transporte y logística,transporte de carga y de pasajeros,normas de seguridad portuaria,online,10.0
1607,curso,transporte y logística,transporte de carga y de pasajeros,código pbip para el personal de apoyo en las instalaciones portuarias,presencial,8.0
1608,curso,transporte y logística,transporte de carga y de pasajeros,código pbip para el personal de apoyo en las instalaciones portuarias,online,8.0
1609,curso,transporte y logística,transporte de carga y de pasajeros,operaciones de equipo portuario (a bordo y en tierra),presencial,20.0
1610,curso,transporte y logística,pilotaje y técnicas de navegación,uso operacional del sistema automático de de radar y ploteo,presencial,8.0
1611,curso,transporte y logística,pilotaje y técnicas de navegación,equipo de trabajo en el puente,presencial,8.0
1612,curso,transporte y logística,pilotaje y técnicas de navegación,observador de radar y ploteocon simulador,presencial,8.0
1613,curso,transporte y logística,transporte de carga y de pasajeros,"principios fundamnetales de seguridad de navegación y supervivencia en el mar (omi 1.13, 1.19, 1.20, 1,21)",presencial,16.0
1614,curso,especies acuáticas y pesca,pesca artesanal y buceo,principios fundamentales supervivencia en el mar,presencial,8.0
1615,curso,especies acuáticas y pesca,pesca artesanal y buceo,supervivencia en la mar pescadores artesanales,presencial,8.0
1616,curso,especies acuáticas y pesca,pesca artesanal y buceo,técnicas de supervivencia personal omi 1.19,presencial,8.0
1617,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,prevención de enfermedades ocupacionales,presencial,40.0
1618,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,prevención de riesgos eléctricos,presencial,40.0
1619,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,prevención en soldadura,presencial,40.0
1620,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,"programa de prevención integral al uso y consumo de drogas en los espacios laborales, públicos y privados",presencial,40.0
1621,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,reglamento de seguridad y salud-organismos paritarios,presencial,8.0
1622,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,bloqueo y etiquetado,presencial,40.0
1623,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,gestión de riesgos laborales,presencial,40.0
1624,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,legislación y normativa de seguridad y salud ocupacional,presencial,40.0
1625,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,permisos de trabajo actividades de alto riesgo,presencial,40.0
1626,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,prevención de trabajos en altura,presencial,40.0
1627,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,acoso laboral / mobbing laboral,presencial,40.0
1628,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,diseño ergonómico de puestos de trabajo,presencial,40.0
1629,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,equipos de protección personal,presencial,40.0
1630,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,manejo seguro de montacargas,presencial,40.0
1631,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,prevención de riesgos en la construcción,presencial,40.0
1632,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,prevención de riesgos psicosociales,presencial,40.0
1633,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,trabajos en espacios confinados,presencial,40.0
1634,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,"elaboración de análisis de mapas de riesgos laborales, naturales y antrópicos",presencial,40.0
1635,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,estrés laboral,presencial,40.0
1636,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,fundamentos de seguridad y salud en el trabajo,presencial,40.0
1637,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,bloqueo y etiquetado,online,40.0
1638,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,gestión de riesgos laborales,online,40.0
1639,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,permisos de trabajo para actividades de alto riesgo,online,40.0
1640,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,prevención de trabajos en altura,online,40.0
1641,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,diseño ergonómico de puestos de trabajo,online,40.0
1642,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,equipos de protección personal,online,40.0
1643,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,manejo seguro de montacargas,online,40.0
1644,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,prevención de riesgos en la construcción,online,40.0
1645,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,prevención de riesgos psicosociales,online,40.0
1646,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,trabajos en espacios confinados,online,40.0
1647,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,"elaboración y análisis de mapas de riesgos laborales, naturales y antrópicos",online,40.0
1648,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,estrés laboral,online,40.0
1649,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,brigadas contra incendios,online,40.0
1650,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,brigadas de emergencia,online,40.0
1651,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,brigadas de evacuación y rescate,online,40.0
1652,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,brigadas de primeros auxilios,online,40.0
1653,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,indicadores del sistema de gestión de la seguridad y salud en el trabajo,online,40.0
1654,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,plan de emergencias y autoprotección,online,40.0
1655,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,prevención en el manejo de desechos hospitalarios,online,40.0
1656,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,prevención en los trabajos y mantenimientos de vías,online,40.0
1657,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,"reporte, investigación y análisis de accidentes e incidentes de trabajo",online,40.0
1658,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,prevención de enfermedades ocupacionales,online,40.0
1659,curso,administración y legislación,administración general,compras públicas,online,40.0
1660,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,prevención de riesgos eléctricos,online,40.0
1661,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,prevención en soldadura,online,40.0
1662,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,"programa de prevención integral al uso y consumo de drogas en los espacios laborales, públicos y privados",online,40.0
1663,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,reglamento de seguridad y salud - organismos paritarios,online,40.0
1664,curso,forestal ecología y medio ambiente,gestión e impacto ambiental,auditoría ambiental,presencial,40.0
1665,curso,forestal ecología y medio ambiente,gestión e impacto ambiental,auditoría ambiental,online,40.0
1666,curso,educación y capacitación,formación de instructores facilitadores monitores maestros guías formadores,diseño instruccional para la educación virtual y a distancia,presencial,40.0
1667,curso,educación y capacitación,formación de instructores facilitadores monitores maestros guías formadores,diseño instruccional para la educación virtual y a distancia,online,40.0
1668,curso,educación y capacitación,metodología y técnica de aprendizaje,estrategia para educación virtual y a distancia,presencial,80.0
1669,curso,educación y capacitación,metodología y técnica de aprendizaje,estrategia para educación virtual y a distancia,online,80.0
1670,curso,forestal ecología y medio ambiente,gestión e impacto ambiental,gestión de riesgo y drenaje,presencial,8.0
1671,curso,forestal ecología y medio ambiente,gestión e impacto ambiental,gestión de riesgo y drenaje,online,8.0
1672,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,prevención en el manejo de agroquímicos,presencial,8.0
1673,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,prevención en el manejo de agroquímicos,online,8.0
1674,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,seguridad en perforación de pozos,presencial,16.0
1675,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,seguridad en perforación de pozos,online,16.0
1676,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,prevención en obras portuarias,presencial,8.0
1677,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,prevención en obras portuarias,online,8.0
1678,curso,procesos industriales,petróleo,análisis de riesgos asociados a las operaciones de perforación,presencial,24.0
1679,curso,procesos industriales,petróleo,análisis de riesgos asociados a las operaciones de perforación,online,24.0
1680,curso,procesos industriales,petróleo,completamiento y rehabilitación de pozos,presencial,40.0
1681,curso,procesos industriales,petróleo,completamiento y rehabilitaciión de pozos,online,40.0
1682,curso,procesos industriales,petróleo,fundamentos de perforación de pozos para no petroleros,presencial,16.0
1683,curso,procesos industriales,petróleo,fundamentos de perforación de pozos para no petroleros,online,16.0
1684,curso,finanzas comercio y ventas,marketing y ventas,marketing digital,presencial,40.0
1685,curso,finanzas comercio y ventas,marketing y ventas,marketing digital,online,40.0
1686,curso,finanzas comercio y ventas,marketing y ventas,neuromarketing,presencial,40.0
1687,curso,finanzas comercio y ventas,marketing y ventas,neuromarketing,online,40.0
1688,curso,administración y legislación,gestión del talento humano,coaching de transformación y alto impacto,presencial,40.0
1689,curso,administración y legislación,gestión del talento humano,coaching de transformación y alto impacto,online,40.0
1690,curso,procesos industriales,petróleo,rig pass + h2s,presencial,8.0
1691,curso,procesos industriales,petróleo,rig pass + h2s,online,8.0
1692,curso,procesos industriales,petróleo,diseño implementación y mantenimiento de sistemas de detención bajo norma nfpa,presencial,24.0
1693,curso,procesos industriales,petróleo,diseño implementación y mantenimiento de sistemas de detención bajo norma nfpa,online,24.0
1694,curso,procesos industriales,petróleo,diseño implementación y mantenimiento de redes hídricas bajo norma nfpa,presencial,32.0
1695,curso,procesos industriales,petróleo,diseño implementación y mantenimiento de redes hídricas bajo norma nfpa,online,32.0
1696,curso,educación y capacitación,capacitación,cumplimiento técnico legal del código de seguridad humana y normativa vigente nacional de protección de incendios,presencial,40.0
1697,curso,educación y capacitación,capacitación,cumplimiento técnico legal del código de seguridad humana y normativa vigente nacional de protección de incendios,online,40.0
1698,curso,servicios socioculturales y a la comunidad,salud y medicina,gestión en salud ocupacional y medicina del trabajo,presencial,240.0
1699,curso,servicios socioculturales y a la comunidad,salud y medicina,gestión en salud ocupacional y medicina del trabajo,online,240.0
1700,curso,construcción e infraestructura,albañilería,actividades del maestro mayor en la construcción,presencial,240.0
1701,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,brigadas de primeros auxilios,presencial,16.0
1702,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,brigada de emergencia,presencial,16.0
1703,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,prevención de trabajos en altura,presencial,20.0
1704,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,"reporte, investigación y análisis de accidentes e incidentes de trabajo",presencial,16.0
1705,curso,administración y legislación,gestión de la calidad,auditoria de gestión de calidad iso 9001,presencial,32.0
1706,curso,administración y legislación,gestión de la calidad,auditoria de gestión de seguridad y salud ocupacional iso 45001,presencial,32.0
1707,curso,administración y legislación,gestión de la calidad,auditoria de gestión ambiental iso 14001,presencial,32.0
1708,curso,administración y legislación,gestión de la calidad,auditoria en sistemas integrados de gestión,presencial,40.0
1709,curso,transporte y logística,conducción de vehículos terrestres,fundamentos teóricos de conducción a la defensiva,presencial,16.0
1710,curso,educación y capacitación,formación de instructores facilitadores monitores maestros guías formadores,formación de formadores,presencial,40.0
1711,curso,transporte y logística,geodesia,arcgis avanzado en sistemas de información geográfica,presencial,40.0
1712,curso,educación y capacitación,capacitación,montaje y desmontaje de redes anti caidas tipo v-s-t-u bajo normativa europea,presencial,20.0
1713,curso,procesos industriales,operación reparación y mantenimiento de maquinas y equipos,técnicas y maniobras en la operación de izaje de cargas,presencial,20.0
1714,curso,administración y legislación,administración contable y de costos,formación de expertos en cálculo de nomina,presencial,20.0
1715,curso,finanzas comercio y ventas,crédito y cobranzas,negociación para abatimiento de morosidades en la cobranza innovadora,presencial,20.0
1716,curso,administración y legislación,administración general,administración de edificios,presencial,36.0
1717,curso,finanzas comercio y ventas,marketing y ventas,venta de bienes inmuebles,presencial,36.0
1718,curso,administración y legislación,administración contable y de costos,formación integral cajero bancario y comercial,presencial,98.0
1719,curso,servicios socioculturales y a la comunidad,salud y medicina,aplicación de la psicología forense,presencial,180.0
1720,curso,administración y legislación,gestión del talento humano,formación de expertos en selección de personal,presencial,36.0
1721,curso,finanzas comercio y ventas,riesgo financiero,gestión empresarial por indicadores financieros,presencial,40.0
1722,curso,finanzas comercio y ventas,marketing y ventas,marketing digital para abogados y estudios jurídicos,presencial,40.0
1723,curso,finanzas comercio y ventas,marketing y ventas,marketing en redes sociales,presencial,40.0
1724,curso,finanzas comercio y ventas,marketing y ventas,community manager,presencial,40.0
1725,curso,finanzas comercio y ventas,marketing y ventas,formación de personal brander,presencial,40.0
1726,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,brigadas de evacuación y rescate,online,8.0
1727,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,brigadas de primeros auxilios,online,8.0
1728,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,brigadas de comunicación,online,8.0
1729,curso,tecnologías de la información y comunicación,control de calidad,metodologías de identificación de riesgos,presencial,12.0
1730,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,reglamento de seguridad y salud - organismos paritarios,presencial,8.0
1731,curso,educación y capacitación,idiomas,nivel intermedio alto b2,presencial,120.0
1732,curso,educación y capacitación,idiomas,nivel avanzado c1,presencial,120.0
1733,curso,educación y capacitación,idiomas,nivel pei básico a1,semipresencial,120.0
1734,curso,educación y capacitación,idiomas,nivel pei básico a2,semipresencial,120.0
1735,curso,educación y capacitación,idiomas,nivel pei intermedio b1,semipresencial,120.0
1736,curso,educación y capacitación,idiomas,nivel pei intermedio alto b2,semipresencial,120.0
1737,curso,transporte y logística,conducción de vehículos terrestres,educación y seguridad vial conducción defensiva,presencial,12.0
1738,curso,mecánica automotriz,mecánica general,mecánica básica,presencial,8.0
1739,curso,educación y capacitación,formación de instructores facilitadores monitores maestros guías formadores,formación de instructor en fitness colectivo con soporte musical,semipresencial,80.0
1740,curso,educación y capacitación,formación de instructores facilitadores monitores maestros guías formadores,formación de instructor en prescripción del ejercicio en entrenamiento para mujeres,presencial,80.0
1741,curso,educación y capacitación,formación de instructores facilitadores monitores maestros guías formadores,elaboración de artículos científicos aplicado a las ciencias del deporte,online,40.0
1742,curso,educación y capacitación,formación de instructores facilitadores monitores maestros guías formadores,formación de instructor en prescripción del ejercicio en sala fitness y entrenamiento personal,semipresencial,80.0
1743,curso,educación y capacitación,formación de instructores facilitadores monitores maestros guías formadores,formación de instructor en entrenamiento funcional,presencial,56.0
1744,curso,educación y capacitación,formación de instructores facilitadores monitores maestros guías formadores,formación de instructor en aeróbicos y step,semipresencial,72.0
1745,curso,educación y capacitación,formación de instructores facilitadores monitores maestros guías formadores,formación de instructor en baile fitness,semipresencial,56.0
1746,curso,educación y capacitación,formación de instructores facilitadores monitores maestros guías formadores,formación de instructor en fitness de combate,presencial,72.0
1747,curso,educación y capacitación,formación de instructores facilitadores monitores maestros guías formadores,formación de instructor en preparación física y planificación en el fútbol,semipresencial,80.0
1748,curso,educación y capacitación,formación de instructores facilitadores monitores maestros guías formadores,formación de instructor en preparación física de baloncesto,semipresencial,72.0
1749,curso,administración y legislación,gestión de la calidad,cambios de la norma iso 9001:2015,presencial,8.0
1750,curso,administración y legislación,gestión de la calidad,introducción a la norma iso 31000,presencial,12.0
1751,curso,administración y legislación,gestión de la calidad,formación auditor interno iso 9001:2015,presencial,24.0
1752,curso,administración y legislación,gestión de la calidad,formación auditor lider iso 9001:2015-aval irca,presencial,40.0
1753,curso,administración y legislación,gestión de la calidad,"las 5""s - los cinco pasos del housekeeping",presencial,8.0
1754,curso,administración y legislación,gestión de la calidad,formación de auditor lider iso 27001:2013 aval irca,presencial,40.0
1755,curso,administración y legislación,gestión de la calidad,formación de auditor interno sedex members ethical trade audit,presencial,24.0
1756,curso,administración y legislación,gestión de la calidad,formación de auditor interno iso 27001:2013,presencial,24.0
1757,curso,administración y legislación,gestión de la calidad,formación de auditor interno iso 50001:2011,presencial,24.0
1758,curso,administración y legislación,gestión de la calidad,introduccion iso 37001:2016,presencial,22.0
1759,curso,administración y legislación,gestión de la calidad,formación auditor interno iso 37001:2016,presencial,24.0
1760,curso,administración y legislación,gestión de la calidad,formacion de auditor lider iso 45001:2018 aval irca,presencial,40.0
1761,curso,administración y legislación,gestión de la calidad,formación auditor interno iso 45001:2018,presencial,24.0
1762,curso,administración y legislación,gestión de la calidad,formacion auditor interno iso 14001-2015,presencial,24.0
1763,curso,administración y legislación,gestión de la calidad,formacion auditor lider 14001:2015 aval irca,presencial,40.0
1764,curso,administración y legislación,gestión de la calidad,"formacion auditor interno sistemas integrados (iso 14001, iso 45001, iso 9001)",presencial,24.0
1765,curso,administración y legislación,gestión de la calidad,formacion de auditor interno bpm codex y arcsa,presencial,24.0
1766,curso,administración y legislación,gestión de la calidad,formacion de auditor interno haccp,presencial,24.0
1767,curso,administración y legislación,gestión de la calidad,formacion de auditor interno fssc 22000:2013,presencial,24.0
1768,curso,administración y legislación,gestión de la calidad,formacion de auditor lider fssc 22000:2013 aval irca,presencial,40.0
1769,curso,administración y legislación,gestión de la calidad,controles preventivos para alimentos de consumo humano (fsma),presencial,24.0
1770,curso,administración y legislación,gestión de la calidad,formación auditor interno iso 37001:2016,online,24.0
1771,curso,administración y legislación,gestión de la calidad,introducción iso 37001:2016,online,22.0
1772,curso,administración y legislación,gestión de la calidad,"formación auditor interno sistemas integrados (iso 14001, iso 45001, iso 9001)",online,24.0
1773,curso,educación y capacitación,formación de instructores facilitadores monitores maestros guías formadores,disciplina positiva en el aula de clase,presencial,20.0
1774,curso,educación y capacitación,formación de instructores facilitadores monitores maestros guías formadores,disciplina positiva avanzada,semipresencial,120.0
1775,curso,educación y capacitación,formación de instructores facilitadores monitores maestros guías formadores,disciplina positiva en la familia,presencial,20.0
1776,curso,educación y capacitación,formación de instructores facilitadores monitores maestros guías formadores,disciplina positiva en la primera infancia,presencial,20.0
1777,curso,educación y capacitación,formación de instructores facilitadores monitores maestros guías formadores,encouragement consultant - autoconocimiento y empoderamiento,presencial,20.0
1778,curso,educación y capacitación,formación de instructores facilitadores monitores maestros guías formadores,recreación educativa y tiempo libre,semipresencial,60.0
1779,curso,educación y capacitación,capacitación,desarrollo de competencias profesionales a partir de voluntariado: voluntarear,online,40.0
1780,curso,procesos industriales,textil,corte y confección,presencial,150.0
1781,curso,mecánica industrial y minería,soldadura,soldadura electrica,presencial,150.0
1782,curso,mecánica industrial y minería,tornería,torno,presencial,150.0
1783,curso,finanzas comercio y ventas,presupuestos y flujo de caja,gestión de caja y microcrédito,presencial,150.0
1784,curso,procesos industriales,automatización industrial y robótica,automatización,presencial,50.0
1785,curso,artes y artesanía,peluquería y belleza barbería y estilismo,manicura y pedicura,presencial,150.0
1786,curso,alimentación gastronomía y turismo,cocina nacional e internacional,"cocina, postres y bocaditos",presencial,150.0
1787,curso,procesos industriales,textil,confección de prendas deportivas,presencial,50.0
1788,curso,procesos industriales,textil,confección de bolsos y otras manualidades,presencial,15.0
1789,curso,administración y legislación,administración contable y de costos,contabilidad y tributación básica,presencial,150.0
1790,curso,tecnologías de la información y comunicación,programas de escritorio,computación,presencial,150.0
1791,curso,electricidad y electrónica,electricidad domiciliaria,electricidad,presencial,50.0
1792,curso,educación y capacitación,capacitación,competencias laborales básica,presencial,120.0
1793,curso,procesos industriales,refrigeración,refrigeración doméstica e industrial,presencial,50.0
1794,curso,procesos industriales,textil,confección básica,presencial,50.0
1795,curso,procesos industriales,textil,confección de bolsos y otras manualidades,presencial,50.0
1796,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,prevención de riesgos laborales,presencial,40.0
1797,curso,administración y legislación,administración general,generación de ideas de negocios,presencial,16.0
1798,curso,comunicación y artes gráficas,gráfica,"serigrafía, sublimación y diseño gráfico",presencial,200.0
1799,curso,artes y artesanía,peluquería y belleza barbería y estilismo,decoloración y belleza,presencial,100.0
1800,curso,artes y artesanía,peluquería y belleza barbería y estilismo,peluquería y belleza,presencial,100.0
1801,curso,educación y capacitación,evaluación del aprendizaje,evaluación auténtica de aprendizajes,presencial,16.0
1802,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,prevención de riesgos laborales,online,40.0
1803,curso,administración y legislación,administración general,generación de ideas de negocios,online,16.0
1804,curso,comunicación y artes gráficas,fotografía,fotografía,presencial,40.0
1805,curso,electricidad y electrónica,electrónica industrial,electrónica aplicada,presencial,40.0
1806,curso,construcción e infraestructura,albañilería,construcción civil,presencial,40.0
1807,curso,artes y artesanía,peluquería y belleza barbería y estilismo,belleza,presencial,40.0
1808,curso,mecánica automotriz,mecánica general,mecánica automotriz,presencial,40.0
1809,curso,educación y capacitación,idiomas,nivel básico a1 - inglés,presencial,60.0
1810,curso,educación y capacitación,idiomas,nivel intermedio b1 - inglés,presencial,120.0
1811,curso,educación y capacitación,idiomas,nivel básico a2 - inglés,presencial,80.0
1812,curso,educación y capacitación,idiomas,nivel intermedio b2 - inglés,presencial,120.0
1813,curso,electricidad y electrónica,electricidad automotriz,electricidad automotriz,presencial,120.0
1814,curso,administración y legislación,administración contable y de costos,tributación fiscal y obligaciones laborales,presencial,16.0
1815,curso,administración y legislación,gestión del talento humano,profesiogramas,presencial,16.0
1816,curso,administración y legislación,gestión de la calidad,gestión de la calidad total,presencial,20.0
1817,curso,administración y legislación,gestión de la calidad,sistema de gestión de la calidad norma iso 9001:2015,presencial,16.0
1818,curso,educación y capacitación,formación de instructores facilitadores monitores maestros guías formadores,formación de formadores,presencial,40.0
1819,curso,forestal ecología y medio ambiente,gestión e impacto ambiental,gestión y evaluación ambiental,presencial,20.0
1820,curso,forestal ecología y medio ambiente,tratamiento de residuos,gestión de residuos,presencial,20.0
1821,curso,transporte y logística,manejo integral de bodegas y almacenes,gestión de bodegas y control de inventarios,presencial,20.0
1822,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,factores de riesgo psicosocial,presencial,16.0
1823,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,señalización de seguridad en el trabajo,presencial,8.0
1824,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,prevención de riesgos laborales,presencial,30.0
1825,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,prevención de riesgos en el manejo de productos químicos,presencial,16.0
1826,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,manipulación de cargas,presencial,10.0
1827,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,manejo seguro de herramientas manuales,presencial,16.0
1828,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,gestión de riesgos laborales,presencial,100.0
1829,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,sistema de gestión de seguridad y salud laboral,presencial,40.0
1830,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,metodología de evaluación de riesgos ergonómicos,presencial,20.0
1831,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,metodología de evaluación de riesgos psicosociales,presencial,20.0
1832,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,metodología de evaluación de riesgos laborales,presencial,20.0
1833,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,brigadas de evacuación y rescate,presencial,10.0
1834,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,plan de emergencia y auto protección,presencial,10.0
1835,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,brigadas de emergencia,presencial,24.0
1836,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,brigadas de comunicación,presencial,10.0
1837,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,reglamento de seguridad y salud- organismos paritarios,presencial,10.0
1838,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,legislación y normativa de seguridad y salud ocupacional vigente,presencial,10.0
1839,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,fundamentos de la seguridad y salud en el trabajo,presencial,10.0
1840,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,"reporte, investigación y análisis de accidentes e incidentes de trabajo",presencial,10.0
1841,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,inspecciones de seguridad y salud en el trabajo,presencial,10.0
1842,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,funciones del responsable técnico de seguridad y salud en el trabajo,presencial,100.0
1843,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,indicadores del sistema de gestión de la seguridad y salud del trabajo,presencial,16.0
1844,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,prevención en soldadura,presencial,16.0
1845,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,prevención con la exposición al sulfuro de hidrógeno,presencial,10.0
1846,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,permisos de trabajo para actividades de alto riesgo,presencial,30.0
1847,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,prevención de enfermedades ocupacionales,presencial,10.0
1848,curso,procesos industriales,seguridad prevención de riesgos e higiene industrial,programa de prevención en el uso y consumo de drogas en ambientes laborales,presencial,12.0
1849,curso,servicios socioculturales y a la comunidad,salud y medicina,primeros auxilios,presencial,30.0
1850,curso,servicios socioculturales y a la comunidad,salud y medicina,primeros auxilios avanzado,presencial,30.0
1851,curso,servicios socioculturales y a la comunidad,salud y medicina,sistema de comando de incidentes,presencial,20.0
1852,curso,servicios socioculturales y a la comunidad,salud y medicina,sistema de comando de incidentes intermedio,presencial,20.0
1853,curso,administración y legislación,atención y servicios de oficina,atención al cliente,presencial,8.0
1854,curso,mecánica industrial y minería,soldadura,soldadura,presencial,60.0
1855,curso,procesos industriales,refrigeración,instalación y mantenimiento de aire acondicionado,presencial,60.0
1856,curso,procesos industriales,refrigeración,instalación y mantenimiento de aire acondicionado ii,presencial,60.0
