,Areas de Formación,Nombre  de los Programas,Modalidad,Tiempo de duración,Duración programa,Precio
301,empresariales,liderazgo disruptivo,presencial,20 h,20 h, llamar 
302,empresariales,"selección, evaluación, capacitación y plan de carrera del talento humano",presencial,20 h,20 h, llamar 
303,empresariales,direccionamiento estratégico,virtual,64 h,1 mes, $180.00 
304,empresariales,principios de inspección y auditoria interna para plantas de alimentos,presencial,16 h,16 h, llamar 
305,empresariales,"
plan financiero para un plan de negocio (taller con telepresencia)",virtual,32 h,32, $60.00 
306,empresariales,higiene y saneamiento en la industria alimentaria,presencial,8 h,8 h, llamar 
307,empresariales,auditor interno sgc iso 9001:2015,en vivo,24 h,24 h, llamar 
308,empresariales,técnicas innovadoras y mejores prácticas en el servicio al cliente,presencial,16 h,16 h, llamar 
309,empresariales,técnicas efectivas en ventas,presencial,16 h,16 h, llamar 
310,empresariales,sistema de gestión de la calidad iso 9001:2015,presencial,16 h,16 h, llamar 
311,empresariales,"auditor interno de sistemas de gestión integrados norma iso 9001:2015, iso 14001 e iso 45001",virtual,48 h,48, $140.00 
312,empresariales,anexo de gastos personales y declaración del impuesto a la renta (taller b-learning),virtual,32 h,32, $60.00 
313,empresariales,prevención de riesgos laborales e implementación del programa de sst,virtual,64 h,64, $180.00 
314,empresariales,excel avanzado con macros,presencial,32 h,32 h, llamar 
315,empresariales,análisis de puestos y valoraciones,presencial,20 h,20 h, llamar 
316,empresariales,contabilidad de costos y comercial,virtual,48 h,1 mes, $140.00 
317,empresariales," diseño, formulación y evaluación de proyectos con marco lógico",virtual,64 h,1 mes, $180.00 
318,empresariales,"
habilidades y herramientas gerenciales avanzadas",presencial,20 h,20 h, llamar 
319,empresariales,gerenciamiento y liderazgo,presencial,20 h,20 h, llamar 
320,empresariales,gestión por procesos para la acreditación de carreras: modelo caces,presencial,24 h,24 h, llamar 
321,empresariales,administración tributaria,virtual,48 h,1 mes, $180.00 
322,empresariales,contabilidad básica,virtual,48 h,1 mes, $140.00 
323,empresariales,contratación pública,virtual,64 h,1 mes, $180.00 
324,empresariales,microsoft project avanzado,virtual,48 h,1 mes, $140.00 
325,empresariales,técnicas de negociación efectiva,virtual,64 h,1 mes, $180.00 
326,empresariales,liderazgo de alto impacto,virtual,48 h,1 mes, $140.00 
327,empresariales,"
microsoft excel avanzado, macros y tablas dinámicas",virtual,48 h,1 mes, $140.00 
328,empresariales,gerencia del servicio atención al cliente,virtual,48 h,1 mes, $140.00 
329,empresariales,microsoft excel básico e intermedio,virtual,48 h,1 mes, $140.00 
330,empresariales,análisis financiero para directivos y funcionarios de cooperativas de ahorro y crédito (coacs),virtual,48 h,1 mes, $140.00 
331,empresariales,administración por procesos,virtual,64 h,1 mes, $180.00 
332,empresariales,spss avanzado,virtual,48 h,1 mes, $140.00 
333,empresariales,spss básico e intermedio,virtual,48 h,1 mes, $140.00 
334,empresariales,gestión de rrhh basada en competencias,presencial,40 h,40 h, llamar 
335,empresariales,"
diseño de programas de capacitación basado en competencias",presencial,20 h,20 h, llamar 
336,empresariales,gestión de proyectos 1 con ms project,presencial,32 h,32 h, llamar 
337,empresariales,evaluación financiera de proyectos,presencial,32 h,32 h, llamar 
338,empresariales,"
administración por procesos y uso de herramientas bpmn",presencial,36 h,36 h, llamar 
339,empresariales,gestión de riesgos operacionales con enfoque en procesos,presencial,32 h,32 h, llamar 
340,empresariales,herramientas bpmn para modelamiento de procesos,presencial,16 h,16 h, llamar 
341,empresariales,sistema de inocuidad alimentaria: haccp,presencial,32 h,32 h, llamar 
342,empresariales,buenas prácticas de manufactura de alimentos procesados,presencial,32 h,32 h, llamar 
343,empresariales,coaching para mandos medios,presencial,16 h,16 h, llamar 
344,empresariales,análisis estadístico con spss básico e intermedio,presencial,16 h,16 h, llamar 
345,empresariales,análisis estadístico con spss avanzado,presencial,16 h,16 h, llamar 
346,empresariales,etiqueta y protocolo en los negocios,presencial,20 h,20 h, llamar 
347,empresariales,planificación estratégica y balanced scored card,presencial,32 h,32 h, llamar 
348,empresariales,metodologías y técnicas de enseñanza para adultos,presencial,20 h,20 h, llamar 
349,empresariales,estadística aplicada con rstudio,virtual,48 h,1 mes, $140.00 
350,empresariales,microsoft project básico e intermedio,virtual,48 h,1 mes, $140.00 
351,empresariales, herramientas de office 365 – escuela politécnica nacional - curso mooc,virtual,64 h,64 h, llamar 
352,empresariales,"asistencia ejecutiva, gestión documental y archivo",presencial,32 h,32 h, llamar 
353,empresariales,excel financiero,presencial,16 h,16 h, llamar 
354,empresariales,"relaciones humanas, la clave del éxito personal y profesional - curso mooc",virtual,48 h,1 mes, llamar 
355,tecnologicos,"
gobierno de la información",presencial,24 h,24 h, llamar 
356,tecnologicos,administración de ms project server,presencial,16 h,16 h, llamar 
357,tecnologicos,"
cableado estructurado de voz y datos",presencial,20 h,20 h, llamar 
358,tecnologicos,"
cobit",presencial,32 h,32 h, llamar 
359,tecnologicos,desarrollo de aplicaciones angular,presencial,50 h,50 h, llamar 
360,tecnologicos,fundamentos de scrum aplicados a proyectos de desarrollo de software.,presencial,20 h,20 h, llamar 
361,tecnologicos,fundamentos de scrum aplicados a proyectos de desarrollo de software.,presencial,20 h,20 h, llamar 
362,tecnologicos,togaf,presencial,40 h,40 h, llamar 
363,tecnologicos,"
power bi: entorno y publicación",en vivo,24 h,10 dias, $89.00 
364,tecnologicos,"
power bi: funciones query y dax",en vivo,24 h,10 dias, $89.00 
365,tecnologicos,estadística para la toma de decisiones,en vivo,12h,5 dias, $80.00 
366,tecnologicos,sql aplicado al análisis de datos,en vivo,16 h,16, $89.00 
367,tecnologicos,"
gestión del aprendizaje en moodle y videoclases",en vivo,29 h,20 h, llamar 
368,tecnologicos,estadística aplicada a la prospección de mercados,en vivo,16 h,10 dias, $50.00 
369,tecnologicos,autocad basico,presencial,32 h,32 h, llamar 
370,tecnologicos,autocad avanzado,presencial,32 h,32 h, llamar 
371,tecnologicos,análisis estadístico con spss básico e intermedio,presencial,32 h,32 h, llamar 
372,tecnologicos,análisis estadístico con spss avanzado,presencial,32 h,32 h, llamar 
373,tecnologicos,gerencia de servicios de tecnología itsm-itil®: fundamentos & implementación,presencial,32 h,32 h, llamar 
374,tecnologicos,android básico,presencial,32 h,32 h, llamar 
375,tecnologicos,android avanzado,presencial,32 h,32 h, llamar 
376,tecnologicos,java fundamentals programming - módulo 01,presencial,32 h,32 h, llamar 
377,tecnologicos,java advanced programming - módulo 02,presencial,32 h,32 h, llamar 
378,tecnologicos,jee web applications - módulo 03,presencial,32 h,32 h, llamar 
379,tecnologicos,building ejb’s with jee – módulo 04,presencial,32 h,32 h, llamar 
380,tecnologicos,programación php y mysql básico - módulo 01,presencial,32 h,32 h, llamar 
381,tecnologicos,programación php y mysql avanzado - módulo 2,presencial,32 h,32 h, llamar 
382,tecnologicos,diseño e implementación telefonía ip asterisk,presencial,32 h,32 h, llamar 
383,tecnologicos,hackeo ético,presencial,40 h,40 h, llamar 
384,tecnologicos,informática forense,presencial,24 h,24 h, llamar 
385,tecnologicos,aplicación de la norma iso 27001 y código de prácticas iso 27002,presencial,40 h,40 h, llamar 
386,tecnologicos,administración linux - módulo 01,presencial,32 h,32 h, llamar 
387,tecnologicos,protocolo tcp/ip sobre linux - módulo 02,presencial,32 h,32 h, llamar 
388,tecnologicos,servidores web sobre linux - módulo 03,presencial,32 h,32 h, llamar 
389,salud,certificación en auxiliar de odontología,semipresencial,900 h,6 meses, $750.00 
390,salud,curso de formación y entrenamiento paramédico i,semipresencial,900 h,6 meses, $750.00 
391,salud,curso de formación en auxiliar de enfermería,semipresencial,900 h,6 meses, $750.00 
392,salud,curso de formación en auxiliar de farmacia,semipresencial,900 h,6 meses, $750.00 
393,webinarios,"eduarte, neurodesarrollo e innovación en la educación inicial",virtual,1h30m,1.5, $-   
394,webinarios,certificación de empresas sanas,virtual,1h30m,1.5, $-   
395,webinarios,educación y deporte en el emprendimiento,virtual,1h30m,1.5, $-   
396,webinarios,observatorio fenómenos socioeconómicos,virtual,1h30m,1.5, $-   
397,webinarios,el observatorio informa (salud pública),virtual,1h30m,1.5, $-   
398,webinarios,desarrollo de la autoregulación cognitiva y emocional en niños de 0 a 6 años,virtual,1h30m,1.5, $-   
399,webinarios, conversatorio: experiencias de liderazgo de las mujeres en el ámbito estudiantil,virtual,1h30m,1.5, $-   
400,webinarios,"webinar ""administración de empresas"" dia #1",virtual,1h30m,1.5, $-   
401,webinarios,"webinar ""administración de empresas"" dia #2",virtual,1h30m,1.5, $-   
402,webinarios,"webinar ""administración de empresas"" dia #3",virtual,1h30m,1.5, $-   
403,webinarios,jornadas académicas ondontológicas 21 de enero,virtual,1h30m,1.5, $-   
404,webinarios,estrategias innovadoras para el ambiente de aprendizaje de lectura en educación inicial,virtual,1h30m,1.5, $-   
405,webinarios,ambientes innovadores de aprendizaje en ciencias naturales en educación inicial,virtual,1h30m,1.5, $-   
406,webinarios,ambientes innovadores de aprendizaje en ciencias naturales en educación inicial,virtual,1h30m,1.5, $-   
407,webinarios,webinar realidad nacional post pandemia,virtual,1h30m,1.5, $-   
408,webinarios,"contratación pública, adquisiciones en situaciones de emergencia",virtual,1h30m,1.5, $-   
409,webinarios,flexibilidad laboral y ley humanitaria en el ecuador,virtual,1h30m,1.5, $-   
410,webinarios,resoluciones de la administracion publica,virtual,1h30m,1.5, $-   
411,webinarios,liderazgo y educación financiera en tiempos de crisis,virtual,1h30m,1.5, $-   
412,webinarios,"derecho penal, ""la constitucionalización del derecho penal; legitimidad en las sentencias""",virtual,1h30m,1.5, $-   
413,webinarios,"covid-19, grandes desafíos para el mundo.",virtual,1h30m,1.5, $-   
414,webinarios,el dolo en las reformas al coip.,virtual,1h30m,1.5, $-   
415,webinarios,introducción a los sistemas de tracción eléctrica,virtual,1h30m,1.5, $-   
416,webinarios,patologías quirúrgicas frecuentes en odontopediatría,virtual,1h30m,1.5, $-   
417,webinarios,webinar instrumentación quirúrgica,virtual,1h30m,1.5, $-   
418,gestion empresarial,ushay para proveedores,virtual,15 h,15, $140.00 
419,gestion empresarial,"elaboración de tdrs utilizando la normativa de contratación
pública
",virtual,16 h,16, $110.00 
420,gestion empresarial,uso de ecuapass avanzado para importaciones y exportaciones,virtual,8 h,8, $55.00 
421,gestion empresarial,"administracion de empresa
",virtual,28 h,28, $600.00 
422,tecnologia e innovacion,inteligencia de negocios con power bi,virtual,32 h,32, $220.00 
423,tecnologia e innovacion,creación de dashboard en excel,virtual,12 h,12, $100.00 
424,tecnologia e innovacion,ofimática básica,virtual,24 h,24, $160.00 
425,tecnologia e innovacion,introducción al cómputo forense,virtual,8h,8, $55.00 
426,educacion,escritura de artículos científicos,virtual,8 h,8, $60.00 
427,educacion,herramientas digitales para el dictado de clases virtuales (edpuzzle y screencast-o-matic),virtual,4 h,4, $40.00 
428,educacion,herramientas digitales para el dictado de clases virtuales (kahoot y mentimeter),virtual,4 h,4, $35.00 
429,marketing y turismo,técnicas de negociación efectiva,virtual,28 h,28, $600.00 
430,marketing y turismo,gestión estratégica del talento,virtual,28 h,28, $600.00 
431,marketing y turismo,comunicación y liderazgo,virtual,28 h,28, $600.00 
432,marketing y turismo,comunicación efectiva,virtual,28 h,28, $600.00 
433,ingenieria y procesos,oleohidráulica,virtual,8 h,8, $55.00 
434,ingenieria y procesos,gestión de equipos comerciales,virtual,28 h,28, $600.00 
435,gestion empresarial,habilidades para la venta,virtual,120 h,120," $2,800.00 "
436,gestion empresarial,gestión estratégica de contratos,virtual,120  h,120," $2,800.00 "
437,gestion empresarial,administración de las operaciones,virtual,120 h,120," $2,800.00 "
438,tecnologia e innovacion,big data para la toma de decisiones,virtual,120 h,120," $2,800.00 "
439,ciencias,gestión ambiental (orientado a la realidad de chile),virtual,120 h,120," $2,800.00 "
440,marketing y turismo,diplomado en retail management,virtual,112 h,112," $1,250.00 "
441,marketing y turismo,diplomado en product manager,virtual,112 h,112," $1,250.00 "
442,marketing y turismo,diplomado en marketing digital,virtual,112 h,112," $1,250.00 "
443,marketing y turismo,marketing estrategico,virtual,120 h,120," $2,800.00 "
444,marketing y turismo,gestión estrategica de las comunicaciones,virtual,120 h,120," $2,800.00 "
445,ingenieria y procesos,"gestión en la minería (orientado a la realidad de chile)
",virtual,120 h,120," $2,800.00 "
446,ingenieria y procesos,gestión de la industria de la energía (orientado a la realidad de chile),virtual,120 h,120," $2,800.00 "
447,ingenieria y procesos,gestión de la construcción,virtual,120 h,120," $2,800.00 "
448,ingenieria y procesos,gestión logística,virtual,120 h,120," $2,800.00 "
449,gestion empresarial,gestión de negocios,presencial,150 h,150," $2,170.00 "
450,gestion empresarial,en gestión de operaciones,presencial,150 h,150," $2,170.00 "
451,gestion empresarial,en control de gestión,presencial,150 h,150," $2,170.00 "
452,gestion empresarial,en comunicación organizacional,presencial,150 h,150," $2,170.00 "
453,gestion empresarial,liderazgo,presencial,150 h,150," $2,170.00 "
454,gestion empresarial,coaching,presencial,150 h,150," $2,170.00 "
455,ciencias,internacional de cacao,presencial,150 h,150," $2,170.00 "
456,marketing y turismo,marketing,presencial,150 h,150," $2,170.00 "
457,marketing y turismo,marketing digital,presencial,150 h,150," $2,170.00 "
458,marketing y turismo,retail management,presencial,72 h,72," $3,200.00 "
459,ingenieria y procesos,gestión logística y cadena de valor,presencial,150 h,150," $2,170.00 "
460,ingenieria y procesos, gerencia de proyectos de construcción,presencial,120 h,120," $2,800.00 "
461, tecnología de la información y comunicación,microsoft project para la gestión de proyectos,virtual,64 h,64, $390.00 
462,"administración y legislación
","formación de auxiliares administrativos
",presencial,44 h,44, $535.00 
463,"finanzas, comercio y ventas",gestión de ventas,presencial,76 h,76, $940.00 
464,tecnología de la información y comunicación,microsoft project para la gestión de proyectos,presencial,64 h,64, $870.00 
465,gestion empresarial,normas internacionales de contabilidad para sector público (nicsp),presencial,8 h,8, $150.00 
466,gestion empresarial,conciliación tributaria y cierre fiscal 2019,presencial,24 h,24, $280.00 
467,gestion empresarial,negociaciones internacionales: política comercial e inserción en la alianza del pacífico,presencial,20 h,20, $550.00 
468,gestion empresarial,auditor interno iso 9001:2015 con simulación (en alianza con sgs),presencial,24 h,24, $450.00 
469,tecnologia e innovacion,software stata básico,presencial,20 h,20, $210.00 
470,tecnologia e innovacion,software r básico,presencial,20 h,20, $210.00 
471,tecnologia e innovacion,autocad (básico e intermedio),presencial,20 h,20, $295.00 
472,tecnologia e innovacion,autodesk revit (básico intermedio),presencial,20 h,20, $210.00 
473,tecnologia e innovacion,programación para no programadores,presencial,28 h,28, $250.00 
474,tecnologia e innovacion,pentesting: seguridad ofensiva,presencial,40 h,40, $550.00 
475,tecnologia e innovacion,"metodologías ágiles aplicando scrum, kanban y lean",presencial,16 h,16, $290.00 
476,educacion,proceso didáctico para la preparación del microcurrículum académico,presencial,40 h,40, $150.00 
477,educacion,desarrollo del pensamiento para el examen ser bachiller,presencial,120 h,120, $430.00 
478,marketing y turismo,adobe photoshop y manejo de imágenes digitales,presencial,24 h,24, $270.00 
479,marketing y turismo,adobe illustrator y manejo de imágenes vectoriales,presencial,24 h,24, $270.00 
480,marketing y turismo,community managment,presencial,30 h,30, $290.00 
481,marketing y turismo,creatividad e innovación en la experiencia turística,presencial,24 h,24, $450.00 
482,ingenieria y procesos,refrigeración y aire acondicionado,presencial,24 h,24, $340.00 
483,ingenieria y procesos,estrategias de logística y de distribución de mercancías,presencial,24 h,24, $370.00 
484,ingenieria y procesos,auditor interno bpm arcsa (en alianza con sgs),presencial,24 h,24, $370.00 
485,ingenieria y procesos,análisis de impactos y riesgos (en alianza con sgs),presencial,16 h,16, $290.00 
486,facultad de cienciasadministrativas,contabilidad y auditoria,presencial,2300h,9 ciclos, llamar 
487,facultad de cienciasadministrativas,comunicación,presencial,7200h,9 ciclos, llamar 
488,facultad de cienciasadministrativas,turismo,presencial,5230h,9 ciclos, llamar 
489,facultad de cienciasadministrativas,sotware,presencial,8240h,10 ciclos, llamar 
490,facultad de cienciasadministrativas,mercadptecnia,presencial,6340h,9 ciclos, llamar 
491,facultad de cienciasadministrativas,administracion de empresas ,presencial,7890h,9 ciclos , llamar 
492,"faculta de jurisprudencia ,  ciencias ",dereecho,presencial,7890h,10 ciclos , llamar 
493,"faculta de jurisprudencia ,  ciencias ",dereecho,presencial,8600h,10 ciclos, llamar 
494,"faculta de jurisprudencia ,  ciencias ",sociologia,presencial,7200h,8 ciclos, llamar 
495,"faculta de jurisprudencia ,  ciencias ",sociologia,presencial,7200h,9 ciclos, llamar 
496,facultad de ciencias de la educacion,educacion intercultural bilingüe,presencial,8200h,9 ciclos, llamar 
497,facultad de ciencias de la educacion,educacion inicial,presencial,7840h,9 ciclos, llamar 
498,facultad de ciencias de la educacion,pedagogia de la informacion,presencial,6590h,9 ciclos, llamar 
499,facultad de ciencias de la educacion,educacion basica,presencial,8200h,9 ciclos, llamar 
500,facultad de ciencias de la educacion,pedagocia de la matematica y fisica ,presencial,6500h,9 ciclos , llamar 
501,facultad de ciencias de la educacion,pedagocia de la matematica y fisica ,presencial,6500h,10 ciclos , llamar 
502,facultad  de ciencias agropecuarias ,medicina veterinaria,presencial,9800h,10 ciclos, llamar 
503,facultad  de ciencias agropecuarias ,agronomia,presencial,8450h,10 ciclos, llamar 
504,facultad  de ciencias agropecuarias ,agroindustrias,presencial,8420h,10ciclos, llamar 
505,facultad ciencias ce la salud ,enfermeria,presencial,8720h,9 ciclos, llamar 
506,facultad ciencias ce la salud ,ingenieria de riesgos,presencial,1000h,10 ciclos, llamar 
507,facultad ciencias ce la salud ,terapia fisica,presencial,8790h,9 ciclos, llamar 
508,administracion,"gestión de archivos físicos, digitales, electrónicos",virtual,de 19:00 a 22:00,3 meses, $155.00 
509,administracion,niif para pymes,virtual,18h00 a 22h00,5 dias, llamar 
510,administracion,taller de diseño para vender,virtual,sábados de 8h00 a 12h00,20 dias, llamar 
511,ciencias,ajuste de protecciones utilizando ieds,virtual,14h00 a 18h00,3 meses, llamar 
512,salud,“prevención de riesgos laborales - 2da edición”,virtual,lunes a viernes de 18h00 a 21h00,15 dias, llamar 
513,tecnologia,curso de impresión 3d y sus aplicaciones en autopartes (virtual-marzo-2021),virtual,"de 8h00 a 12h00 de lunes a sabádo. 40h (24h zoom, 16h trabajo autónomo)",5dias, $90.00 
514,tecnologia,autocad básico,virtual,grupo 1: lunes a viernes de 08h00 a 10h00  grupo 2: lunes a viernes de 18h00 a 20h00,15 dias, llamar 
515,tecnologia,diseño simulación y programación 3d en blender,virtual,de lunes a viernes de 15h00 a 17h00,15 dias, llamar 
516,tecnologia,calculo estructural con sap 2000 - segunda cohorte,virtual,de lunes a viernes de 09:00 a 12:00 (dos primeras semanas),10 dias, llamar 
517,tecnologia,"manejo de herramientas de office: word y excel intermedio
",virtual,de 08:00 a 12:00,11 dias, llamar 
518,tecnico,control de calidad de juntas soldadas en estructuras metálicas,virtual,lunes y miércoles de 15h00 a 18h00,1 mes, llamar 
519,social,"""somos 786 - somos ecuador""",virtual,miércoles de 17h00 a 18h30,3 meses, llamar 
520,agronomo,agricultura urbana,virtual,sábados de 08:00 a 11:00,1 mes, llamar 
