,Perfil,Competenecia Laboral,Familia,Sector,Descargar Perfil
46,SUPERVISIÓN DE PRODUCCIÓN DE CALZADO,"PLANIFICAR, ORGANIZAR Y CONTROLAR LA EJECUCIÓN DE FABRICACIÓN DE CALZADO BAJO NORMAS TÉCNICAS, ESTÁNDARES DE CALIDAD, MEDIO AMBIENTE Y SEGURIDAD Y SALUD EN EL TRABAJO, IDENTIFICANDO E IMPLEMENTANDO MEJORAS A LOS PROCESOS DE PRODUCCIÓN.","PRODUCTOS TEXTILES, CUERO Y CALZADO",FABRICACIÓN DE CUEROS Y PRODUCTOS CONEXOS,
47,MONTAJE DE CALZADO,"REALIZAR EL MONTADO DE CALZADO, DE ACUERDO A CONDICIONES DE SEGURIDAD, RESPETO AL MEDIO AMBIENTE, PLAZOS Y PROCEDIMIENTOS ESTABLECIDOS.","PRODUCTOS TEXTILES, CUERO Y CALZADO",FABRICACIÓN DE CUEROS Y PRODUCTOS CONEXOS,
48,TARACEADO EN MADERA,"ELABORAR MOBILIARIOS UTILITARIOS  ARTÍSTICOS ENSAMBLADOS CON TÉCNICAS DE TARACEADO EN MADERA, MANTENIENDO CONDICIONES DE SEGURIDAD Y SALUD OCUPACIONAL, CUIDANDO EL AMBIENTE Y LA AUTENTICIDAD CULTURAL PUDIENDO UTILIZAR MATERIALES RECICLADOS. ADMINISTRAR UNA PEQUEÑA EMPRESA Y COMERCIALIZAR SUS PRODUCTOS.",ARTESANÍAS,"PRODUCCIÓN DE MADERA Y FABRICACIÓN DE PRODUCTOS DE MADERA Y CORCHO, EXCEPTO MUEBLES; FABRICACIÓN DE ARTÍCULOS DE PAJA Y DE MATERIALES TRENZABLES",
49,"OBTENCIÓN DE CHAPAS, TABLEROS CONTRACHAPADOS Y RECHAPADOS","EXTRAER CHAPA A PARTIR DE LA MADERA Y ELABORAR TABLEROS CONTRACHAPADOS, CURVADOS Y RECHAPADOS A PARTIR DE LA CHAPA OBTENIDA, CON LA CALIDAD REQUERIDA Y EN LAS CONDICIONES DE SEGURIDAD ESTABLECIDAS.","PRODUCTOS INDUSTRIALES, FARMACÉUTICOS Y QUÍMICOS","PRODUCCIÓN DE MADERA Y FABRICACIÓN DE PRODUCTOS DE MADERA Y CORCHO, EXCEPTO MUEBLES; FABRICACIÓN DE ARTÍCULOS DE PAJA Y DE MATERIALES TRENZABLES",
50,OPERACIONES ESPECIALIZADAS EN FABRICACIÓN DE PRODUCTOS DERIVADOS DE CORCHO NATURAL Y AGLOMERADO COMPUESTO,"FABRICAR PRODUCTOS DERIVADOS DEL CORCHO Y AGLOMERADO COMPUESTO MEDIANTE LA PREPARACIÓN, OPERACIÓN Y CONTROL MÁQUINAS, LLEVANDO ACABO EL CONTROL DEL PROCESO DE ACUERDO A LA NORMATIVA VIGENTE.","PRODUCTOS INDUSTRIALES, FARMACÉUTICOS Y QUÍMICOS","PRODUCCIÓN DE MADERA Y FABRICACIÓN DE PRODUCTOS DE MADERA Y CORCHO, EXCEPTO MUEBLES; FABRICACIÓN DE ARTÍCULOS DE PAJA Y DE MATERIALES TRENZABLES",
51,ELABORACIÓN DE MONTURAS,"ELABORAR MONTURAS, DE ACUERDO A NORMAS DE SEGURIDAD, SALUD OCUPACIONAL Y AMBIENTAL.",ARTESANÍAS,"PRODUCCIÓN DE MADERA Y FABRICACIÓN DE PRODUCTOS DE MADERA Y CORCHO, EXCEPTO MUEBLES; FABRICACIÓN DE ARTÍCULOS DE PAJA Y DE MATERIALES TRENZABLES",
52,SERIGRAFÍA ARTÍSTICA,"REALIZAR LA ESTAMPACIÓN MEDIANTE SERIGRAFÍA ARTÍSTICA, ELABORANDO O PARTIENDO DE BOCETOS PREVIOS, OBTENIENDO LOS TIPONES, LOS FOTOLITOS Y LAS PANTALLAS, PREPARANDO LAS MATERIAS PRIMAS NECESARIAS Y AJUSTANDO LOS ELEMENTOS DEL PROCESO DE ESTAMPACIÓN REALIZANDO TODAS LAS OPERACIONES EN CONDICIONES DE SEGURIDAD LABORAL Y DE PROTECCIÓN AMBIENTAL.","PRODUCTOS TEXTILES, CUERO Y CALZADO",IMPRESIÓN Y REPRODUCCIÓN DE GRABACIONES,
53,IMPRESIÓN EN SERIGRAFÍA Y TAMPOGRAFIA,"REALIZAR LA IMPRESIÓN POR LOS PROCEDIMIENTOS DE SERIGRAFÍA Y TAMPOGRAFIA, EFECTUANDO LA PREPARACION DE LAS FORMAS IMPRESORAS, AJUSTANDO LOS ELEMENTOS DEL PROCESO DE IMPRESIÓN Y LAS MATERIAS PRIMAS NECESARIAS, SEGUN LA PRODUCTIVIDAD Y CALIDAD ESTABLECIDAS E INTERVINIENDO EN EL PROCESO GRÁFICO, APLICANDO EL PLAN DE PREVENCIÓN DE RIESGOS LABORALES Y DE PROTECCIÓN AMBIENTAL","PRODUCTOS TEXTILES, CUERO Y CALZADO",IMPRESIÓN Y REPRODUCCIÓN DE GRABACIONES,
54,OPERACIONES DE ENCUADERNACIÓN INDUSTRIAL,"REALIZAR LA CONFECCIÓN Y ESTAMPADO DE ENCUADERNACIÓN INDUSTRIAL DE LIBROS Y OTROS PRODUCTOS, DE ACUERDO A LOS PROCEDIMIENTOS ESTABLECIDOS.",ACTIVIDADES COMUNITARIAS,IMPRESIÓN Y REPRODUCCIÓN DE GRABACIONES,
55,APICULTURA BÁSICA,"MANEJAR, MANTENER E INSTALAR DE MANERA TÉCNICA EL APIARIO PARA PRODUCCIÓN DE MIEL, SELECCIONANDO EL LUGAR MÁS ADECUADO PARA SU PRODUCCIÓN APÍCOLA ASÍ MISMO CUMPLIR CON LAS EXIGENCIAS PROPIAS DEL SECTOR EN CUANTO A MATERIAL E INSUMOS UTILIZADOS EN LA PRODUCCIÓN, A LA HIGIENE Y SEGURIDAD EN LAS LABORES, Y AL TRANSPORTE Y MANIPULACIÓN DE ABEJAS DE ACUERDO CON ESTÁNDARES ESTABLECIDOS.",PRODUCCIÓN PECUARIA,"AGRICULTURA, GANADERÍA, CAZA Y ACTIVIDADES DE SERVICIOS CONEXAS",
56,VENTA DE PRODUCTOS,"REALIZAR LA VENTA DE PRODUCTOS CONSIDERANDO CARACTERÍSTICAS DEL CLIENTE, TÉCNICAS DE VENTA, TIPOS DE PRODUCTOS Y REQUERIMIENTOS DEL ESTABLECIMIENTO.",COMERCIALIZACIÓN Y VENTA DE PRODUCTOS,"COMERCIO AL POR MENOR, EXCEPTO EL DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS",
57,VENTA DE SERVICIOS,"EJECUTAR ACTIVIDADES DE PREVENTA, VENTA Y POSVENTA DE SERVICIOS DE ACUERDO A METAS Y OBJETIVOS PROPUESTOS POR LA ORGANIZACIÓN, Y CRITERIOS DE FIDELIZACIÓN CON LAS NECESIDADES DEL CLIENTE.",COMERCIALIZACIÓN Y VENTA DE PRODUCTOS,"COMERCIO AL POR MENOR, EXCEPTO EL DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS",
58,OPERACIONES DE MONTACARGA,"OPERAR EL MONTACARGAS, SIGUIENDO LA PLANIFICACIÓN Y PROCEDIMIENTOS DE LA EMPRESA, APLICANDO NORMAS DE CALIDAD, SEGURIDAD Y AMBIENTALES.","TRANSPORTE, ALMACENAMIENTO Y LOGÍSTICA",ALMACENAMIENTO Y ACTIVIDADES DE APOYO AL TRANSPORTE,
59,TÉCNICAS APLICADAS A CARPINTERÍA,"REALIZAR OPERACIONES DE PLANIFICACIÓN Y EJECUCIÓN DE PROCESOS CONSTRUCTIVOS DE CARPINTERÍA (CONFECCIÓN, RESTAURACIÓN Y MANTENIMIENTO) A PARTIR DE LOS REQUERIMIENTOS DE LA ORDEN DE TRABAJO Y LA INFORMACIÓN TÉCNICA DISPONIBLE; BAJO NORMAS TÉCNICAS, DE SEGURIDAD OCUPACIONAL, SALUD E HIGIENE Y CON CRITERIOS DE CALIDAD.",PRODUCTOS INDUSTRIALES FARMACÉUTICOS Y QUÍMICOS,"PRODUCCIÓN DE MADERA Y FABRICACIÓN DE PRODUCTOS DE MADERA Y CORCHO, EXCEPTO MUEBLES; FABRICACIÓN DE ARTÍCULOS DE PAJA Y DE MATERIALES TRENZABLES",
60,OPERACIÓN DE MÁQUINA PAPELERA,ELABORAR BOBINAS Y/O HOJAS DE PAPEL SEMI ELABORADO DE ACUERDO A LAS ESPECIFICACIONES TÉCNICAS Y APLICANDO LAS NORMAS MEDIO AMBIENTALES Y DE SEGURIDAD Y SALUD EN EL TRABAJO EN LA EJECUCIÓN DEL PROCESO,"PRODUCTOS INDUSTRIALES, FARMACÉUTICOS Y QUÍMICOS",FABRICACIÓN DE PAPEL Y DE PRODUCTOS DE PAPEL,
61,GESTIÓN FORESTAL,"REALIZAR LA ORGANIZACIÓN Y SUPERVISIÓN DE LAS ACTIVIDADES NECESARIAS PARA EL APROVECHAMIENTO DE LOS PRODUCTOS FORESTALES, GESTIONANDO LOS RECURSOS MATERIALES Y HUMANOS DISPONIBLES, APLICANDO CRITERIOS DE CALIDAD, RENTABILIDAD ECONÓMICA Y DE SOSTENIBILIDAD DEL MEDIO NATURAL, MINIMIZANDO EL IMPACTO SOBRE EL MEDIOAMBIENTE Y RESPETANDO LA NORMATIVA VIGENTE, ESPECIALMENTE LA MEDIOAMBIENTAL Y LA DE PREVENCIÓN DE RIESGOS LABORALES.","PRODUCTOS INDUSTRIALES, FARMACÉUTICOS Y QUÍMICOS",SILVICULTURA Y EXTRACCIÓN DE MADERA,
62,PESCA ARTESANAL,"REALIZAR LA CAPTURA Y FAENA DE LA PESCA, MEDIANTE TÉCNICAS ARTESANALES ESTABLECIDAS, TOMANDO EN CONSIDERACIÓN LA NORMATIVA VIGETE CON ÉNFASIS EN LA PRESERVACIÓN DEL MEDIO AMBIENTE Y CRITERIOS DE SUSTENTABILIDAD.","PESCA, ACUACULTURA Y MARICULTURA",PESCA Y ACUICULTURA,
63,BUCEO Y RECOLECCIÓN DE ESPECIES Y RECURSOS HIDROBIOLÓGICOS,"REALIZAR LA RECOLECTA Y COMERCIALIZACIÓN DE ESPECIES Y/O EXTRACCIÓN DE RECURSOS HIDROBIOLÓGICOS (COMO: ALMEJAS, ERIZOS, CAZAR PULPOS Y COSECHAR ALGAS, ETC.) EN MEDIOS SUBMARINOS, CONSIDERANDO LOS PROCEDIMIENTOS DE SEGURIDAD Y LAS NORMAS Y/O LEYES ESTABLECIDAS.","PESCA, ACUACULTURA Y MARICULTURA",PESCA Y ACUICULTURA,
64,GESTIÓN EN ACUICULTURA,"REALIZAR EL MANEJO, RETIRO Y/O RECOLECCIÓN DE CULTIVOS ORGÁNICOS Y/O RESIDUOS PARA LA PRODUCCIÓN ORGÁNICA DE PRODUCTOS HORTOFRUTÍCOLAS, RESPETANDO LA NORMATIVA VIGENTE (NORMAS DE CALIDAD DEL PRODUCTO Y NORMAS DE HIGIENE Y SEGURIDAD) Y CUMPLIENDO CON LAS EXIGENCIAS INTERNAS DE LA EMPRESA MEDIANTE UNA ADECUADA PRESENTACIÓN PERSONAL DE ASEO Y VESTUARIO ACORDE CON SU LABOR.","PESCA, ACUACULTURA Y MARICULTURA",PESCA Y ACUICULTURA,
65,OPERACIÓN DE TRANSPORTE,"EJECUTAR ACTIVIDADES DE INSPECCIÓN, CONTROL Y MANTENIMIENTO DE EQUIPOS Y SISTEMAS DE TRASIEGO DE ACUERDO CON LOS LINEAMIENTOS DE LOS PROGRAMAS DE BOMBEO, DISTRIBUCIÓN Y ALMACENAMIENTO DE HIDROCARBUROS DE ACUERDO AL PROGRAMA DE MANTENIMIENTO DE LA INFRAESTRUCTURA DEL PLANTEL Y LAS NORMAS TÉCNICAS DE OPERACIÓN DE EQUIPOS Y SISTEMAS DE CONTROL.","MINAS, CANTERAS Y YACIMIENTOS",EXPLOTACIÓN DE OTRAS MINAS Y CANTERAS,
66,MINERÍA SUBTERRÁNEA,"EXPLOTACIÓN DE MINERALES METÁLICOS, REALIZADA A TRAVÉS DE MINERÍA SUBTERRÁNEA, MINERÍA A CIELO ABIERTO, EXPLOTACIÓN MINERA DE FONDOS MARINOS, ETCÉTERA. TAMBIÉN INCLUYE LAS OPERACIONES DE BENEFICIO DE MINERALES, TALES COMO TRITURACIÓN, MOLIENDA, SELECCIÓN GRAVIMÉTRICA, FLOTACIÓN, CIANURACIÓN O LIXIVIACIÓN.","MINAS, CANTERAS Y YACIMIENTOS",EXPLOTACIÓN DE MINAS Y CANTERAS,
67,ASISTENCIA EN ACTIVIDADES DE INVESTIGACIÓN ARQUEOLÓGICAS,"ASISTIR EN EL TRABAJO DE CAMPO Y GABINETE, EN LAS INVESTIGACIONES ARQUEOLÓGICAS DE ACUERDO A LAS TÉCNICAS Y METODOLOGÍAS ESTABLECIDAS.",ACTIVIDADES COMUNITARIAS,INVESTIGACIÓN CIENTÍFICA Y DESARROLLO,
68,OPERACIONES ESPECIALIZADAS EN EXCAVACIÓN A CIELO ABIERTO CON EXPLOSIVOS,"REALIZAR LA EXCAVACIÓN A CIELO ABIERTO PARA LA EXTRACCIÓN DE RECURSOS MINERALES O PARA LA CONSTRUCCIÓN DE OBRAS CIVILES (CANTERAS), MEDIANTE TÉCNICAS DE PERFORACIÓN Y VOLADURA, ESTABILIZANDO LOS TERRENOS, DE ACUERDO CON LAS NORMAS DE PREVENCIÓN DE RIESGOS LABORALES Y PROTECCIÓN MEDIOAMBIENTAL VIGENTE.","MINAS, CANTERAS Y YACIMIENTOS",EXPLOTACIÓN DE MINAS Y CANTERAS,
69,OPERACIONES AUXILIARES EN EXCAVACIONES SUBTERRÁNEAS Y A CIELO ABIERTO,"REALIZAR OPERACIONES DE APOYO, AYUDA Y ASISTENCIA EN LA EJECUCIÓN DE PERFORACIONES Y SONDEOS, VOLADURAS, EXCAVACIÓN, MECANIZADA, CARGA, TRANSPORTE Y SOSTENIMIENTO TANTO EN EXCAVACIONES SUBTERRÁNEAS COMO A CIELO ABIERTO, CON APROVECHAMIENTO O NO DE LOS MATERIALES EXCAVADOS A LAS NORMAS DE PREVENCIÓN DE RIESGOS LABORALES Y PROTECCIÓN MEDIOAMBIENTAL.","MINAS, CANTERAS Y YACIMIENTOS",EXPLOTACIÓN DE MINAS Y CANTERAS,
70,OPERACIONES DE PRODUCCIÓN DE PETRÓLEO,"OPERAR LOS EQUIPOS DE LAS ÁREAS DE PRODUCCIÓN DE CRUDO Y GAS, ASEGURANDO LA MAXIMIZACIÓN DEL PROCESO PRIMARIO DE PRODUCCIÓN Y EL MANTENIMIENTO DE LOS EQUIPOS, SEGÚN LOS PROCEDIMIENTOS DE TRABAJO Y NORMAS DE SEGURIDAD.","MINAS, CANTERAS Y YACIMIENTOS",ACTIVIDADES DE SERVICIOS DE APOYO PARA LA EXPLOTACIÓN DE MINAS Y CANTERAS,
71,OPERACIONES DE DESPOSTE DE ANIMALES,"REALIZAR LAS OPERACIONES DE VALORACIÓN, SACRIFICIO Y FAENADO DE DISTINTAS ESPECIES ANIMALES, DESPIEZAR CANALES Y OBTENER PIEZAS Y DESPOJOS COMESTIBLES. CLASIFICAR Y ALMACENAR EL PRODUCTO FINAL, MANEJANDO LA MAQUINARIA Y EQUIPOS CORRESPONDIENTES, CUIDANDO DE LA LIMPIEZA DE LAS INSTALACIONES Y LOS INSTRUMENTOS DE ACUERDO A LA NORMATIVA TÉCNICO-SANITARIA.",PRODUCCIÓN PECUARIA,ELABORACIÓN DE PRODUCTOS ALIMENTICIOS,
72,EVISCERACIÓN DE PESCADO,REALIZAR ACTIVIDADES DE LIMPIEZA Y EXTRACCIÓN DE VÍSCERAS DE LOS PECES BAJO CONDICIONES HIGIÉNICAS Y DE SEGURIDAD EN EL TRABAJO.,TRANSFORMACIÓN DE ALIMENTOS (INCLUYE AGROINDUSTRIA),ELABORACIÓN DE PRODUCTOS ALIMENTICIOS,
73,OPERACIONES DE MÁQUINA ENLATADORA DE ALIMENTOS,"OPERAR MAQUINARIA Y EQUIPOS SIMPLES O MULTIFUNCIONALES DE ENVASADO Y ENLATADO DE ALIMENTOS, DE ACUERDO A INSTRUCCIONES TÉCNICAS DE OPERACIÓN Y MANTENIMIENTO, SIGUIENDO EL PLAN DE PRODUCCIÓN Y CUMPLIENDO LOS PARÁMETROS DE CALIDAD Y NORMAS DE SEGURIDAD ESTABLECIDAS.",TRANSFORMACIÓN DE ALIMENTOS (INCLUYE AGROINDUSTRIA),ELABORACIÓN DE PRODUCTOS ALIMENTICIOS,
74,SUPERVISIÓN EN PROCESAMIENTO DE FRUTAS,"SUPERVISAR LAS ACTIVIDAD ES Y PLANES DE TRABAJO ESTABLECIDOS PARA EL PROCESAMIENTO DE FRUTAS, CUMPLIENDO LAS NORMAS DE CALIDAD, INOCUIDAD, SEGURIDAD Y SALUD EN EL TRABAJO Y MEDIO AMBIENTE.",TRANSFORMACIÓN DE ALIMENTOS (INCLUYE AGROINDUSTRIA),ELABORACIÓN DE PRODUCTOS ALIMENTICIOS,
75,INDUSTRIA DEL ACEITE Y GRASAS COMESTIBLES,"GESTIONAR UNA UNIDAD O SECCIÓN EN LA INDUSTRIA DE ACEITES Y GRASAS, PROGRAMANDO, PREPARANDO Y SUPERVISANDO LOS RECURSOS MATERIALES Y HUMANOS DISPONIBLES, ASÍ COMO LOS TRABAJOS NECESARIOS PARA ALCANZAR LOS OBJETIVOS FIJADOS EN LOS PLANES DE PRODUCCIÓN, CALIDAD Y PROTECCIÓN AMBIENTAL.",TRANSFORMACIÓN DE ALIMENTOS (INCLUYE AGROINDUSTRIA),ELABORACIÓN DE PRODUCTOS ALIMENTICIOS,
76,PROYECTOS DE INSTALACIÓN Y AMUEBLAMIENTO,"REALIZAR TRABAJOS DE DESARROLLAR PROYECTOS DE AMUEBLAMIENTO E INSTALACIÓN DE CARPINTERÍA Y MUEBLE EN VIVIENDAS Y LOCALES PÚBLICOS, INCLUYENDO LA SUPERVISIÓN DE LA INSTALACIÓN Y DE LAS OPERACIONES NECESARIAS PARA ELLO, CONSIGUIENDO LA CALIDAD REQUERIDA, EN LAS CONDICIONES DE SEGURIDAD, DE SALUD LABORAL Y DE MEDIO AMBIENTE ADECUADAS.",ACTIVIDADES TIPO SERVICIOS,FABRICACIÓN DE MUEBLES,
77,ELABORACIÓN DE ARTÍCULOS DE PLATERÍA,"DESARROLLAR LA PRODUCCIÓN DE ARTÍCULOS DE PLATERÍA, DE ACUERDO A LOS PROCEDIMIENTOS DE CALIDAD DE LA PIEZA Y NORMAS DE PREVENCIÓN DE RIESGOS LABORALES Y PROTECCIÓN MEDIOAMBIENTAL.","PRODUCTOS INDUSTRIALES, FARMACÉUTICOS Y QUÍMICOS",OTRAS INDUSTRIAS MANUFACTURERAS,
78,INSTRUMENTOS MUSICALES DE VIENTO,"PRODUCIR INSTRUMENTOS MUSICALES DE VIENTO, DE ACUERDO A NORMAS DE SEGURIDAD, SALUD OCUPACIONAL Y AMBIENTAL.",ARTESANÍAS,OTRAS INDUSTRIAS MANUFACTURERAS,
79,ARTESANÍA EN BARRO,"ELABORAR PIEZAS ARTESANALES DE BARRO DE FORMA MANUAL O MOLDEADA POR MASA PLÁSTICA, SIGUIENDO LAS INSTRUCCIONES TÉCNICAS DADAS Y LA NORMATIVA SOBRE RIESGOS LABORALES Y GESTIÓN AMBIENTAL.",ARTESANÍAS,OTRAS INDUSTRIAS MANUFACTURERAS,
80,"ARTESANÍAS EN TAGUA, MADERA, HUESO Y CONCHA DE COCO","PRODUCIR MINIATURAS EN TAGUA, MADERA, HUESO Y CONCHA DE COCO, MEDIANTE TÉCNICAS ANCESTRALES, MANTENIENDO NORMAS DE SEGURIDAD, SALUD OCUPACIONAL Y AMBIENTAL. GESTIONAR UN TALLER Y COMERCIALIZAR LOS PRODUCTOS.",ARTESANÍAS,OTRAS INDUSTRIAS MANUFACTURERAS,
81,ELABORACIÓN DE FIGURAS DE MAZAPÁN,"ELABORAR FIGURAS DE MAZAPÁN DESARROLLANDO TÉCNICAS ANCESTRALES E INNOVANDO, CUMPLIENDO NORMATIVAS VIGENTES.",ARTESANÍAS,OTRAS INDUSTRIAS MANUFACTURERAS,
82,SUPERVISIÓN DE OPERACIONES LOGÍSTICAS,"REALIZAR OPERACIONES DE SUPERVISIÓN EN CENTROS DE DISTRIBUCIÓN O EMPRESAS LOGÍSTICAS, ADMINISTRANDO LA CADENA DE ABASTECIMIENTO Y CUMPLIENDO LAS NORMAS DE CALIDAD, SEGURIDAD, SALUD Y MEDIO AMBIENTE.","TRANSPORTE, ALMACENAMIENTO Y LOGÍSTICA",ALMACENAMIENTO Y ACTIVIDADES DE APOYO AL TRANSPORTE,
83,MANTENIMIENTO DE MÁQUINAS Y EQUIPOS INDUSTRIALES DE CONFECCIÓN TEXTIL,"MANTENER Y REPARAR MÁQUINAS Y EQUIPOS INDUSTRIALES DE CONFECCIÓN TEXTIL, APLICANDO: CATÁLOGOS, PLANOS DE FABRICACIÓN, NORMAS DE: SALUD OCUPACIONAL, SEGURIDAD INDUSTRIAL Y CONSERVACIÓN AMBIENTAL; ASÍ COMO DE ASESORAR SOBRE LA INSTALACIÓN BÁSICA, EL USO CORRECTO Y APLICACIÓN DE MÁQUINAS Y EQUIPOS INDUSTRIALES DE CONFECCIÓN TEXTIL.","PRODUCTOS TEXTILES, CUERO Y CALZADO",REPARACIÓN E INSTALACIÓN DE MAQUINARIA Y EQUIPO,
84,SERVICIO TÉCNICO DE EQUIPOS ELÉCTRICOS Y ELECTRÓNICOS,"REALIZAR OPERACIONES AUXILIARES DE MONTAJE Y MANTENIMIENTO DE EQUIPOS ELÉCTRICOS Y ELECTRÓNICOS, DE ACUERDO A TÉCNICAS Y PROCEDIMIENTOS ESTABLECIDOS CUMPLIENDO LA NORMATIVA VIGENTE.",ACTIVIDADES TIPO SERVICIOS,REPARACIÓN E INSTALACIÓN DE MAQUINARIA Y EQUIPO,
85,INSTALACIÓN Y MANTENIMIENTO DE SISTEMAS DOMÓTICOS,"REALIZAR EL MONTAJE Y MANTENIMIENTO DE SISTEMAS DOMÓTICOS, APLICANDO LAS TÉCNICAS Y LOS PROCEDIMIENTOS REQUERIDOS, CONSIGUIENDO LOS CRITERIOS DE CALIDAD, CUMPLIENDO LOS PLANES DE PREVENCIÓN DE RIESGOS LABORALES Y NORMATIVA DE LA EMPRESA.","ELECTRICIDAD, GAS Y AGUA",REPARACIÓN E INSTALACIÓN DE MAQUINARIA Y EQUIPO,
86,GESTIÓN EN MECÁNICA NAVAL,"MONTAR ESTRUCTURAS AERONÁUTICAS E INSTALAR SISTEMAS Y EQUIPOS EN AERONAVES, REALIZANDO OPERACIONES DE DESMONTAJE, MECANIZADO, LIMPIEZA Y SELLADO DE DEPÓSITOS Y OTROS ELEMENTOS A UNIR, ASÍ COMO CONEXIONAR, REGLAR Y COMPROBAR LOS EQUIPOS DE VUELO, SIGUIENDO INSTRUCCIONES DE TÉCNICOS SUPERIORES Y PROCEDIMIENTOS ESTABLECIDOS; CUMPLIENDO CON LOS CRITERIOS Y NORMAS DE CALIDAD, LOS PLANES DE PREVENCIÓN DE RIESGOS LABORALES Y MEDIOAMBIENTALES DE LA EMPRESA, Y LA NORMATIVA DE APLICACIÓN VIGENTE.","TRANSPORTE, ALMACENAMIENTO Y LOGÍSTICA",REPARACIÓN E INSTALACIÓN DE MAQUINARIA Y EQUIPO,
87,BODEGAJE,"ADMINISTRAR EL ÁREA DE TRABAJO DE LA BODEGA, TOMANDO EN CONSIDERACIÓN LOS PROCESOS OPERATIVOS (RECEPCIÓN, ALMACENAMIENTO Y DISTRIBUCIÓN), CUMPLIENDO CON LOS PROCEDIMIENTOS Y NORMATIVAS DE SEGURIDAD Y SALUD OCUPACIONAL VIGENTES EN LA ORGANIZACIÓN","TRANSPORTE, ALMACENAMIENTO Y LOGÍSTICA",ALMACENAMIENTO Y ACTIVIDADES DE APOYO AL TRANSPORTE,
88,OPERACIONES DE TARJA EN NAVES E INSTALACIONES PORTUARIAS,"CUANTIFICAR Y REGISTRAR LA CARGA, EN FORMA DOCUMENTAL O ELECTRÓNICA EN LAS NAVES E INSTALACIONES PORTUARIAS, DE ACUERDO A UNA PLANIFICACIÓN ESTABLECIDA, DANDO CUMPLIMIENTO A LAS NORMAS DE SEGURIDAD PORTUARIA Y PROCEDIMIENTOS ESTABLECIDOS.","TRANSPORTE, ALMACENAMIENTO Y LOGÍSTICA",ALMACENAMIENTO Y ACTIVIDADES DE APOYO AL TRANSPORTE,
89,ACTIVIDADES AUXILIARES Y DE APOYO AL BUQUE EN PUERTO,"REALIZAR GUARDIAS, MANTENIMIENTO Y ENGRASE DE LOS ELEMENTOS A BORDO, REPARACIÓN DE LOS EQUIPOS DE PESCA FUERA DE USO, ADEMÁS DE LAS DISTINTAS MANIOBRAS DEL BUQUE EN PUERTO DE ACUERDO A LOS PROCEDIMIENTOS Y NORMAS DE SEGURIDAD ESTABLECIDAS.","TRANSPORTE, ALMACENAMIENTO Y LOGÍSTICA",ALMACENAMIENTO Y ACTIVIDADES DE APOYO AL TRANSPORTE,
90,OPERACIONES DE ASISTENCIA A EQUIPAJES EN AEROPUERTOS,"REALIZAR LAS OPERACIONES NECESARIAS DE ASISTENCIA AL TRATAMIENTO DE EQUIPAJES Y MERCANCÍAS EN TERMINALES DE AEROPUERTOS PARA ASEGURAR SU MANIPULACIÓN, CARGA Y TRASLADO DE ACUERDO A SU TIPOLOGÍA, SIGUIENDO LOS PROCEDIMIENTOS ESTABLECIDOS Y CUMPLIENDO LAS NORMAS DE CALIDAD, SEGURIDAD, SALUD Y CUIDADO DEL MEDIO AMBIENTE.","TRANSPORTE, ALMACENAMIENTO Y LOGÍSTICA",ALMACENAMIENTO Y ACTIVIDADES DE APOYO AL TRANSPORTE,
91,OPERACIONES DE TRIPULANTE DE CABINA DE PASAJEROS DE TRANSPORTE AÉREO,"DESARROLLAR LAS ACTIVIDADES DE CABINA DE PASAJEROS EN TRANSPORTE AÉREO, VELANDO POR LA SEGURIDAD DE LOS MISMOS EN SITUACIONES NORMALES, ANORMALES Y DE EMERGENCIA, APLICANDO, SI PROCEDE, PRIMEROS AUXILIOS Y PROCEDIMIENTOS DE SUPERVIVENCIA, ASÍ COMO OFRECER A LOS PASAJEROS LOS SERVICIOS A BORDO QUE LA COMPAÑÍA ESTIPULE, DE FORMA QUE SE SATISFAGAN SUS EXPECTATIVAS Y SE CUMPLAN LOS OBJETIVOS DE LA ORGANIZACIÓN, CON LA CALIDAD REQUERIDA APLICANDO LA NORMATIVA VIGENTE Y CUMPLIENDO EL PLAN DE PREVENCIÓN DE RIESGOS LABORALES Y MEDIOAMBIENTALES.","TRANSPORTE, ALMACENAMIENTO Y LOGÍSTICA",ALMACENAMIENTO Y ACTIVIDADES DE APOYO AL TRANSPORTE,
92,ESTIBAJE PORTUARIO,"REALIZAR ACTIVIDADES DE MANIPULACIÓN DE MERCANCÍAS DURANTE LAS OPERACIONES DE CARGA, ESTIBA, REESTIBA, TRINCA, DESTRINCA Y PORTEO DE MERCANCÍAS TRANSPORTADAS EN LOS BUQUES, DE ACUERDO A LAS INSTRUCCIONES RECIBIDAS Y A LAS NORMAS DE SEGURIDAD PORTUARIA.","TRANSPORTE, ALMACENAMIENTO Y LOGÍSTICA",ALMACENAMIENTO Y ACTIVIDADES DE APOYO AL TRANSPORTE,
