,Perfil,Competenecia Laboral,Familia,Sector,Descargar Perfil
50,BORDADO ARTESANAL DE PRENDAS DE VESTIR,"REALIZAR BORDADOS EN PRENDAS DE VESTIR, UTILERÍA DECORATIVA Y OTROS, BAJO LAS ESPECIFICACIONES REQUERIDAS, UTILIZANDO LOS EQUIPOS Y MÁQUINAS APROPIADAS PARA GARANTIZAR LA CALIDAD DEL PRODUCTO.","PRODUCTOS TEXTILES, CUERO Y CALZADO",FABRICACIÓN DE PRENDAS DE VESTIR,
51,PROYECTOS DE CARPINTERÍA Y MUEBLE,"REALIZAR LA DEFINICION Y DESARROLLO PRODUCTOS DE CARPINTERÍA Y MUEBLE Y CONTROLAR LA REALIZACIÓN DE PROTOTIPOS DE CARPINTERÍA Y MUEBLE, EN CONDICIONES DE SALUD LABORAL Y APLICANDO LOS PROCEDIMIENTOS DE CALIDAD ESTABLECIDOS.",PRODUCTOS INDUSTRIALES FARMACÉUTICOS Y QUÍMICOS,FABRICACIÓN DE MUEBLES,
52,MANEJO Y APROVECHAMIENTO DE RESIDUOS SÓLIDOS Y LÍQUIDOS,"GESTIONAR EL MANEJO INTEGRAL DE RESIDUOS GENERADOS EN LA ACTIVIDAD PRODUCTIVA Y DE SERVICIOS, DESDE SU GENERACIÓN HASTA SU DISPOSICIÓN FINAL, APLICANDO LAS NORMAS DE SEGURIDAD Y SALUD EN EL TRABAJO Y MEDIO AMBIENTE.",ACTIVIDADES TIPO SERVICIOS,ACTIVIDADES DE DESCONTAMINACIÓN Y OTROS SERVICIOS DE GESTIÓN DE DESECHOS,
53,COORDINACIÓN TÉCNICA Y LOGÍSTICA PARA EL LEVANTAMIENTO DE DAÑOS Y NECESIDADES POR EVENTOS PELIGROSOS,SUPERVISAR LOS ASPECTOS TÉCNICOS Y LOGÍSTICOS PARA CONDUCIR EL TRABAJO DE EVALUACIÓN DE LA ZONA AFECTADA POR UN EVENTO PELIGROSO DE ACUERDO CON NORMATIVA VIGENTE Y LA METODOLOGÍA NACIONAL E INTERNACIONAL ESTABLECIDA.,ACTIVIDADES COMUNITARIAS,ADMINISTRACIÓN PÚBLICA Y DEFENSA; PLANES DE SEGURIDAD SOCIAL DE AFILIACIÓN OBLIGATORIA.,
54,OPERACIONES EN ARREGLOS Y ADAPTACIONES DE PRENDAS Y ARTÍCULOS TEXTILES,"REALIZAR ARREGLOS Y ADAPTACIONES EN PRENDAS DE VESTIR EN TEXTIL Y PIEL, ASI COMO EN ROPA DE HOGAR, APLICANDO LAS TECNICAS Y PROCESOS ESPECIFICOS, LOGRANDO QUE EL ARTÍCULO ADQUIERA EL ACABADO REQUERIDO EN LA ATENCIÓN AL CLIENTE, CON CALIDAD Y CUMPLIENDO LAS CONDICIONES DE SEGURIDAD Y AMBIENTALES.","PRODUCTOS TEXTILES, CUERO Y CALZADO",FABRICACIÓN DE PRODUCTOS TEXTILES,
55,BIOMECÁNICA APLICADA AL DISEÑO DE CALZADO,"ASEGURAR EL CUMPLIMIENTO DE LOS PARÁMETROS BIOMECÁNICOS (ANATÓMICOS) DEL CALZADO DE ACUERDO A LAS ESPECIFICACIONES TÉCNICAS DE DISEÑO Y MODELOS DESTINADOS PARA MANTENER, MEJORAR Y GARANTIZAR EL CONFORT, CALIDAD Y REQUERIMIENTOS DEL CLIENTE EN TODOS LOS ASPECTOS ERGONÓMICOS QUE SE PRESENTAN EN EL CALZADO.","PRODUCTOS TEXTILES, CUERO Y CALZADO",FABRICACIÓN DE CUEROS Y PRODUCTOS CONEXOS,
56,OPERACIONES EN PROCESOS DE RIBERA Y CURTICION,"REALIZAR LOS TRABAJOS DE RIBERA Y CURTICIÓN DE LAS PIELES, APLICANDO LAS TÉCNICAS Y PROCEDIMIENTOS NECESARIOS PARA CONSEGUIR LA PRODUCCIÓN CON LA CALIDAD REQUERIDA EN LOS PLAZOS PREVISTOS, Y EN LAS CONDICIONES DE SEGURIDAD, SALUD Y MEDIOAMBIENTE ESTABLECIDAS.","PRODUCTOS TEXTILES, CUERO Y CALZADO",FABRICACIÓN DE CUEROS Y PRODUCTOS CONEXOS,
57,OPERACIONES ESPECIALIZADAS EN MONTADO Y ACABADO DE ARTÍCULOS DE MARROQUINERÍA,"REALIZAR EL MONTADO Y ACABADO DE ARTÍCULOS DE MARROQUINERÍA EN TEXTIL Y/O PIEL, APLICANDO LAS TÉCNICAS Y PROCEDIMIENTOS NECESARIOS PARA CONSEGUIR LA CANTIDAD Y LA CALIDAD REQUERIDA, EN LAS CONDICIONES DE SEGURIDAD, RESPETO AL MEDIO AMBIENTE Y PLAZOS ESTABLECIDOS.","PRODUCTOS TEXTILES, CUERO Y CALZADO",FABRICACIÓN DE CUEROS Y PRODUCTOS CONEXOS,
58,MODELAJE DE CALZADO Y MARROQUINERÍA,ELABORAR MOLDES DE CORTE DE CALZADO EN BASE A DISEÑOS DEFINIDOS MEDIANTE LA APLICACIÓN DE TÉCNICAS DE MONTAJE Y PRODUCCIÓN.,"PRODUCTOS TEXTILES, CUERO Y CALZADO",FABRICACIÓN DE CUEROS Y PRODUCTOS CONEXOS,
59,OPERACIONES ESPECIALIZADAS EN ELABORACIÓN DE DERIVADOS DE CEREALES Y DULCES,"ELABORAR PRODUCTOS DERIVADOS DE CEREALES Y DULCES MEDIANTE LA OPERACIÓN DE MAQUINARIA Y EQUIPOS DE PRODUCCIÓN, LLEVANDO A CABO EL AUTOCONTROL DE CALIDAD DE ACUERDO CON LAS REFERENCIAS FIJADAS.",TRANSFORMACIÓN DE ALIMENTOS (INCLUYE AGROINDUSTRIA),ELABORACIÓN DE PRODUCTOS ALIMENTICIOS,
60,OPERACIONES ESPECIALIZADAS EN ENVASADO Y EMBALAJE DE ACEITES DE SEMILLAS Y GRASAS,"REALIZAR OPERACIONES PARA EL ENVASADO Y EMBALAJE DE ACEITES Y GRASAS COMESTIBLES DE SEMILLAS DE ACUERDO A NORMAS DE CALIDAD, HIGIENE Y SEGURIDAD EN EL TRABAJO E INOCUIDAD ALIMENTARIA.",TRANSFORMACIÓN DE ALIMENTOS (INCLUYE AGROINDUSTRIA),ACTIVIDADES ADMINISTRATIVAS Y DE APOYO DE OFICINA Y OTRAS ACTIVIDADES DE APOYO A LAS EMPRESAS,
61,PROCESAMIENTO DE PLANTA DE CERDOS,"REALIZAR LAS ACTIVIDADES DEL PROCESAMIENTO DE CERDOS HASTA LA OBTENCIÓN DE CANALES PARA EL DESPRESADO, EMPACADO, ALMACENAMIENTO Y DESPACHO, EN BASE A NORMAS ESTABLECIDAS.",PRODUCCIÓN PECUARIA,ELABORACIÓN DE PRODUCTOS ALIMENTICIOS,
62,TRABAJO ACUÍCOLA DE CAMPO,"REALIZAR LA SIEMBRA, TRANSFERENCIA, ALIMENTACIÓN, CUIDADO, SEGUIMIENTO Y COSECHA PARA LA PRODUCCIÓN DE ESPECIES ACUÁTICAS, VERIFICANDO EL CUMPLIMIENTO DE LAS ESPECIFICACIONES TÉCNICAS ESTABLECIDAS DE ACUERDO A LAS BUENAS PRÁCTICAS DE MANUFACTURA, NORMAS DE CALIDAD, NORMAS DE SEGURIDAD Y SALUD EN EL TRABAJO Y NORMAS DE AMBIENTE.","PESCA, ACUACULTURA Y MARICULTURA",PESCA Y ACUICULTURA,
63,SUPERVISIÓN DE CALIDAD DE ALIMENTOS,"GESTIONAR Y ASEGURAR EL PROCESO DE ELABORACIÓN DE UN PRODUCTO ALIMENTICIO, DETERMINANDO LAS CONFORMIDADES Y NO CONFORMIDADES CON LAS NORMAS Y LEGISLACIONES NACIONALES O INTERNACIONALES APLICABLES PARA GARANTIZAR LA CALIDAD E INOCUIDAD DEL PRODUCTO.",TRANSFORMACIÓN DE ALIMENTOS (INCLUYE AGROINDUSTRIA),ELABORACIÓN DE PRODUCTOS ALIMENTICIOS,
64,SUPERVISIÓN DE PRODUCCIONES GASTRONÓMICAS,"SUPERVISAR PROCESOS DE PRE-PRODUCCIÓN, PRODUCCIÓN, MONTAJE Y DESPACHO DE ALIMENTOS DE ACUERDO CON PROTOCOLOS ESTABLECIDOS Y LA NORMATIVA VIGENTE",TRANSFORMACIÓN DE ALIMENTOS (INCLUYE AGROINDUSTRIA),ELABORACIÓN DE PRODUCTOS ALIMENTICIOS,
65,OPERACIONES DE MOLINO DE ARROZ,"REALIZAR LA MOLIENDA DE GRANOS DE ARROZ MEDIANTE LA PREPARACIÓN, OPERACIÓN EQUIPOS DE PRODUCCIÓN, LLEVANDO A CABO EL CONTROL DEL PROCESO DE ACUERDO A LA NORMATIVA VIGENTE.",TRANSFORMACIÓN DE ALIMENTOS (INCLUYE AGROINDUSTRIA),ELABORACIÓN DE PRODUCTOS ALIMENTICIOS,
66,"ATENCIÓN A NIÑOS, ADOLESCENTES Y JÓVENES CON NECESIDADES EDUCATIVAS ESPECIALES","ATENDER A NIÑOS, ADOLESCENTES Y JÓVENES CON NECESIDADES EDUCATIVAS ESPECIALES DE ACUERDO A LO ESTABLECIDO EN LA NORMATIVA VIGENTE",ACTIVIDADES TIPO SERVICIOS,ACTIVIDADES DE ASISTENCIA SOCIAL SIN ALOJAMIENTO,
67,GESTIÓN DE LA PRODUCCIÓN EN PROCESOS DE PRE-IMPRESIÓN,"PLANIFICAR LA FABRICACIÓN DE PRODUCTOS GRÁFICOS Y ORGANIZAR LOS PROCESOS DE PREIMPRESION EN EL MARCO DEL PLAN DE PRODUCCIÓN GENERAL DE LA EMPRESA, GESTIONANDO LOS MATERIALES IMPLICADOS, OPTIMIZANDO Y SUPERVISANDO LOS PROCESOS PRODUCTIVOS Y PARTICIPANDO EN EL PLAN DE CALIDAD, ASÍ COMO EN EL PLAN DE PREVENCIÓN DE RIESGOS LABORALES Y DE PROTECCIÓN AMBIENTAL ESTABLECIDOS.","PRODUCTOS INDUSTRIALES, FARMACÉUTICOS Y QUÍMICOS",IMPRESIÓN Y REPRODUCCIÓN DE GRABACIONES,
68,PRODUCCIÓN DE CONTENIDOS PARA MEDIOS COMUNITARIOS DE RADIO Y TELEVISIÓN,"REALIZAR PRODUCTOS COMUNICACIONALES RADIOFÓNICOS Y/O TELEVISIVOS SOBRE LA BASE DE LAS NECESIDADES COMUNITARIAS, APLICANDO LOS FORMATOS ESTABLECIDOS POR LOS MEDIOS DE COMUNICACIÓN Y CONFORME LOS LINEAMIENTOS DE LA LEY ORGÁNICA DE COMUNICACIÓN.",ACTIVIDADES COMUNITARIAS,"ACTIVIDADES DE PRODUCCIÓN DE PELÍCULAS CINEMATOGRÁFICAS, VÍDEOS Y PROGRAMAS DE TELEVISIÓN, GRABACIÓN DE SONIDO Y EDICIÓN DE MÚSICA",
69,ASISTENCIA EN GESTIÓN AMBIENTAL,"COLABORA EN LA EJECUCIÓN, EVALUACIÓN, MONITOREO DE LAS ACTIVIDADES EN BASE A LOS PLAN DE MANEJO AMBIENTAL ESTABLECIDO, MEDIANTE LA RECOPILACIÓN DE INFORMACIÓN Y GENERACIÓN DE REPORTES DE CUMPLIMIENTO DE LAS ACTIVIDADES PROGRAMADAS DE ACUERDO A LOS PARÁMETROS AMBIENTALES Y REQUERIMIENTOS DEL PROYECTO.",ACTIVIDADES TIPO SERVICIOS,ACTIVIDADES DE OFICINAS PRINCIPALES; ACTIVIDADES DE CONSULTORÍA DE GESTIÓN,
70,ASISTENCIA ADMINISTRATIVA,"DISTRIBUIR, REPRODUCIR Y TRANSMITIR LA INFORMACIÓN Y DOCUMENTACIÓN REQUERIDAS EN LAS TAREAS ADMINISTRATIVAS Y DE GESTIÓN, INTERNAS Y EXTERNAS, ASÍ COMO REALIZAR TRÁMITES ELEMENTALES DE VERIFICACIÓN DE DATOS Y DOCUMENTOS A REQUERIMIENTO DE TÉCNICOS DE NIVEL SUPERIOR CON EFICACIA, DE ACUERDO CON INSTRUCCIONES O PROCEDIMIENTOS ESTABLECIDOS.",ACTIVIDADES TIPO SERVICIOS,ACTIVIDADES DE OFICINAS PRINCIPALES; ACTIVIDADES DE CONSULTORÍA DE GESTIÓN,
71,GESTIÓN EN BIOTECNOLOGÍA,"ORGANIZAR Y REALIZAR ENSAYOS BIOTECNOLÓGICOS DE BASE BIOLÓGICA, BIOQUÍMICA, INMUNOLÓGICA Y/O GENÉTICA.",ACTIVIDADES TIPO SERVICIOS,ACTIVIDADES DE OFICINAS PRINCIPALES; ACTIVIDADES DE CONSULTORÍA DE GESTIÓN,
72,FOTOGRAFÍA DE MEDIOS MULTIMEDIA,"REALIZAR LA COBERTURA PERIODÍSTICA A TRAVÉS DE REGISTROS FOTOGRÁFICOS Y/O VIDEO  DE SER EL CASO- DE HECHOS Y/O ASIGNACIONES TOMANDO EN CONSIDERACIÓN LAS TÉCNICAS ESTABLECIDAS (COMPOSICIÓN, CONTENIDO, ILUMINACIÓN) Y NORMAS DE SEGURIDAD Y SALUD EN EL TRABAJO.",ACTIVIDADES TIPO SERVICIOS,"OTRAS ACTIVIDADES PROFESIONALES, CIENTÍFICAS Y TÉCNICAS",
73,ASISTENCIA DE PRIMEROS AUXILIOS VETERINARIOS,"APLICAR LOS CONOCIMIENTOS TÉCNICOS DE PRIMEROS AUXILIOS VETERINARIOS EN ESPECIES ANIMALES MENORES Y MAYORES; REALIZAR TRATAMIENTOS PRIMARIOS DE LAS ENFERMEDADES MÁS COMUNES, ASISTIR A CONTROLAR RIESGOS EMERGENTES QUE COMPROMETEN LA SUPERVIVENCIA DE LAS ESPECIES ANIMALES.",ACTIVIDADES DE SALUD,ACTIVIDADES VETERINARIAS,
74,TÉCNICAS EN SEGURIDAD PENITENCIARIA,"VIGILAR Y PROTEGER A LAS PERSONAS Y SUS BIENES, EVITANDO LA COMISIÓN DE DELITOS E INFRACCIONES, EN UN ENTORNO DEFINIDO",ACTIVIDADES TIPO SERVICIOS,ADMINISTRACIÓN PÚBLICA Y DEFENSA; PLANES DE SEGURIDAD SOCIAL DE AFILIACIÓN OBLIGATORIA,
75,MANTENIMIENTO DE VIVIENDAS Y EDIFICIOS,"REALIZAR EL MANTENIMIENTO DE VIVIENDAS Y EDIFICIOS, EFECTUANDO REPARACIONES BASICAS CON TRABAJOS DE ALBAÑILERIA, GASFITERIA, CARPINTERIA Y ELECTRICIDAD APLICANDO ESPECIFICACIONES TECNICAS Y NORMAS DE SEGURIDAD, SALUD OCUPACIONAL E HIGIENE Y AMBIENTALES VIGENTES.",ACTIVIDADES TIPO SERVICIOS,ACTIVIDADES DE SERVICIOS A EDIFICIOS Y PAISAJISMO,
76,PRODUCCIÓN DE BIOCOMBUSTIBLES,"OPERAR Y CONTROLAR EQUIPOS Y MÁQUINAS UTILIZADAS PARA LA PRODUCCIÓN DE BIOCOMBUSTIBLE DE ACUERDO A LOS PROCESOS, PROCEDIMIENTOS, NORMAS DE CALIDAD, SEGURIDAD Y SALUD EN EL TRABAJO.","PRODUCTOS INDUSTRIALES, FARMACÉUTICOS Y QUÍMICOS",OTRAS INDUSTRIAS MANUFACTURERAS,
77,INSTALACIONES DE GAS,"INSTALAR ARTEFACTOS, VENTILACIONES Y CAÑERÍAS PARA LA PROVISIÓN DE GAS EN EDIFICIOS UNI Y MULTIFAMILIARES, LOCALES COMERCIALES Y UNIDADES DE ACTIVIDADES VARIAS, APLICANDO NORMAS DE HIGIENE, SALUD Y SEGURIDAD EN EL TRABAJO.","ELECTRICIDAD, GAS Y AGUA",ACTIVIDADES ESPECIALIZADAS DE LA CONSTRUCCIÓN,
78,MANTENIMIENTO DE VEHÍCULOS AUTOMOTORES,"REALIZAR EL DIAGNOSTICO DE AVERIAS Y MANTENIMIENTO DE MOTORES Y DE LOS SISTEMAS DE DIRECCION, SUSPENSION, FRENOS, TRANSMISION, Y SISTEMAS ELECTRICOS Y ELECTRONICOS DEL VEHICULO, TENIENDO EN CUENTA LAS NORMAS DE SEGURIDAD.","VEHÍCULOS, AUTOMOTORES, CARROCERÍAS Y SUS PARTES",COMERCIO Y REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS,
79,ELABORACIÓN DE JABONES DE GLICERINA Y COSMÉTICA NATURAL,"PRODUCIRJABONESDEGLICERINAYCOSMÉTICANATURALCUMPLIENDOESTÁNDARESDE CALIDAD, NORMAS DE SEGURIDAD Y SALUD OCUPACIONAL","PRODUCTOS INDUSTRIALES, FARMACÉUTICOS Y QUÍMICOS",FABRICACIÓN DE SUBSTANCIAS Y PRODUCTOS QUÍMICOS,
80,ACTIVIDADES DE EJECUCIÓN PARA LA ASISTENCIA HUMANITARIA,"EJECUTAR EL TIPO DE ASISTENCIA HUMANITARIA (ALOJAMIENTO TEMPORAL, BIENES DE ASISTENCIA HUMANITARIA Y PROTECCIÓN DE DERECHOS) REQUERIDO CONFORME A LAS NECESIDADES DE LA POBLACIÓN AFECTADA Y DAMNIFICADA ANTE EMERGENCIAS, DESASTRES Y CATÁSTROFES CONSIDERANDO LA NORMATIVA LEGAL VIGENTE Y PROCEDIMIENTOS ESTABLECIDOS.",ACTIVIDADES COMUNITARIAS,ADMINISTRACIÓN PÚBLICA Y DEFENSA; PLANES DE SEGURIDAD SOCIAL DE AFILIACIÓN OBLIGATORIA.,
81,GESTIÓN EN IMPRESIÓN OFFSET,"UNIDAD DE COMPETENCIA 3 DETERMINAR Y AJUSTAR LOS ELEMENTOS DE PROCESO DE IMPRESIÓN OFFSET REALIZAR LA IMPRESIÓN POR EL PROCEDIMIENTO OFFSET, REPARANDO Y AJUSTANDO LOS ELEMENTOS DEL PROCESO DE IMPRESIÓN Y LAS MATERIAS PRIMAS NECESARIAS, SEGÚN LA PRODUCTIVIDAD Y CALIDAD ESTABLECIDAS E INTERVINIENDO EN EL PROCESO GRÁFICO, CUMPLIENDO LA NORMATIVA APLICABLE DE PREVENCIÓN DE RIESGOS LABORALES Y MEDIOAMBIENTALES","PRODUCTOS INDUSTRIALES, FARMACÉUTICOS Y QUÍMICOS",IMPRESIÓN Y REPRODUCCIÓN DE GRABACIONES,
82,CONDUCTOR PROFESIONAL DE BUS - NTE INEN 2 463: 2008,"EL CONDUCTOR DE TRANSPORTE TURÍSTICO TERRESTRE SE OCUPA, PRINCIPALMENTE, DE TRASLADAR A LOS TURISTAS EN VEHÍCULOS TIPO AUTOBÚS, FURGONETA Y AUTOMÓVIL, EN AMBIENTES URBANOS, CARRETERAS RURALES, PARA EXCURSIONES, PASEO LOCAL, TRASLADOS Y DESPLAZAMIENTOS ESPECIALES.","TRANSPORTE, ALMACENAMIENTO Y LOGÍSTICA",TRANSPORTE POR VÍA TERRESTRE Y POR TUBERÍAS,
83,GESTIÓN EN PLANIFICACIÓN DEL TRANSPORTE TERRESTRE,"SUPERVISAR TODAS LAS LABORES CONCERNIENTES A LA RECEPCIÓN,ALMACENAJE, CUSTODIA DE LA EXISTENCIA FÍSICA, DESPACHO Y EMBARQUE DEL PRODUCTO TERMINADO","TRANSPORTE, ALMACENAMIENTO Y LOGÍSTICA",TRANSPORTE POR VÍA TERRESTRE Y POR TUBERÍAS,
84,SUPERVISIÓN DE BUQUE Y ACTIVIDADES PESQUERAS,"REALIZAR EL REGISTRO E INFORMES DE SEGUIMIENTO DE LA ACTIVIDAD PESQUERA, INFORMACIÓN SOBRE EL NIVEL DE CUMPLIMIENTO Y EJECUCIÓN DE LAS MEDIDAS DE CONSERVACIÓN VIGENTES EN EL ÁREA DE TRABAJO, CONTROLANDO LA POSICIÓN DEL BUQUE, LA UTILIZACIÓN DE LAS ARTES DE PESCA Y LAS CAPTURAS REALIZADAS EN EL ÁREA DE REFERENCIA.","PESCA, ACUACULTURA Y MARICULTURA",TRANSPORTE POR VÍA ACUÁTICA,
85,ESTIBAJE,"PREPARAR Y MOVILIZAR MERCADERÍA Y BIENES MUEBLES EN LAS CONDICIONES QUE PERMITAN PRECAUTELAR SU INTEGRIDAD Y EVITAR RIESGOS DE ACUERDO CON LAS NORMAS DE SEGURIDAD Y SALUD EN EL TRABAJO, MEDIO AMBIENTE Y PROCEDIMIENTOS ESTABLECIDOS.","TRANSPORTE, ALMACENAMIENTO Y LOGÍSTICA",ALMACENAMIENTO Y ACTIVIDADES DE APOYO AL TRANSPORTE,
86,ASISTENCIA EN MOVIMIENTOS DE MERCADERÍA,"REALIZAR LOS PROCESOS DE MOVILIZACIÓN Y CONTROL DE LA MERCADERÍA Y BIENES EN LAS ÁREAS DE BODEGAS Y DESPACHOS PRECAUTELANDO LA INTEGRIDAD, CANTIDAD, ESTADO Y LLEGADA A TIEMPO; DE ACUERDO A PROCEDIMIENTOS INTERNOS Y NORMAS DE SEGURIDAD Y SALUD EN EL TRABAJO ESTABLECIDOS.","TRANSPORTE, ALMACENAMIENTO Y LOGÍSTICA",ALMACENAMIENTO Y ACTIVIDADES DE APOYO AL TRANSPORTE,
87,LOGÍSTICA EN ALMACENAMIENTO Y DISTRIBUCIÓN,"PRESTAR LOS SERVICIOS DE PLANIFICACIÓN , EJECUCIÓN Y CONTROL DE LOS PROCESOS LOGÍSTICOS EMPRESARIALES DE ALMACENAMIENTO Y DISTRIBUCIÓN, SEGÚN LAS NORMAS DE CALIDAD, SEGURIDAD E HIGIENE.","TRANSPORTE, ALMACENAMIENTO Y LOGÍSTICA",ALMACENAMIENTO Y ACTIVIDADES DE APOYO AL TRANSPORTE,
88,GESTIÓN EN LOGÍSTICA MULTIMODAL,"APOYAR ACTIVIDADES LOGÍSTICAS EN CENTROS DE DISTRIBUCIÓN, BODEGAS, EMPRESAS DE MENOR TAMAÑO U OTRAS PARA DAR CONTINUIDAD OPERACIONAL A LA CADENA DE DISTRIBUCIÓN","TRANSPORTE, ALMACENAMIENTO Y LOGÍSTICA",ALMACENAMIENTO Y ACTIVIDADES DE APOYO AL TRANSPORTE,
89,OPERACIONES ESPECIALIZADAS EN CONSERVAS DE FRUTAS EN ALMÍBAR,"PROCESAR FRUTAS PARA LA ELABORACIÓN DE CONSERVAS GARANTIZANDO LA CALIDAD E INOCUIDAD MEDIANTE EL CUMPLIMIENTO DE LAS NORMAS VIGENTES, BUENAS PRÁCTICAS DE MANUFACTURA, SEGURIDAD Y SALUD EN EL TRABAJO, Y MEDIO AMBIENTE.",TRANSFORMACIÓN DE ALIMENTOS (INCLUYE AGROINDUSTRIA),ELABORACIÓN DE PRODUCTOS ALIMENTICIOS,
90,OPERACIONES ESPECIALIZADAS DE PISO DE TELEVISIÓN,"COORDINAR LA OPERACIÓN DE EQUIPOS Y HERRAMIENTAS EN SUS NIVELES DE COMPETENCIA, PARA EL DESARROLLO Y CONTINUIDAD DE LA PRODUCCIÓN DEL MEDIO DE COMUNICACIÓN DE MANERA EFICIENTE.",ACTIVIDADES COMUNITARIAS,"ACTIVIDADES DE PRODUCCIÓN DE PELÍCULAS CINEMATOGRÁFICAS, VÍDEOS Y PROGRAMAS DE TELEVISIÓN, GRABACIÓN DE SONIDO Y EDICIÓN DE MÚSICA",
91,CAPITÁN DE EMBARCACIÓN TURÍSTICA NTE INEN 2 467 2008,"EL CAPITÁN DE EMBARCACIÓN TURÍSTICA SE OCUPA, PRINCIPALMENTE, DE PLANIFICAR Y COORDINAR LAS ACTIVIDADES DE NAVEGACIÓN; SUPERVISAR EL EQUIPO Y CONDUCIR LA EMBARCACIÓN EN RUTA TURÍSTICA.","TRANSPORTE, ALMACENAMIENTO Y LOGÍSTICA",TRANSPORTE POR VÍA ACUÁTICA,
92,GESTIÓN CONTABLE DE FONDOS Y TRIBUTACIÓN,COORDINAR LOS PROCESOS DE GESTIÓN DE FONDOS Y TRIBUTACIÓN DE LA INSTITUCIÓN CONSIDERANDO LA NORMATIVA LEGAL VIGENTE.,ACTIVIDADES TIPO SERVICIOS,ADMINISTRACIÓN PÚBLICA Y DEFENSA; PLANES DE SEGURIDAD SOCIAL DE AFILIACIÓN OBLIGATORIA,
93,GESTIÓN DE CONTRATACIÓN PÚBLICA,COORDINAR LA EJECUCIÓN DEL PROCESO DE CONTRATACIÓN PÚBLICA CONSIDERANDO LA NORMATIVA LEGAL VIGENTE.,ACTIVIDADES TIPO SERVICIOS,ADMINISTRACIÓN PÚBLICA Y DEFENSA; PLANES DE SEGURIDAD SOCIAL DE AFILIACIÓN OBLIGATORIA,
94,GESTIÓN DE SOPORTE A USUARIOS,"COORDINAR LOS PROCESOS DE SOPORTE TÉCNICO DE INCIDENCIAS Y REQUERIMIENTOS REPORTADOS, ACORDE A LOS DIFERENTES NIVELES DE SERVICIO.",ACTIVIDADES TIPO SERVICIOS,ADMINISTRACIÓN PÚBLICA Y DEFENSA; PLANES DE SEGURIDAD SOCIAL DE AFILIACIÓN OBLIGATORIA,
95,GESTIÓN DE PROGRAMACIÓN PRESUPUESTARIA INSTITUCIONAL,GESTIONAR LA PROGRAMACIÓN PRESUPUESTARIA ACORDE A LA PLANIFICACIÓN INSTITUCIONAL Y A LA NORMATIVA LEGAL VIGENTE.,ACTIVIDADES TIPO SERVICIOS,ADMINISTRACIÓN PÚBLICA Y DEFENSA; PLANES DE SEGURIDAD SOCIAL DE AFILIACIÓN OBLIGATORIA,
96,JARDINERÍA,"REALIZAR TRABAJOS DE INSTALACIÓN, MANTENIMIENTO Y MEJORA DE JARDINES Y ÁREAS VERDES TOMANDO EN CUENTA LA NORMATIVA DE SEGURIDAD Y LA LEGISLACIÓN MEDIOAMBIENTAL VIGENTE.",ACTIVIDADES TIPO SERVICIOS,ACTIVIDADES DE SERVICIOS A EDIFICIOS Y PAISAJISMO,
97,OPERACIONES DE LÍNEA DE ENVASADO,"REALIZAR EL ENVASADO DE PRODUCTOS DE CONSERVAS MEDIANTE LA PREPARACIÓN Y OPERACIÓN EQUIPOS DE PRODUCCIÓN, LLEVANDO A CABO EL CONTROL DEL PROCESO DE ACUERDO A LA NORMATIVA VIGENTE.",TRANSFORMACIÓN DE ALIMENTOS (INCLUYE AGROINDUSTRIA),ACTIVIDADES ADMINISTRATIVAS Y DE APOYO DE OFICINA Y OTRAS ACTIVIDADES DE APOYO A LAS EMPRESAS,
98,PROMOCIÓN COMUNITARIA PARA EL BUEN VIVIR,"PROMOVER Y GESTIONAR PROCESOS DE DESARROLLO INTEGRAL, PARTIENDO DE LAS NECESIDADES Y VALORANDO LAS POTENCIALIDADES LOCALES, ARTICULANDO LAS DEMANDAS COMUNITARIAS CON LOS ACTORES INTERNOS Y EXTERNOS, EJECUTANDO ACCIONES ORIENTADAS A LA CONSECUCIÓN DEL BUEN VIVIR.",ACTIVIDADES COMUNITARIAS,"ACTIVIDADES DE AGENCIAS DE VIAJES, OPERADORES TURÍSTICOS, SERVICIOS DE RESERVAS Y ACTIVIDADES CONEXAS",
99,EBANISTERÍA-TALLADO Y ESCULTURA,"REALIZAR Y MANTENER OBRAS DE ARTESANÍA EN PIEDRA NATURAL, DE CARÁCTER TRADICIONAL O CONTEMPORÁNEO, SEGÚN LA OBRA A EJECUTAR Y TÉCNICAS ESTABLECIDAS.","PRODUCTOS INDUSTRIALES, FARMACÉUTICOS Y QUÍMICOS","ACTIVIDADES CREATIVAS, ARTÍSTICAS Y DE ENTRETENIMIENTO",
100,SUPERVISIÓN DE PROCESO DE LÍNEA DE CORRUGACIÓN,SUPERVISAR LAS OPERACIONES DE PRODUCCIÓN DEL CORRUGADO DE ACUERDO AL SISTEMA DE CALIDAD Y PARÁMETROS ESTABLECIDOS.,"PRODUCTOS INDUSTRIALES, FARMACÉUTICOS Y QUÍMICOS",FABRICACIÓN DE PAPEL Y DE PRODUCTOS DE PAPEL,
