,Perfil,Competenecia Laboral,Familia,Sector,Descargar Perfil
57,MUSEOGRAFÍA,EJECUTAR PROYECTOS MUSEOGRÁFICOS Y CONSERVACIÓN PREVENTIVA DE LAS EXHIBICIONES PERMANENTES Y TEMPORALES DE LOS BIENES CULTURALES Y PATRIMONIALES PÚBLICOS Y PRIVADOS PARA MUSEOS O ESPACIOS DE EXHIBICIÓN DE ACUERDO A PROTOCOLOS ESTABLECIDOS.,ACTIVIDADES COMUNITARIAS,"ACTIVIDADES DE BIBLIOTECAS, ARCHIVOS, MUSEOS Y OTRAS ACTIVIDADES CULTURALES",
58,CONSERVACIÓN DE PARQUES,"PRESERVAR, CONSERVAR Y VINCULAR LA DIVERSIDAD BIOLÓGICA DE LAS ÁREAS SILVESTRES PROTEGIDAS CON LA COMUNIDAD, DE ACUERDO A NORMATIVA LEGAL VIGENTE, LINEAMIENTOS Y POLÍTICAS INSTITUCIONALES, PLANIFICACIÓN Y PROCEDIMIENTOS DEFINIDOS.",ACTIVIDADES COMUNITARIAS,"ACTIVIDADES DE BIBLIOTECAS, ARCHIVOS, MUSEOS Y OTRAS ACTIVIDADES CULTURALES",
59,PROMOCIÓN EN RECREACIÓN Y DEPORTES,"REALIZAR LA PREPARACIÓN Y DESARROLLO DE ACTIVIDADES FÍSICAS, LÚDICAS, RECREATIVAS Y DEPORTIVAS, ASÍ COMO PROCESOS DE ENTRENAMIENTO Y ORGANIZACIÓN DE FESTIVALES Y TORNEOS DEPORTIVOS DESTINADOS A INDIVIDUOS, GRUPOS Y ENTIDADES PÚBLICAS Y PRIVADAS AFINES, PARA FOMENTAR EL MEJORAMIENTO DEL RENDIMIENTO DEPORTIVO Y LA CALIDAD DE VIDA.",ACTIVIDADES COMUNITARIAS,"ACTIVIDADES DEPORTIVAS, DE ESPARCIMIENTO Y RECREATIVAS",
60,UTILERÍA DE EVENTOS ARTÍSTICO CULTURAL,ORGANIZAR LOS ELEMENTOS QUE SE UTILIZAN EN EL EVENTO DE ACUERDO A LOS REQUERIMIENTOS ESTABLECIDOS CUMPLIENDO LAS NORMAS DE SEGURIDAD VIGENTES.,ACTIVIDADES COMUNITARIAS,"ACTIVIDADES DEPORTIVAS, DE ESPARCIMIENTO Y RECREATIVAS",
61,OPERACIONES DE ENSAMBLAJE Y MANTENIMIENTO DE EQUIPOS ELECTRÓNICOS,"REALIZAR OPERACIONES DE ENSAMBLE, MONTAJE, CONEXIONADO Y MANTENIMIENTO EN LÍNEAS DE PRODUCCIÓN DE SISTEMAS Y EQUIPOS ELECTRÓNICOS DE TELECOMUNICACIONES, AUDIO Y VIDEO, DIGITALES Y MICRO PROGRAMABLES; CON CRITERIOS DE CALIDAD, EFICIENCIA, PREVENCIÓN DE RIESGOS LABORALES Y PROTECCIÓN MEDIOAMBIENTAL.",ACTIVIDADES TIPO SERVICIOS,REPARACIÓN DE COMPUTADORES Y DE EFECTOS PERSONALES Y ENSERES DOMÉSTICOS,
62,PELUQUERÍA Y ESTÉTICA,"REALZAR Y ASESORAR DE FORMA INTEGRAL LA BELLEZA DEL CLIENTE (CABELLO, MAQUILLAJE, UÑAS, PIEL), TOMANDO EN CONSIDERACIÓN SUS REQUERIMIENTOS Y CONDICIONES FISIOLÓGICAS (EDAD, SALUD, GÉNERO), CUMPLIENDO CON LAS NORMAS DE HIGIENE, DE SEGURIDAD Y SALUD EN EL TRABAJO. COMERCIALIZAR PRODUCTOS COSMÉTICOS DE IMAGEN PERSONAL.",ACTIVIDADES COMUNITARIAS,OTRAS ACTIVIDADES DE SERVICIOS PERSONALES,
63,PELUQUERÍA E IMAGEN PERSONAL,"MEJORAR LA IMAGEN PERSONAL DEL CLIENTE, APLICANDO PROTOCOLOS DE TRABAJOS TÉCNICOS DE PELUQUERÍA PARA EL CUIDADO Y EL EMBELLECIMIENTO DEL CABELLO Y TÉCNICAS COMPLEMENTARIAS DE ARREGLO Y RASURADO DE LA BARBA Y EL BIGOTE, EN CONDICIONES DE CALIDAD, SEGURIDAD E HIGIENE ÓPTIMAS.",ACTIVIDADES COMUNITARIAS,OTRAS ACTIVIDADES DE SERVICIOS PERSONALES,
64,CUIDADO A PERSONAS CON DISCAPACIDAD SEVERA,REALIZAR ACTIVIDADES DE CUIDADO A LAS PERSONAS CON DISCAPACIDAD SEVERA DE ACUERDO A PROCEDIMIENTOS Y TÉCNICAS ESTABLECIDAS CUMPLIENDO LA NORMATIVA VIGENTE.,ACTIVIDADES COMUNITARIAS,ACTIVIDADES NO DIFERENCIADAS DE LOS HOGARES COMO PRODUCTORES DE BIENES Y SERVICIOS PARA USO PROPIO,
65,SUPERVISIÓN DE PROCESOS DE PLANTA DE BENEFICIO EN PEQUEÑA MINERÍA,"SUPERVISAR LOS PROCESOS DE LA PLANTA DE BENEFICIO DE MINERALES METÁLICOS EN PEQUEÑA MINERIA, DE ACUERDO A PROCEDIMIENTOS ESTABLECIDOS.","MINAS, CANTERAS Y YACIMIENTOS",ACTIVIDADES DE SERVICIOS DE APOYO PARA LA EXPLOTACIÓN DE MINAS Y CANTERAS,
66,ACTIVIDADES DE APOYO DE VIGILANCIA Y CONTROL ZOOSANITARIO Y MANEJO DE MASCOTAS DE LA PROVINCIA DE GALÁPAGOS,"EJECUTAR ACTIVIDADES DE APOYO DE VIGILANCIA Y CONTROL ZOOSANITARIO Y MANEJO DE MASCOTAS EN LA PROVINCIA DE GALÁPAGOS, CONFORME NORMATIVA LEGAL VIGENTE.",ACTIVIDADES DE SALUD,ACTIVIDADES VETERINARIAS,
67,ACTIVIDADES DE INSPECCIÓN Y CUARENTENA EN PUERTOS Y AEROPUERTOS DE LA PROVINCIA DE GALÁPAGOS,"EJECUTAR ACTIVIDADES DE INSPECCIÓN Y CUARENTENA EN PUERTOS Y AEROPUERTOS DE LA PROVINCIA DE GALÁPAGOS, CONFORME NORMATIVA LEGAL VIGENTE.",ACTIVIDADES TIPO SERVICIOS,ALMACENAMIENTO Y ACTIVIDADES DE APOYO AL TRANSPORTE,
68,ACTIVIDADES DE SERVICIO DE ESTACIONAMIENTO,"BRINDAR EL SERVICIO DE ESTACIONAMIENTO PERSONALIZADO, RESGUARDANDO LA SEGURIDAD DEL VEHÍCULO DE ACUERDO A LOS PROCEDIMIENTOS ESTABLECIDOS.",ACTIVIDADES TIPO SERVICIOS,OTRAS ACTIVIDADES DE SERVICIOS PERSONALES,
69,ACTIVIDADES PARA DEPORTES DE EQUIPOS,"PARTICIPAR EN EVENTOS DEPORTIVOS DE EQUIPO RESOLVIENDO SITUACIONES Y DESAFÍOS QUE SE GENEREN EN EL JUEGO, A TRAVÉS DE LA APLICACIÓN DE FUNDAMENTOS TEÓRICOS, TÉCNICOS, TÁCTICOS Y DE DEPORTIVIDAD; LOGRANDO EFICIENCIA EN LA PERCEPCIÓN, DECISIÓN Y DEFINICIÓN EN EL JUEGO.",ACTIVIDADES COMUNITARIAS,"ACTIVIDADES DEPORTIVAS, DE ESPARCIMIENTO Y RECREATIVAS",
70,ACTIVIDADES TERAPÉUTICAS CON BIOMAGNETISMO,"REALIZAR ACTIVIDADES TERAPÉUTICAS ALTERNATIVAS CON PAR BIOMAGNÉTICO DE ACUERDO A REQUERIMIENTOS DEL USUARIO, SIGUIENDO PROCEDIMIENTOS ESTABLECIDOS.",ACTIVIDADES DE SALUD,ACTIVIDADES DE ATENCIÓN DE LA SALUD HUMANA,
71,ACTIVIDADES TERAPÉUTICAS DE REFLEXOLOGÍA,"REALIZAR ACTIVIDADES TERAPÉUTICAS ALTERNATIVAS DE REFLEXOLOGIA, DE ACUERDO A REQUERIMIENTOS DEL USUARIO SIGUIENDO PROCEDIMIENTOS ESTABLECIDOS.",ACTIVIDADES DE SALUD,ACTIVIDADES DE ATENCIÓN DE LA SALUD HUMANA,
72,ACTIVIDADES TERAPÉUTICAS EN REIKI,REALIZAR ACTIVIDADES TERAPÉUTICAS ALTERNATIVAS DE REIKI DE ACUERDO A REQUERIMIENTOS DEL USUARIO SIGUIENDO PROCEDIMIENTOS ESTABLECIDOS.,ACTIVIDADES DE SALUD,ACTIVIDADES DE ATENCIÓN DE LA SALUD HUMANA,
73,ASESORÍA INMOBILIARIA,"REALIZAR PROCESOS DE MEDIACIÓN, ASESORAMIENTO Y GESTIÓN INMOBILIARIA RELACIONADAS CON LA COMPRAVENTA O ALQUILER DE BIENES INMUEBLES DE ACUERDO A NECESIDADES DEL CLIENTE Y PROCEDIMIENTOS ESTABLECIDOS CUMPLIENDO LA NORMATIVA VIGENTE.",ACTIVIDADES TIPO SERVICIOS,ACTIVIDADES INMOBILIARIAS,
74,CONSERVACIÓN Y MANEJO DE RECURSOS NATURALES,"REALIZAR ACTIVIDADES DE CONSERVACIÓN Y MANEJO DE LOS RECURSOS NATURALES, CON CRITERIO SUSTENTABLE Y SOSTENIBLE DE LA BIODIVERSIDAD Y SUS SERVICIOS ECOSISTÉMICOS EN EL TERRITORIO NACIONAL, APLICANDO TÉCNICAS, NORMAS, PROCEDIMIENTOS Y DEMÁS HERRAMIENTAS, PROMOVIENDO LA PARTICIPACIÓN DE ACTORES LOCALES.",ACTIVIDADES TIPO SERVICIOS,"AGRICULTURA, GANADERÍA, CAZA Y ACTIVIDADES DE SERVICIOS CONEXAS",
75,CONSERVERÍA,"REALIZAR OPERACIONES DE ELABORACIÓN, ENVASADO Y APLICACIÓN DE TRATAMIENTOS DE CONSERVACIÓN DE ALIMENTOS DE ACUERDO A LA NORMATIVA VIGENTE.",TRANSFORMACIÓN DE ALIMENTOS (INCLUYE AGROINDUSTRIA),ELABORACIÓN DE PRODUCTOS ALIMENTICIOS,
76,COORDINACIÓN EN MANEJO DE ENERGÍA ELÉCTRICA,"COORDINAR UN GRUPO DE TRABAJO EN ACTIVIDADES DE GENERACIÓN, TRANSMISIÓN, SUBTRANSMISIÓN, DISTRIBUCIÓN Y COMERCIALIZACIÓN, CONFORME PROTOCOLOS Y ORDENES DE TRABAJO ESTABLECIDAS.","ELECTRICIDAD, GAS Y AGUA","SUMINISTRO DE ELECTRICIDAD, GAS, VAPOR Y AIRE ACONDICIONADO",
77,EJECUCIÓN DE TÉCNICAS Y PROCEDIMIENTOS PARA LA ATENCIÓN EN EMERGENCIAS OBSTÉTRICAS,EJECUTAR ACTIVIDADES DE ATENCIÓN DE EMERGENCIAS OBSTÉTRICAS DE ACUERDO A LAS DISPOSICIONES DEL COORDINADOR DEL EQUIPO,ACTIVIDADES DE SALUD,ACTIVIDADES DE ATENCIÓN DE LA SALUD HUMANA,
78,GESTIÓN DE MANTENIMIENTO,"GESTIONAR EL MANTENIMIENTO PREVENTIVO, PREDICTIVO Y CORRECTIVO DE MAQUINARIA Y EQUIPOS DE ACUERDO A LOS PROCEDIMIENTOS DE LA EMPRESA.",ACTIVIDADES TIPO SERVICIOS,REPARACIÓN E INSTALACIÓN DE MAQUINARIA Y EQUIPO,
79,SERIGRAFÍA,"REALIZAR LA IMPRESIÓN O ESTAMPADO DE DISEÑOS EN SUSTRATOS BAJO NORMAS DE CALIDAD, SEGURIDAD Y SALUD EN EL TRABAJO Y MEDIO AMBIENTE.","PRODUCTOS TEXTILES, CUERO Y CALZADO",IMPRESIÓN Y REPRODUCCIÓN DE GRABACIONES,
80,APOYO EN PROCESOS DE FUNDICIÓN,"REALIZAR OPERACIONES BÁSICAS DE FABRICACIÓN, ASÍ COMO, ALIMENTAR Y ASISTIR A LOS PROCESOS DE MECANIZADO, MONTAJE Y FUNDICIÓN AUTOMATIZADOS, CON CRITERIOS DE CALIDAD, SEGURIDAD Y RESPETO AL MEDIO AMBIENTE.",METALMECÁNICA,FABRICACIÓN DE METALES COMUNES,
81,TRAMOYISTA,REALIZAR MONTAJES Y DESMONTAJES DE ELEMENTOS ESCÉNICOS DE UNA PRODUCCIÓN Y MANEJAR LA MAQUINARIA ESCÉNICA Y ESCENOGRAFÍA DURANTE ENSAYOS Y ESPECTÁCULOS,ACTIVIDADES TIPO SERVICIOS,"ACTIVIDADES CREATIVAS, ARTÍSTICAS Y DE ENTRETENIMIENTO",
82,VULCANIZACIÓN,"REALIZAR LA PLANIFICACIÓN, ORGANIZACIÓN Y EJECUCIÓN DEL SERVICIO DE MANTENIMIENTO Y REPARACIÓN DE LLANTAS NEUMÁTICOS) DE LOS AUTOMOTORES, APLICANDO NORMAS ESTABLECIDAS DE CALIDAD, ATENCIÓN AL CLIENTE, SEGURIDAD Y CUIDADO DEL MEDIO AMBIENTE.","VEHÍCULOS, AUTOMOTORES, CARROCERÍAS Y SUS PARTES",COMERCIO Y REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS,
83,OPERACIONES AUXILIARES DE MOLIENDA,"REALIZAR LOS PROCESOS AUXILIARES DE MOLIENDA EN LABORES MINERAS, DE ACUERDO A NORMAS Y PROCEDIMIENTOS ESTABLECIDOS.","MINAS, CANTERAS Y YACIMIENTOS",ACTIVIDADES DE SERVICIOS DE APOYO PARA LA EXPLOTACIÓN DE MINAS Y CANTERAS,
84,OPERACIONES AUXILIARES DE TRITURACIÓN DE MATERIAL DE MENA,"REALIZAR LOS PROCESOS AUXILIARES DE TRITURACIÒN  DE MATERIAL DE MENA,  DE ACUERDO A PROCEDIMIENTOS ESTABLECIDOS.","MINAS, CANTERAS Y YACIMIENTOS",ACTIVIDADES DE SERVICIOS DE APOYO PARA LA EXPLOTACIÓN DE MINAS Y CANTERAS,
85,OPERACIONES AUXILIARES DE VOLADURA A CIELO ABIERTO Y SUBTERRÁNEA,"EJECUTAR OPERACIONES AUXILIARES EN MINA DE CIELO ABIERTO Y SUBTERRÁNEA EN LAS ACTIVIDADES DE VOLADURA, APLICANDO LOS DIFERENTES SISTEMAS DE INICIACIÓN, DE ACUERDO A PROCEDIMIENTOS ESTABLECIDOS.","MINAS, CANTERAS Y YACIMIENTOS",ACTIVIDADES DE SERVICIOS DE APOYO PARA LA EXPLOTACIÓN DE MINAS Y CANTERAS,
86,OPERACIONES AUXILIARES EN PROCESOS DE PLANTA DE BENEFICIO,"EJECUTAR OPERACIONES AUXILIARES EN MINA DE CIELO ABIERTO Y SUBTERRÁNEA EN LAS ACTIVIDADES DE VOLADURA, APLICANDO LOS DIFERENTES SISTEMAS DE INICIACIÓN, DE ACUERDO A PROCEDIMIENTOS ESTABLECIDOS.","MINAS, CANTERAS Y YACIMIENTOS",ACTIVIDADES DE SERVICIOS DE APOYO PARA LA EXPLOTACIÓN DE MINAS Y CANTERAS,
87,OPERACIONES DE PERFORACIÓN MANUAL CON MARTILLO NEUMÁTICO A CIELO ABIERTO Y SUBTERRÁNEA,"EJECUTAR LABORES MINERAS MANUALES DE PERFORACIÓN CON MARTILLO NEUMÁTICO A CIELO ABIERTO Y SUBTERRÁNEA, DE ACUERDO A PROCEDIMIENTOS ESTABLECIDOS.","MINAS, CANTERAS Y YACIMIENTOS",ACTIVIDADES DE SERVICIOS DE APOYO PARA LA EXPLOTACIÓN DE MINAS Y CANTERAS,
88,ASISTENCIA DE PREPARACIONES GASTRONÓMICAS EN PANADERÍA Y PASTELERÍA,"ASISTIR EN ACTIVIDADES DE OPERACIÓN DE PANADERÍA Y PASTELERÍA DE ACUERDO CON LOS REQUERIMIENTOS ESTABLECIDOS, PROCEDIMIENTOS Y TÉCNICAS DE ELABORACIÓN EN PANADERÍA Y PASTELERÍA, NORMAS DE SEGURIDAD Y SALUD EN EL TRABAJO, MANIPULACIÓN DE ALIMENTOS Y BAJO LA SUPERVISIÓN DE JEFE INMEDIATO.",TRANSFORMACIÓN DE ALIMENTOS (INCLUYE AGROINDUSTRIA),ELABORACIÓN DE PRODUCTOS ALIMENTICIOS,
89,OPERACIÓN DE MAQUINARIA DE ENVASADO Y EMPAQUE DE PRODUCTOS FARMACÉUTICOS,"OPERAR LOS EQUIPOS Y/O MAQUINARIA PARA EL ENVASE Y EMPACADO DE LOS PRODUCTOS FARMACÉUTICOS DE ACUERDO A ORDEN DE PRODUCCIÓN, CUMPLIENDO LOS PROTOCOLOS ESTABLECIDOS DE BUENAS PRÁCTICAS DE MANUFACTURA, NORMAS DE SEGURIDAD Y MEDIO AMBIENTE.","PRODUCTOS INDUSTRIALES, FARMACÉUTICOS Y QUÍMICOS","FABRICACIÓN DE PRODUCTOS FARMACÉUTICOS, SUSTANCIAS QUÍMICAS MEDICINALES Y PRODUCTOS BOTÁNICOS DE USO FARMACÉUTICO",
90,ORGANIZACIÓN Y CONTROL DE LA FABRICACIÓN DE SUSTANCIAS Y PRODUCTOS QUÍMICOS,"REALIZAR LA ORGANIZACION Y CONTROL DE LAS OPERACIONES DE FABRICACION DE SUSTANCIAS Y PRODUCTOS QUIMICOS, PROCESOS DE GENERACION DE ENERGIA Y SERVICIOS AUXILIARES, ASEGURANDO EL CUMPLIMIENTO DE LOS PLANES DE PRODUCCION Y LAS CONDICIONES DE SEGURIDAD, CALIDAD Y AMBIENTE.","PRODUCTOS INDUSTRIALES, FARMACÉUTICOS Y QUÍMICOS",FABRICACIÓN DE SUBSTANCIAS Y PRODUCTOS QUÍMICOS,
91,INSTALACIÓN Y MANTENIMIENTO DE LOCACIONES PETROLERAS,"REALIZAR ACTIVIDADES DE SOPORTE Y MANTENIMIENTO DE LA INFRAESTRUCTURA DE LOCACIONES PETROLERAS, SIGUIENDO LAS DIRECTRICES DE LOS PROGRAMAS DEL TALLER DE MANTENIMIENTO POR NIVELES DE SUPERVISIÓN.","MINAS, CANTERAS Y YACIMIENTOS",EXPLOTACIÓN DE OTRAS MINAS Y CANTERAS,
92,ASISTENCIA DE BALCÓN DE SERVICIOS,"ASESORAR DE MANERA PERSONALIZADA A LOS CLIENTES EN LOS DIFERENTES REQUERIMIENTOS SOLICITADOS, PROPORCIONANDO INFORMACIÓN SOBRE LOS PRODUCTOS Y SERVICIOS FINANCIEROS OFRECIDOS POR LA INSTITUCIÓN DE ACUERDO A LOS PROCEDIMIENTOS ESTABLECIDOS.",SERVICIOS FINANCIEROS,"ACTIVIDADES DE SERVICIOS FINANCIEROS, EXCEPTO LAS DE SEGUROS Y FONDOS DE PENSIONES",
93,PREVENCIÓN DE RIESGOS LABORALES,EJECUTAR ACTIVIDADES LABORALES EN CONDICIONES DE TRABAJO SEGURO ACORDE A NORMATIVAS LEGALES Y TÉCNICAS VIGENTES.,ACTIVIDADES TIPO SERVICIOS,"OTRAS ACTIVIDADES PROFESIONALES, CIENTÍFICAS Y TÉCNICAS N.C.P.",
94,OPERACIÓN DE SISTEMAS DE RIEGO PARCELARIO,"OPERAR EL SISTEMA DE RIEGO PARCELARIO EN FUNCIÓN DEL TIPO DE INFRAESTRUCTURA, ACUERDOS SOCIALES ESTABLECIDOS Y PROCEDIMIENTOS TÉCNICOS.",AGRICULTURA Y PLANTACIONES,"AGRICULTURA, GANADERÍA, CAZA Y ACTIVIDADES DE SERVICIOS CONEXAS",
95,INSPECCIÓN DE AFILIACIÓN A LA SEGURIDAD SOCIAL,"VERIFICAR EL CUMPLIMIENTO DE OBLIGACIONES DE AFILIACIÓN A LA SEGURIDAD SOCIAL, DENTRO DEL MARCO TÉCNICO Y JURÍDICO, DE ACUERDO A LOS REQUERIMIENTOS INTERNOS Y EXTERNOS DEL PROCESO DE INSPECCIÓN DE LA ENTIDAD REGULADORA CUMPLIENDO LA NORMATIVA VIGENTE.",ACTIVIDADES TIPO SERVICIOS,ADMINISTRACIÓN PÚBLICA Y DEFENSA; PLANES DE SEGURIDAD SOCIAL DE AFILIACIÓN OBLIGATORIA,
96,METROLOGÍA INDUSTRIAL,"REALIZAR LA CALIBRACIÓN Y/O ENSAYO, CONTROL, MANTENIMIENTO DE LOS INSTRUMENTOS DE MEDICIÓN GARANTIZANDO LA CALIDAD DE ACUERDO A PROCEDIMIENTOS ESTABLECIDOS.",ACTIVIDADES TIPO SERVICIOS,"FABRICACIÓN DE PRODUCTOS DE INFORMÁTICA, ELECTRÓNICA Y ÓPTICA",
97,ASISTENCIA EN GESTIÓN DOCUMENTAL Y ARCHIVO,"ASISTIR EN LAS ACTIVIDADES DE GESTIÓN DOCUMENTAL Y ARCHIVO, DE ACUERDO A LOS PROCEDIMIENTOS ESTABLECIDOS Y NORMATIVA VIGENTE.",ACTIVIDADES TIPO SERVICIOS,"ACTIVIDADES DE BIBLIOTECAS, ARCHIVOS, MUSEOS Y OTRAS ACTIVIDADES CULTURALES",
98,PATRONAJE DE CALZADO,ELABORAR MOLDES PARA EL CORTE DEL CALZADO EN BASE A DISEÑOS DEFINIDOS MEDIANTE LA APLICACIÓN DE LAS TÉCNICAS DE PATRONALES Y PRODUCCIÓN.,"PRODUCTOS TEXTILES, CUERO Y CALZADO",FABRICACIÓN DE CUEROS Y PRODUCTOS CONEXOS,
99,"OPERACIONES DE SISTEMAS DE CAPTACIÓN, CONDUCCIÓN, TRATAMIENTO Y ALMACENAMIENTO DE AGUA POTABLE","PONER EN SERVICIO Y OPERACIÓN LOS SISTEMAS DE CAPTACIÓN, CONDUCCIÓN, POTABILIZACIÓN Y ALMACENAMIENTO DE AGUA POTABLE, ATENDIENDO A EXIGENCIAS DE CALIDAD, CONTROL, GESTIÓN, SEGURIDAD INDUSTRIAL Y SALUD OCUPACIONAL.","ELECTRICIDAD, GAS Y AGUA","CAPTACIÓN, TRATAMIENTO Y DISTRIBUCIÓN DE AGUA",
100,CUIDADO DE PERSONAS ADULTAS MAYORES,CUIDAR A LAS PERSONAS ADULTAS MAYORES ACORDE A SUS NECESIDADES INDIVIDUALES DETERMINADAS POR PROFESIONALES SOCIO SANITARIOS CUMPLIENDO LA NORMATIVA LEGAL VIGENTE,ACTIVIDADES TIPO SERVICIOS,ACTIVIDADES DE ASISTENCIA SOCIAL SIN ALOJAMIENTO,
101,ADMINISTRACIÓN DE SISTEMAS DE RIEGO PARCELARIO,"ADMINISTRAR LA OPERACIÓN, MANTENIMIENTO Y RECURSOS DEL SISTEMA DE RIEGO PARCELARIO, DE ACUERDO A LA NORMATIVA VIGENTE",AGRICULTURA Y PLANTACIONES,"AGRICULTURA, GANADERÍA, CAZA Y ACTIVIDADES DE SERVICIOS CONEXAS",
102,ASESORÍA DE PROYECTOS INTEGRALES DE RIEGO PARCELARIO,"ASESORAR EN PROYECTOS INTEGRALES DE SISTEMAS DE RIEGO PARCELARIO DE ACUERDO AL ENTORNO SOCIO-ORGANIZATIVO, DESARROLLO AGRO-PRODUCTIVO EN ZONAS BAJO RIEGO",AGRICULTURA Y PLANTACIONES,"AGRICULTURA, GANADERÍA, CAZA Y ACTIVIDADES DE SERVICIOS CONEXAS",
103,ASISTENCIA DE LABORATORIO MINERO METALÚRGICO,REALIZAR ACTIVIDADES DE APOYO DE LABORATORIO MINERO - METALÚRGICO DE ACUERDO A LA NORMATIVA LEGAL VIGENTE.,"MINAS, CANTERAS Y YACIMIENTOS",ACTIVIDADES DE SERVICIOS DE APOYO PARA LA EXPLOTACIÓN DE MINAS Y CANTERAS,
104,OPERACIONES GRAFOLÓGICAS,"REALIZAR INFORME GRAFOLÓGICO CON LA OBTENCIÓN DE LA MUESTRA GRÁFICA Y SU ANÁLISIS E INTERPRETACIÓN, INDEPENDIENTEMENTE DE LA CULTURA, IDIOMA, EDAD, NACIONALIDAD, ETC., DE ACUERDO A PARÁMETROS ESTABLECIDOS POR LOS ESPECIALISTAS EN EL ÁMBITO.",ACTIVIDADES TIPO SERVICIOS,ACTIVIDADES DE SEGURIDAD E INVESTIGACIÓN,
105,PERITAJE GRAFOLÓGICO,"REALIZAR EL PERITAJE DE LA MUESTRA GRAFOLÓGICA MEDIANTE LA ELABORACIÓN DEL INFORME GRAFOLÓGICO Y/O PERITAJE DE SU AUTOR, RESPETANDO LOS ESTÁNDARES INTERNACIONALES DE APLICACIÓN, TOMA E INTERPRETACIÓN DE LA MUESTRA GRAFOLÓGICA.",ACTIVIDADES TIPO SERVICIOS,ACTIVIDADES DE SEGURIDAD E INVESTIGACIÓN,
106,CORRECCIÓN DE TEXTO,"CORREGIR TEXTOS SEGÚN LAS NORMAS ACADÉMICAS VIGENTES, LOS MANUALES DE ESTILO Y LOS REQUERIMIENTOS DE QUIEN SOLICITA EL TRABAJO.",ACTIVIDADES TIPO SERVICIOS,ACTIVIDADES ADMINISTRATIVAS Y DE APOYO DE OFICINA Y OTRAS ACTIVIDADES DE APOYO A LAS EMPRESAS,
107,CREMACIÓN,REALIZARLADESINTEGRACIÓNDELCADÁVERMEDIANTEHORNOCREMATORIOCUMPLIENDO LAS NORMAS DE BIOSEGURIDAD ESTABLECIDAS.,ACTIVIDADES TIPO SERVICIOS,OTRAS ACTIVIDADES DE SERVICIOS PERSONALES,
108,GESTIÓN DE SERVICIOS EXEQUIALES,GESTIONAR LOS PROCESOS DE LOS SERVICIOS EXEQUIALES DE ACUERDO A REQUERIMIENTOS ESTABLECIDOS CUMPLIENDO LA NORMATIVA VIGENTE.,ACTIVIDADES TIPO SERVICIOS,OTRAS ACTIVIDADES DE SERVICIOS PERSONALES,
109,TANATOPRAXIA,"REALIZAR LA HIGIENIZACIÓN, CONSERVACIÓN, EMBALSAMAMIENTO, RESTAURACIÓN, RECONSTRUCCIÓN Y CUIDADO ESTÉTICO DEL CADÁVER DE ACUERDO A MÉTODOS Y TÉCNICAS ESTABLECIDAS CUMPLIENDO LA NORMATIVA DE MANEJO DE CADÁVERES VIGENTE.",ACTIVIDADES TIPO SERVICIOS,OTRAS ACTIVIDADES DE SERVICIOS PERSONALES,
110,CERTIFICACIÓN DE TRÁMITES ADMINISTRATIVOS EN EL SERVICIO PÚBLICO,CERTIFICAR LA AUTENTICIDAD DE LA DOCUMENTACIÓN FÍSICA Y DIGITAL PRESENTADA POR LOS USUARIOS DE ACUERDO A PROCEDIMIENTOS ESTABLECIDOS POR LA ADMINISTRACIÓN PÚBLICA Y CUMPLIENDO LA NORMATIVA VIGENTE.,ACTIVIDADES TIPO SERVICIOS,ADMINISTRACIÓN PÚBLICA Y DEFENSA; PLANES DE SEGURIDAD SOCIAL DE AFILIACIÓN OBLIGATORIA,
111,EJECUCIÓN DE TÉCNICAS DE MEDICINA OPERACIONAL TÁCTICA PARA PERSONAL MILITAR NO SANITARIO,"APOYAR EN LA ATENCIÓN INICIAL DE VICTIMAS DURANTE LA EJECUCIÓN DE OPERACIONES MILITARES (INTERNAS Y EXTERNAS) Y ASISTENCIA EN DESASTRES, DE ACUERDO A TÉCNICAS Y PROCEDIMIENTOS ESTABLECIDOS.",ACTIVIDADES TIPO SERVICIOS,ADMINISTRACIÓN PÚBLICA Y DEFENSA; PLANES DE SEGURIDAD SOCIAL DE AFILIACIÓN OBLIGATORIA,
112,INSTRUCCIÓN DEPORTIVA,"DIRIGIR EL PROCESO DE DESARROLLO DE CAPACIDADES TÉCNICO, TÁCTICO Y RENDIMIENTO DE PERSONAS O GRUPO EN FUCIÓN DE UNA DISCIPLINA DEPORTIVA, ACTIVIDAD FÍSICA O RECREATIVA.",ENSEÑANZA,ENSEÑANZA,
113,ASISTENCIA DE PREPARACIÓN GASTRONÓMICA EN COCINA,"ASISTR EN LA EJECUCIÓN DE LOS PROCEDIMIENTOS DE PRE-ELABORACIÓN, ELABORACIÓN Y MONTAJE DE ALIMENTOS CONFORME LA SUPERVISIÓN DEL JEFE INMEDIATO, MÉTODOS, TÉNICAS DE COCCIÓN, PROTOCOLOS ESTABLECIDOS Y NORMATIVA VIGENTE.",TRANSFORMACIÓN DE ALIMENTOS (INCLUYE AGROINDUSTRIA),ELABORACIÓN DE PRODUCTOS ALIMENTICIOS,
