perfil,competenecia_laboral,familia,sector,tipo,estado
procesamiento y conservación de productos de la pesca y acuicultura,"realizar las labores de conservacion y procesamiento de pescados y mariscos mediante los procesos de refrigeracion, congelacion, secado, salado, ahumado y pre-cocinado de acuerdo a las tecnicas establecidas y normativa vigente.",transformación de alimentos (incluye agroindustria),elaboración de productos alimenticios,oc,habilitado
pintura metalmecánica,"aplicar pintura y revestimientos en las superficies metálicas, conforme a los procesos y estándares de calidad, seguridad y salud en el trabajo y medio ambiente.",metalmecánica,actividades especializadas de la construcción,oc,habilitado
agente de seguridad para lugares turísticos - nte inen 2 466: 2008,"el agente de seguridad para lugares turísitcos se ocupa, principalmente, proteger al usuario, al patrimonio y atractivo turístico para prevenir accidentes, infracciones y delitos.",actividades tipo servicios,actividades de seguridad e investigación,oc,habilitado
soldadura en proceso gmaw (mig.mag) soldadura por arco protegido con gas,"realizar trabajos de unión de elementos como láminas y tubos de acero al carbono y acero inoxidable en estructuras metálicas ligeras, utilizando el proceso de soldadura por arco con tungsteno y gas (gmaw); cumpliendo con las expectativas de calidad del sector productivo y aplicando las medidas de seguridad, higiene y protección ambiental",metalmecánica,"fabricación de productos elaborados de metal, excepto maquinaria y equipo",oc,habilitado
soldadura,"unir elementos cumpliendo con las normas establecidas de soldadura, seguridad y salud en el trabajo, estándares de calidad y de medio ambiente.",metalmecánica,"fabricación de productos elaborados de metal, excepto maquinaria y equipo",oc,habilitado
seguridad penitenciaria,"custodiar la seguridad del sistema de rehabilitación social, en base a la normativa constitucional y legal vigente.",actividades comunitarias,administración pública y defensa; planes de seguridad social de afiliación obligatoria,oc,habilitado
operaciones de protección de parques y reservas,"realizar la conservación, restauración y protección de la diversidad biológica de las áreas protegidas implementando estrategias de manejo sustentable y sostenible de los recursos naturales de acuerdo a normativa legal vigente, lineamientos, políticas y procedimientos establecidos.",actividades comunitarias,actividades de alojamiento,oc,habilitado
operaciones especializadas en montaje y reparación de sistemas microinformáticos,"realizar operaciones auxiliares de montaje y mantenimiento de equipos microinformáticos y periféricos, bajo la supervisión de un responsable, aplicando criterios de calidad y actuando en condiciones de seguridad, respeto al medio ambiente, siguiendo instrucciones y procedimientos establecidos.",tecnología: hardware y software (incluye tic),actividades de programación y transmisión,oc,habilitado
sombreria en general,"producir sombreros, aplicando técnicas y procesos ancestrales e innovando, tomando en cuenta las normas de calidad, de seguridad y la salud ocupacional.",artesanías,fabricación de prendas de vestir,oc,habilitado
supervisión de sistemas de gestión de información,"implementar y administrar sistemas de gestión de información, de acuerdo a un diseño especificado, ubicados en plataformas y soportes informáticos heterogéneos que garanticen su registro, clasificación, distribución y trazabilidad.",tecnología: hardware y software (incluye tic),"programación informática, consultoría de informática y actividades conexas",oc,habilitado
análisis y desarrollo de sistemas informáticos,"desarrollar soluciones informáticas a medida aplicando los criterios técnicos para el diseño de software, considerando el avance tecnológico y las tendencias actuales.",tecnología: hardware y software (incluye tic),"programación informática, consultoría de informática y actividades conexas",oc,habilitado
gestión de sistemas informáticos,"configurar, administrar y mantener un sistema informático a nivel de hardware y software, garantizando la disponibilidad, óptimo rendimiento, funcionalidad e integridad de los servicios y recursos del sistema.",tecnología: hardware y software (incluye tic),"programación informática, consultoría de informática y actividades conexas",oc,habilitado
programación con lenguajes orientados a objetos y bases de datos relacionales,desarrollar aplicaciones informáticas sobre el diseño especificado utilizando lenguajes orientados a objetos y bases de datos relacionales.,tecnología: hardware y software (incluye tic),"programación informática, consultoría de informática y actividades conexas",oc,habilitado
técnicas en redes y telecomunicaciones,dar soluciones de soporte y mantención de redes e infraestructura de acuerdo a las necesidades de usuarios y la empresa.,tecnología: hardware y software (incluye tic),"programación informática, consultoría de informática y actividades conexas",oc,habilitado
administración de servicios de internet,"instalar, configurar, administrar y mantener servicios comunes de provisión e intercambio de información utilizando los recursos de comunicaciones que ofrece internet.",tecnología: hardware y software (incluye tic),actividades de servicios de información,oc,habilitado
servicios informáticos,"realizar el trámite y coordinación de las respuestas apropiadas y oportunas de incidentes, de acuerdo a los procedimientos establecidos por la empresa.",tecnología: hardware y software (incluye tic),actividades de servicios de información,oc,habilitado
gestión de caja,"ejecutar la gestión de caja tomando en consideración los procesos de: pre chequeo, registro, verificación y arqueo de caja; cumpliendo protocolos de información y atención al cliente, de acuerdo a los procedimientos establecidos por la organización.",servicios financieros,"actividades de servicios financieros, excepto las de seguros y fondos de pensiones",oc,habilitado
administración de empresas,"gestionar las distintas areas de la empresa en niveles de estrategia, operación y administración, estableciendo objetivos e indicadores de gestión en relación a las tendencias del mercado.",actividades tipo servicios,actividades administrativas y de apoyo de oficina y otras actividades de apoyo a las empresas,oc,habilitado
gestión previa en emisión de títulos habilitantes,realizar las gestiones previas a la emisión de títulos habilitantes de transporte terrestre y tránsito acorde a la normativa vigente.,"transporte, almacenamiento y logística",transporte por vía terrestre y por tuberías,oc,habilitado
gestión ambiental,"implementar el sistema de gestión ambiental (sga) de la organización, de acuerdo a la normativa ambiental vigente.",actividades tipo servicios,actividades de oficinas principales; actividades de consultoría de gestión,oc,habilitado
hilatura de telas no tejidas,"producir hilos y telas no tejidas, en los niveles de cantidad, calidad y condiciones de seguridad establecidos, previa preparación programación y puesta a punto de las máquinas y equipos.","productos textiles, cuero y calzado",fabricación de productos textiles,oc,habilitado
instalación de tableros industriales,"realizar operaciones de montaje, ensamblado, conexionado, mantenimiento y comprobación del funcionamiento de los equipos de maniobra, comando y protección eléctricos, de acuerdo a procedimientos técnicos establecidos y normas de seguridad personal e industrial.","electricidad, gas y agua","suministro de electricidad, gas, vapor y aire acondicionado",oc,habilitado
operaciones auxiliares en limpieza de unidades de salud,realizar la limpieza y manejo de desechos de las unidades de salud de acuerdo a la normativa legal vigente y procedimientos establecidos,actividades tipo servicios,actividades de descontaminación y otros servicios de gestión de desechos,oc,habilitado
luminotecnia,aplicar técnicas de iluminación en espectáculos y escenarios creando efectos cosiderando protocolos de seguridad,actividades comunitarias,"actividades creativas, artísticas y de entretenimiento",oc,habilitado
operación auxiliar de producción y facilidades,"realizar actividades de operación, control y mantenimiento a equipos auxiliares de producción; siguiendo los procedimientos establecidos en el programa de mantenimientos continuos con normas técnicas del fabricante.","minas, canteras y yacimientos",explotación de otras minas y canteras,oc,habilitado
"operación de exploración, explotación y producción","ejecutar actividades de apoyo en la prospección, desarrollo y producción de yacimientos de petróleo y gas natural; de acuerdo con los criterios establecidos en los programas sísmicos y de producción de campos petroleros, bajo normas técnicas de operación de equipos y sistemas en locaciones petroleras.","minas, canteras y yacimientos",explotación de otras minas y canteras,oc,habilitado
operación de planta de generación eléctrica,"ejecutar maniobras y monitoreo de parámetros operativos de los equipos presentes en instalaciones de generación eléctrica, con la finalidad de mantener la funcionalidad del sistema, calidad, continuidad y disponibilidad del servicio.","electricidad, gas y agua","suministro de electricidad, gas, vapor y aire acondicionado",oc,habilitado
operaciones de grabación y tratamiento de datos y documentos,"realizar operaciones de administración de datos requeridas en las tareas administrativas de acuerdo con instrucciones, normativa y procedimientos establecidos.",actividades tipo servicios,actividades administrativas y de apoyo de oficina y otras actividades de apoyo a las empresas,oc,habilitado
"levantamientos, representaciones gráficas y replanteos","realizar los trabajos referentes a levantamientos topográficos, representaciones gráficas mediante el empleo de equipos y programas topográficos; y replanteos, según los requerimientos del proyecto",actividades tipo servicios,construcción de edificios,oc,habilitado
operaciones de perforación en exploración minera,"realizar actividades de perforación con taladro en labores de exploración minera, de acuerdo a procedimientos establecidos","minas, canteras y yacimientos",actividades de servicios de apoyo para la explotación de minas y canteras,oc,habilitado
operaciones de planta de glp,"realizar actividades de recepción, almacenamiento, despacho de glp y operación de bombas y compresores glp, en estricto cumplimiento de lo establecido en los procedimientos, normas técnicas y de salud, seguridad y ambiente.","electricidad, gas y agua","suministro de electricidad, gas, vapor y aire acondicionado",oc,habilitado
operaciones de producción de alimentos,"establecer los productos alimenticios acorde a los procedimientos por la empresa, considerando las buenas prácticas de manufactura, normas ambientales, de seguridad y salud ocupacional.",transformación de alimentos (incluye agroindustria),elaboración de productos alimenticios,oc,habilitado
operaciones de producción mina subterránea,controlar procesos de producción y planta de chancado desde sala de control en procesos de extracción de minería subterránea de acuerdo a procedimientos establecidos y normas de seguridad.,"minas, canteras y yacimientos",actividades de servicios de apoyo para la explotación de minas y canteras,oc,habilitado
operaciones de recepción y almacenaje,"almacenar y despachar materias primas, insumos y productos terminados conforme a buenas prácticas de manufactura normas ambientales, de seguridad y salud ocupacional.",transformación de alimentos (incluye agroindustria),elaboración de productos alimenticios,oc,habilitado
operaciones de tronadura en mina,realizar operación de control y administración de polvorines y explosivo en el proceso de tronadura en mina de rajo abierto y mina subterránea de acuerdo a normativas vigentes de seguridad,"minas, canteras y yacimientos",explotación de otras minas y canteras,oc,habilitado
"operador en manejo, recuperación y reciclaje de gases refrigerantes",manejo de gases refrigerantes a traves de equipos y procedimientos especializados cumpliendo las normas de seguridad y salud ocupacional y medio ambiente.,actividades tipo servicios,reparación de computadores y de efectos personales y enseres domésticos,oc,habilitado
picapedrería,"fabricar esculturas y tallados en piedra, según pedido del cliente, manteniendo condiciones de seguridad personal, cuidando el ambiente y respetando autenticidad cultural.",artesanías,fabricación de otros productos minerales no metálicos,oc,habilitado
asistencia en seguridad industrial,"realizar actividades de apoyo a la gestión de seguridad industrial de la entidad, observando la normativa legal vigente.",actividades tipo servicios,"otras actividades profesionales, científicas y técnicas",oc,habilitado
auditoría interna del sistema de gestión integrada de calidad del sector turístico,"gestionar los sistemas de calidad, sostenibilidad, responsabilidad social y otros del sector turístico de acuerdo a la normativa vigente.",actividades tipo servicios,actividades de oficinas principales; actividades de consultoría de gestión,oc,habilitado
conducción de vehículos de servicio,"brindar servicios de transporte de manera segura, responsable y confortable de acuerdo a reglamentos internos y normativa vigente establecidos.","transporte, almacenamiento y logística",transporte por vía terrestre y por tuberías,oc,habilitado
diseño escenográfico,"realizar el diseño de escenografías para obras, espectáculos y eventos de acuerdo alproyecto creativo",actividades comunitarias,"actividades creativas, artísticas y de entretenimiento",oc,habilitado
operaciones de manufactura del chocolate,"elaborar productos de chocolate a base del cacao y sus derivados, de acuerdo a procedimientos establecidos y las normas de higiene y seguridad.",transformación de alimentos (incluye agroindustria),elaboración de productos alimenticios,oc,habilitado
gestión diplomática,"gestionar la política exterior, movilidad humana y cooperación internacional a fin de promover la inserción estratégica y soberana del ecuador en la comunidad internacional, la integración regional, la atención consular y migratoria, acorde a los convenios internacionales y la normativa del derecho nacional e internacional público.",actividades tipo servicios,administración pública y defensa; planes de seguridad social de afiliación obligatoria,oc,habilitado
operaciones auxiliares de enfermería,"realizar cuidado integral a los pacientes sometidos a procesos de prevención, tratamiento médico y rehabilitación de acuerdo a procedimientos establecidos.",actividades de salud,actividades de atención de la salud humana,oc,habilitado
operaciones auxiliares de farmacia,realizar actividades de apoyo a la gestión administrativa de farmacia y atención al cliente de acuerdo a procedimientos establecidos.,actividades de salud,actividades de atención de la salud humana,oc,habilitado
operaciones auxiliares de rehabilitación física,realizar actividades de apoyo en tratamientos de rehabilitación física de pacientes de acuerdo a procedimientos establecidos.,actividades de salud,actividades de atención de la salud humana,oc,habilitado
operaciones de amarre y desamarre de buques y monoboyas,"ejecutar las operaciones de amarre y desamarre de buques a puerto y monoboyas, así como de conexión y desconexión de mangueras en monoboyas, de acuerdo a procedimientos y normas de seguridad establecidas","transporte, almacenamiento y logística",almacenamiento y actividades de apoyo al transporte,oc,habilitado
prospección senior en mina,realizar muestreo de puntos de extracción en procesos de minería subterránea de acuerdo a procedimientos establecidos,"minas, canteras y yacimientos",actividades de servicios de apoyo para la explotación de minas y canteras,oc,habilitado
reparación y calibraje de instrumentos,"realizar la reparación y calibración de instrumentos, manteniendo el sistema de control y registro de equipos y maquinaria, de acuerdo a los procedimientos de la empresa y la normativa legal vigente.",transformación de alimentos (incluye agroindustria),elaboración de productos alimenticios,oc,habilitado
gestión de cobranza,"realizar la recuperación de la cartera de créditos, de acuerdo a procedimientos establecidos por la entidad financiera y normativa legal vigente.",servicios financieros,"actividades de servicios financieros, excepto las de seguros y fondos de pensiones",oc,habilitado
elaboración de sombrero de paja toquilla,confeccionar sombreros de paja toquilla de acuerdo con la técnica de cada región y el requerimiento del cliente.,artesanías,fabricación de prendas de vestir,oc,habilitado
supervisión de la producción de alimentos,elaborar los recursos articulando procesos de los productos alimenticios de acuerdo a los procedimientos establecidos por la empresa.,transformación de alimentos (incluye agroindustria),elaboración de productos alimenticios,oc,habilitado
operaciones de manufactura de frutos secos,"realizar la elaboracion de frutos secos tostados, en las condiciones establecidas en los manuales de procedimiento y calidad, de acuerdo a la normativa tecnico - sanitaria vigente.",transformación de alimentos (incluye agroindustria),elaboración de productos alimenticios,oc,habilitado
"supervisión de producción de hilaturas, tejedurías y pieles","producir hilaturas, tejedurías y pieles curtidas asegurando la calidad en los productos siguiendo normas establecidas en las guías de control.","productos textiles, cuero y calzado",fabricación de productos textiles,oc,habilitado
supervisión de turno de extracción subterránea,realizar supervisión de actividades operacionales en procesos de extracción de minería subterránea.,"minas, canteras y yacimientos",actividades de servicios de apoyo para la explotación de minas y canteras,oc,habilitado
supervisión y operación de plantel de refinería,"ejecutar actividades de supervisión, coordinación y control en los procesos de refinación de petróleo crudo de acuerdo con los lineamientos técnicos del programa de producción de productos derivados de hidrocarburos bajo normas técnicas de seguridad salud y ambiente","minas, canteras y yacimientos",fabricación de coque y de productos de la refinación del petróleo,oc,habilitado
tejeduría de calada,producir tejidos de calada de acuerdo a las condiciones de seguridad y procedimientos establecidos.,"productos textiles, cuero y calzado",fabricación de productos textiles,oc,habilitado
tejeduría de chalinas,"producir chalinas, tomando en cuenta métodos ancestrales de calidad y considerando normas de seguridad, salud ocupacional, ambiental y, respetando autenticidad cultural.",artesanías,fabricación de productos textiles,oc,habilitado
"verificación de calidad en la producción de hilaturas, tejedurías y pieles",controlar la calidad de manera exhaustiva en los productos terminados e intermedias operando maquinaria y equipo de control al igual que retroalimentando dicho control según los estándares de la empresa,"productos textiles, cuero y calzado",fabricación de productos textiles,oc,habilitado
gestión de cumplimiento de auditorías institucionales,"coordinar el monitoreo y auditoria de los procesos institucionales propendiendo a la identificación de anomalías, alteración o incumplimiento acorde a la naturaleza de la institución y normativa legal vigente.",actividades tipo servicios,administración pública y defensa; planes de seguridad social de afiliación obligatoria,oc,habilitado
operaciones en iluminación escénica,diseñar proyectos de iluminación y realizar montaje y desmontaje iluminotécnico para obras artisticas y espectáculos de acuerdo a procesos establecidos cumpliendo normas de seguridad y salud en el trabajo.,actividades tipo servicios,"actividades creativas, artísticas y de entretenimiento",oc,habilitado
actividades generales del servicio público,"brindar servicio a la ciudadanía, precautelando el uso de los recursos asignados y gestionando la información pública en concordancia con la normativa legal vigente",actividades tipo servicios,administración pública y defensa; planes de seguridad social de afiliación obligatoria,oc,habilitado
animación,"animar actividades para todo tipo de usuarios, adaptándolos a las características y expectativas del medio y de los participantes de acuerdo a los requerimientos establecidos.",actividades comunitarias,"actividades de producción de películas cinematográficas, vídeos y programas de televisión, grabación de sonido y edición de música",oc,habilitado
gestión de planificación estratégica de talento humano,coordinar el desarrollo de la planificación del talento humano proyectando el personal requerido por la institución.,actividades tipo servicios,administración pública y defensa; planes de seguridad social de afiliación obligatoria,oc,habilitado
asistencia de crédito,tramitar solicitudes de crédito de acuerdo a procedimientos establecidos por la entidad y a la normativa vigente.,servicios financieros,"actividades de servicios financieros, excepto las de seguros y fondos de pensiones",oc,habilitado
asistencia de riesgos,"realizar la identificación, medición, control, y monitoreo de los eventos de riesgos de acuerdo a procedimientos establecidos.",servicios financieros,actividades auxiliares de las actividades de servicios financieros,oc,habilitado
asistencia en curaduría,"desarrollar conceptos para guiones de procesos: expositivos, musicales, cinematográficos, literarios, escénicos y otras prácticas del ámbito cultural de acuerdo a los requerimientos y/o procedimientos establecidos.",actividades comunitarias,"actividades deportivas, de esparcimiento y recreativas",oc,habilitado
cerrajería,"elaborar estructuras metálicas y acabados mediante perfiles de acero de acuerdo a dimensiones, formas, modelos y herramientas establecidas (remaches, tornillos, tipos de suelda) cumpliendo la normativa vigente.",actividades tipo servicios,fabricación de metales comunes,oc,habilitado
custodia de reservas,"gestionar los bienes culturales, patrimoniales públicos y privados de acuerdo a la normativa vigente.",actividades comunitarias,"actividades de bibliotecas, archivos, museos y otras actividades culturales",oc,habilitado
"dibujo, pintura e ilustración artística","elaborar proyectos u obras de dibujo, pintura o ilustración artística aplicando diversas técnicas, procedimientos, herramientas y principios de representación de acuerdo a los requerimientos establecidos.",actividades comunitarias,"actividades creativas, artísticas y de entretenimiento",oc,habilitado
diseño de tipografía y/o caligrafía,desarrollar tipografías y/o caligrafías aplicando técnicas de diseño funcional y estético de acuerdo a los requerimientos establecidos,actividades comunitarias,impresión y reproducción de grabaciones,oc,habilitado
mantenimiento y reparación de instrumentos musicales,realizar actividades de mantenimiento y reparación de instrumentos musicales en relación a la funcionalidad del instrumento y la ergonomía del instrumentista,actividades tipo servicios,"actividades creativas, artísticas y de entretenimiento",oc,habilitado
mediación de lectura,"facilitar el acceso a la lectura -de contenidos literarios y no literarios- concebida como una práctica social que nos permite la construcción de sentidos, de una manera libre, reflexiva, placentera y sensible enmarcada en un enfoque de derechos para el ejercicio de la ciudadanía de acuerdo a la normativa legal vigente.",actividades de enseñanza,enseñanza,oc,habilitado
operaciones auxiliares de biblioteca,"realizar labores de apoyo en servicios de atención al usuario, gestión tecnológica, administrativa y de información en bibliotecas, centros de información y/o documentación, de acuerdo a procedimientos establecidos.",actividades tipo servicios,"actividades de bibliotecas, archivos, museos y otras actividades culturales",oc,habilitado
operaciones auxiliares de albañilería,"realizar actividades auxiliares de albañilería en obras de construcción, de acuerdo a las instrucciones técnicas recibidas por el jefe, la normativa de seguridad y salud en el trabajo; y medio ambiente.",construcción,construcción de edificios,oc,habilitado
operaciones portuarias de embarque y desembarque de mercaderías,"realizar la implementación y control de las actividades portuarias de instalaciones y embarque y desembarque de naves portuarias, de acuerdo a la planificación, procedimientos establecidos, dando cumplimiento a las normas de seguridad portuaria.","transporte, almacenamiento y logística",almacenamiento y actividades de apoyo al transporte,oc,habilitado
reparación de joyería,"reparar piezas de joyería sin involucrar cambios en la estructura o el diseño en base a los requerimientos del cliente, aplicando normas de seguridad y salud ocupacional",artesanías,otras industrias manufactureras,oc,habilitado
gestión de mesa de ayuda en tics,brindar soporte técnico en la solución de incidentes en el funcionamiento y/o utilización de los recursos informáticos de acuerdo a procedimientos establecidos.,tecnología: hardware y software (incluye tic),actividades de servicios de información,oc,habilitado
tapicería automotriz,fabricar y restaurar tapizado automotriz de acuerdo a técnicas y procedimientos establecidos.,"vehículos, automotores, carrocerías y sus partes",comercio y reparación de vehículos automotores y motocicletas,oc,habilitado
encuadernación artística y artesanal,"realizar el diseño y desarrollo de la encuadernación del libro con elementos de protección y contenedores, mediante técnicas de encuadernación de acuerdo al proyecto establecido.",actividades comunitarias,impresión y reproducción de grabaciones,oc,habilitado
"actividades auxiliares de mantenimiento de máquinas, equipos e instalaciones del buque","realizar operaciones auxiliares de mantenimiento y reparación de la planta propulsora, máquinas y equipos auxiliares del buque, elementos y equipos a flote y en seco, siguiendo los procedimientos establecidos y cumpliendo las normas de seguridad portuarias.","transporte, almacenamiento y logística",reparación e instalación de maquinaria y equipo,oc,habilitado
impresión de grabado,reproducir manualmente originales múltiples en una edición limitada de acuerdo a técnicas de estampación y procedimientos establecidos,actividades comunitarias,"actividades creativas, artísticas y de entretenimiento",oc,habilitado
operaciones especializadas en aseguramiento de riesgos,"realizar funciones de aseguramiento de riesgos, mediante la contratación de una póliza, de acuerdo a procedimientos establecidos.",servicios financieros,"seguros, reaseguros y fondos de pensiones, excepto los planes de seguridad social de afiliación obligatoria",oc,habilitado
acabado en cuero,"realizar el acabado en cuero, manteniendo normas de seguridad, salud ocupacional y ambiental.","productos textiles, cuero y calzado",fabricación de cueros y productos conexos,oc,habilitado
actividades de apoyo para la industria manufacturera,"manufacturar productos de acuerdo a las instrucciones recibidas cumpliendo las buenas prácticas de manufactura, normas ambientales y normas de seguridad y salud en el trabajo.",transformación de alimentos (incluye agroindustria),elaboración de productos alimenticios,oc,habilitado
análisis de control de calidad en la transformación de alimentos,"inspeccionar, analizar y verificar la calidad de los alimentos desde el punto inicial (materia prima e insumos), pasando por la transformación de alimentos hasta la obtención de productos terminados, desarrollando actividades de control y muestreo.",transformación de alimentos (incluye agroindustria),elaboración de productos alimenticios,oc,habilitado
aparador de calzado,realizar el ensamble o unión de las piezas de corte siguiendo especificaciones del diseño del producto o modelo de acuerdo a normas de seguridad industrial.,"productos textiles, cuero y calzado",fabricación de cueros y productos conexos,oc,habilitado
artesanías en totora,elaborar artesanias en totora para la satisfacción del cliente.,artesanías,otras industrias manufactureras,oc,habilitado
asistencia de operaciones financieras,"ejecutar operaciones administrativas y de soporte en la oferta de servicios y/o productos financieros, de acuerdo a los requerimientos de clientes internos y procedimientos establecidos.",servicios financieros,"actividades de servicios financieros, excepto las de seguros y fondos de pensiones",oc,habilitado
asistencia de perforación,operar equipos de perforación jumbo en procesos de extracción minera de acuerdo a procedimientos de la empresa.,"minas, canteras y yacimientos",actividades de servicios de apoyo para la explotación de minas y canteras,oc,habilitado
asistencia de producción en laboratorio acuícola,coordinar las actividades previas al proceso operativo de producción de larvas de acuerdo a los procedimientos establecidos.,"pesca, acuacultura y maricultura",pesca y acuicultura,oc,habilitado
asistencia en construcción en mina,realizar actividades de construcción y reparación de infraestructura en procesos de extracción subterránea en mediana minería.,"minas, canteras y yacimientos",explotación de otras minas y canteras,oc,habilitado
asistencia en laboratorio acuícola,coordinar las actividades previas al proceso operativo de producción de algas de acuerdo a normas técnicas de procedimientos establecidos.,"pesca, acuacultura y maricultura",pesca y acuicultura,oc,habilitado
asistencia en preparación y exploración de mina,"ejecutar los procesos asociados a la preparación de mina subterránea, de acuerdo al plan productivo, estándares de la organización y normativa.legal vigente.","minas, canteras y yacimientos",explotación de otras minas y canteras,oc,habilitado
blanqueo y tintura de materias textiles,"realizar el blanqueo y/o tintura de materias textiles, aplicando técnicas y procedimientos, de acuerdo a la normativa vigente.","productos textiles, cuero y calzado",fabricación de cueros y productos conexos,oc,habilitado
bordados artesanales,"elaborar bordados artesanales desarrollando técnicas ancestrales, manteniendo normas de seguridad, salud ocupacional y ambiental.",artesanías,otras industrias manufactureras,oc,habilitado
elaboración de artículos de pelo de caballo,"elaborar artículos utilizando como materia prima el crin (pelo de caballo) y técnicas ancestrales, enmarcado en normas de seguridad, salud ocupacional y la protección del medio ambiente.",artesanías,otras industrias manufactureras,oc,habilitado
confección en cuero,producir artículos de cuero (calzado y artículos de marroquinería) tomando en consideración los requerimientos establecidos cumpliendo normas de seguridad y salud ocupacional.,artesanías,fabricación de cueros y productos conexos,oc,habilitado
coordinación y mantenimiento de unidades de refinación,"realizar labores de soporte y mantenimiento de sistemas, equipos e instrumentos en unidades de refinación de petróleo crudo con las directrices del programa de mantenimiento y operación de locaciones fijadas por la refinería","minas, canteras y yacimientos",explotación de otras minas y canteras,oc,habilitado
cortador de calzado - estampado de materias textiles,"estampar las materias textiles , aplicando técnicas y procedimientos establecidos.","productos textiles, cuero y calzado",fabricación de productos textiles,oc,habilitado
cosmetología,prestar servicios cosmetológicos faciales y corporales manteniendo las características y el equilibrio del ph de la piel sin intervenir en el campo médico.,actividades comunitarias,actividades de atención de la salud humana,oc,habilitado
"ejecución de procesos técnicos de confección de artículos a partir de hilaturas, tejedurías y pieles","confeccionar artículos elaborados a partir de hilaturas, tejedurías y pieles mediante la aplicación de conocimientos, el uso de maquinaria, utensilios y equipo aplicando normas de calidad y seguridad ocupacional","productos textiles, cuero y calzado",fabricación de productos textiles,oc,habilitado
elaboración de nogadas,"elaborar nogadas, de acuerdo a normas de seguridad, salud ocupacional y ambiental.",artesanías,elaboración de productos alimenticios,oc,habilitado
elaboración de vitrales artísticos,"producir vitrales a satisfacción del cliente, manteniendo normas de seguridad, salud ocupacional y ambiental.",artesanías,fabricación de otros productos minerales no metálicos,oc,habilitado
escultura y tallado de madera,"elaborar esculturas de madera desarrollando técnicas ancestrales y/o industriales, cumpliendo normas de seguridad, salud ocupacional y ambiental.",artesanías,"producción de madera y fabricación de productos de madera y corcho, excepto muebles; fabricación de artículos de paja y de materiales trenzables",oc,habilitado
fabricación de fuegos de artificio o pirotécnicos,"producir fuegos o artificios pirotécnicos observando normas de seguridad, salud ocupacional y ambiental.",artesanías,"actividades deportivas, de esparcimiento y recreativas",oc,habilitado
ganadería,"ejecutar actividades de ganadería bovina en producción de leche, cuidado de animales, manejo de crías lactantes, control del período de preñez considerando lineamientos sanitarios establecidos.",producción pecuaria,"agricultura, ganadería, caza y actividades de servicios conexas",oc,habilitado
actividades de apoyo y control en la transformación de alimentos,actividades de apoyo y control en transformación de alimentos,transformación de alimentos (incluye agroindustria),elaboración de productos alimenticios,oc,habilitado
artesanías en materiales de origen vegetal y animal,elaborar productos artesanales en fibra animal o vegetal aplicando diseños en función de los requerimientos del cliente.,artesanías,otras industrias manufactureras,oc,habilitado
elaboración de objetos artísticos de diseño y artesanales de papel,"realizar objetos artísticos, de diseño y artesanales en papel de acuerdo a técnicas establecidas cumpliendo la normativa de seguridad y salud ocupacional vigentes.",actividades comunitarias,"actividades creativas, artísticas y de entretenimiento",oc,habilitado
especialista en gestión de calidad,realizar procesos de control y mejora continua del sistema de gestión de calidad de acuerdo al giro del negocio de la organización y normativa aplicable.,actividades tipo servicios,actividades de oficinas principales; actividades de consultoría de gestión,oc,habilitado
gestión administrativa del sistema de salud desconcentrado,"gestionar la funcionalidad del modelo de atención integral de salud, mediante la coordinación, supervisión y control de los procesos agregadores de valor y habilitantes de apoyo y asesoría, en su jurisdicción.",actividades de salud,administración pública y defensa; planes de seguridad social de afiliación obligatoria,oc,habilitado
industrialización de productos alimenticios,"transformar la materia prima agropecuaria en productos y sub-productos elaborados para el consumo alimenticio, considerando las normas técnicas vigentes, aplicando tecnologías amigables con el ambiente y sistemas de gestión de inocuidad.",transformación de alimentos (incluye agroindustria),elaboración de productos alimenticios,oc,habilitado
metrología científica,generar patrones o materiales de referencia de acuerdo al sistema internacional de unidades s.i.,actividades tipo servicios,"fabricación de productos de informática, electrónica y óptica",oc,habilitado
montaje y mantenimiento de instalaciones solares fotovoltáicas,efectuar la instalación y mantenimiento de instalaciones solares fotovoltaicas según el proyecto cumpliendo la normativa vigente técnica y se seguridad videntes.,"electricidad, gas y agua",reparación e instalación de maquinaria y equipo,oc,habilitado
operaciones básicas para el montaje y mantenimiento de instalaciones solares térmicas,"realizar operaciones básicas en el montaje y mantenimiento de instalaciones de energías renovables, fundamentalmente solares térmicas, de pequeña potencia, siguiendo los procedimientos establecidos y normativa vigente.","electricidad, gas y agua",reparación e instalación de maquinaria y equipo,oc,habilitado
operaciones de carga frontal,"operar maquinaria de carga frontal para faenas de acopio, traslado y estiba de carga a granel de acuerdo a procedimientos establecidos cumpliendo la normativa legal vigente.","transporte, almacenamiento y logística",transporte por vía terrestre y por tuberías,oc,habilitado
obtención de aceites de semillas y grasas,"realizar operaciones de obtención de aceites de semillas y de grasas comestibles, preparando la maquinaria y equipos, realizando y controlando las fases de recepción, limpieza, secado, almacenamiento de materia prima, así como las actividades de tratamiento, elaboración, extracción y envasado de aceites de semillas y grasas de acuerdo a la normativa de calidad y seguridad alimentaria.",transformación de alimentos (incluye agroindustria),elaboración de productos alimenticios,oc,habilitado
