,Perfil,Competenecia Laboral,Familia,Sector,Descargar Perfil,Descargar Esquema
55,ORGANIZACIÓN Y GESTIÓN DE LA SECRETARIA,ADMINISTRAR LA INFORMACIÓN FÍSICA Y DIGITAL DE OFICINA DE ACUERDO A PROCEDIMIENTOS ESTABLECIDOS.,ACTIVIDADES TIPO SERVICIOS,ACTIVIDADES ADMINISTRATIVAS Y DE APOYO DE OFICINA Y OTRAS ACTIVIDADES DE APOYO A LAS EMPRESAS,,
56,PRÁCTICA TERAPÉUTICA DE SHIATSU,REALIZAR PRÁCTICA TERAPÉUTICA ALTERNATIVA DE SHIATSU DE ACUERDO A REQUERIMIENTOS DEL USUARIO SIGUIENDO PROCEDIMIENTOS ESTABLECIDOS.,ACTIVIDADES DE SALUD,ACTIVIDADES DE ATENCIÓN DE LA SALUD HUMANA,,
57,CULTIVO DE PRODUCTOS DE CICLO CORTO,"CULTIVAR PRODUCTOS DE CICLO CORTO EN FUNCIÓN DE LAS CARACTERÍSTICAS PROPIAS DE LA ESPECIE Y FACTORES GEOGRÁFICOS, CLIMÁTICOS Y DE SUELO",AGRICULTURA Y PLANTACIONES,"AGRICULTURA, GANADERÍA, CAZA Y ACTIVIDADES DE SERVICIOS CONEXAS",,
58,SOLDADURA EN PROCESO SMAW (SOLDADURA POR ARCO CON ELECTRODO METÁLICO REVESTIDO),"REALIZAR TRABAJOS DE UNIÓN DE ELEMENTOS EN ESTRUCTURAS METÁLICAS LIGERAS UTILIZANDO EL PROCESO DE SOLDADURA POR ARCO CON ELECTRODO METÁLICO REVESTIDO (SMAW); CUMPLIENDO CON LAS EXPECTATIVAS DE CALIDAD DEL SECTOR PRODUCTIVO Y APLICANDO LAS MEDIDAS DE SEGURIDAD, HIGIENE Y PROTECCIÓN AMBIENTAL.",METALMECÁNICA,"FABRICACIÓN DE PRODUCTOS ELABORADOS DE METAL, EXCEPTO MAQUINARIA Y EQUIPO",,
59,"GESTIÓN DE PROMOCIÓN DE MARCAS, PRODUCTOS Y SERVICIOS","GESTIONAR ACTIVIDADES DE PARTICIPACIÓN, POSICIONAMIENTO, PROMOCIÓN Y/O ACTIVACIÓN DE MARCAS, PRODUCTOS O SERVICIOS, ACORDE A LOS OBJETIVOS ORGANIZACIONALES ESTABLECIDOS.",COMERCIALIZACIÓN Y VENTA DE PRODUCTOS,PUBLICIDAD Y ESTUDIOS DE MERCADO,,
60,CORRECCIÓN DE TEXTO,"CORREGIR TEXTOS SEGÚN LAS NORMAS ACADÉMICAS VIGENTES, LOS MANUALES DE ESTILO Y LOS REQUERIMIENTOS DE QUIEN SOLICITA EL TRABAJO.",ACTIVIDADES TIPO SERVICIOS,ACTIVIDADES ADMINISTRATIVAS Y DE APOYO DE OFICINA Y OTRAS ACTIVIDADES DE APOYO A LAS EMPRESAS,,
61,CONSERVERÍA,"REALIZAR OPERACIONES DE ELABORACIÓN, ENVASADO Y APLICACIÓN DE TRATAMIENTOS DE CONSERVACIÓN DE ALIMENTOS DE ACUERDO A LA NORMATIVA VIGENTE.",TRANSFORMACIÓN DE ALIMENTOS (INCLUYE AGROINDUSTRIA),ELABORACIÓN DE PRODUCTOS ALIMENTICIOS,,
62,ADMINISTRACIÓN DE SISTEMAS OPERATIVOS,ADMINISTRAR PROCESOS Y PROGRAMAS DE SISTEMAS OPERATIVOS DE ACUERDO A LOS REQUERIMIENTOS Y NECESIDADES DE UNA ORGANIZACIÓN,TECNOLOGÍA: HARDWARE Y SOFTWARE (INCLUYE TIC),"PROGRAMACIÓN INFORMÁTICA, CONSULTORÍA DE INFORMÁTICA Y ACTIVIDADES CONEXAS",,
63,MANTENIMIENTO DE VIVIENDAS Y EDIFICIOS,"REALIZAR EL MANTENIMIENTO DE VIVIENDAS Y EDIFICIOS, EFECTUANDO REPARACIONES BASICAS CON TRABAJOS DE ALBAÑILERIA, GASFITERIA, CARPINTERIA Y ELECTRICIDAD APLICANDO ESPECIFICACIONES TECNICAS Y NORMAS DE SEGURIDAD, SALUD OCUPACIONAL E HIGIENE Y AMBIENTALES VIGENTES.",ACTIVIDADES TIPO SERVICIOS,ACTIVIDADES DE SERVICIOS A EDIFICIOS Y PAISAJISMO,,
64,ACTIVIDADES DE INSPECCIÓN Y CUARENTENA EN PUERTOS Y AEROPUERTOS DE LA PROVINCIA DE GALÁPAGOS,"EJECUTAR ACTIVIDADES DE INSPECCIÓN Y CUARENTENA EN PUERTOS Y AEROPUERTOS DE LA PROVINCIA DE GALÁPAGOS, CONFORME NORMATIVA LEGAL VIGENTE.",ACTIVIDADES TIPO SERVICIOS,ALMACENAMIENTO Y ACTIVIDADES DE APOYO AL TRANSPORTE,,
65,MANEJO DE LA ATENCIÓN DE EMERGENCIAS OBSTÉTRICAS,COORDINAR LA ATENCIÓN DE EMERGENCIAS OBSTÉTRICAS DE ACUERDO A LOS PROTOCOLOS ESTABLECIDOS.,ACTIVIDADES DE SALUD,ACTIVIDADES DE ATENCIÓN DE LA SALUD HUMANA,,
66,INTERPRETACIÓN MUSICAL: INSTRUMENTAL Y VOCAL,"REALIZAR LA INTERPRETACIÓN MUSICAL MEDIANTE EL CANTO O LA EJECUCIÓN DEL INSTRUMENTO MUSICAL APLICANDO TÉCNICAS PROPIAS DE CADA GÉNERO, ESTILO Y ÉPOCA MUSICAL.",ACTIVIDADES COMUNITARIAS,"ACTIVIDADES CREATIVAS, ARTÍSTICAS Y DE ENTRETENIMIENTO",,
67,MANEJO DE TÉCNICAS DE MEDICINA OPERACIONAL TÁCTICA PARA PERSONAL MILITAR SANITARIO,"EFECTUAR LA ATENCIÓN INICIAL DE VICTIMAS DURANTE LA EJECUCIÓN DE OPERACIONES MILITARES (INTERNAS Y EXTERNAS) Y ASISTENCIA EN DESASTRES, DE ACUERDO A NORMAS, TÉCNICAS Y PROCEDIMIENTOS ESTABLECIDOS.",ACTIVIDADES TIPO SERVICIOS,ADMINISTRACIÓN PÚBLICA Y DEFENSA; PLANES DE SEGURIDAD SOCIAL DE AFILIACIÓN OBLIGATORIA,,
68,CONTROL DE CALIDAD DE MATERIA PRIMA PARA PRODUCCIÓN DE ALIMENTOS,"VERIFICAR LA CALIDAD DE LA MATERIA PRIMA PARA PRODUCCIÓN DE ALIMENTOS DE ACUERDO A PROCEDIMIENTOS ESTABLECIDOS, CUMPLIENDO LA NORMATIVA VIGENTE.",TRANSFORMACIÓN DE ALIMENTOS (INCLUYE AGROINDUSTRIA),ELABORACIÓN DE PRODUCTOS ALIMENTICIOS,,
69,SUPERVISIÓN DE LIMPIEZA Y ARREGLO DE HABITACIÓN (AMA DE LLAVES),"REALIZAR LA COORDINACION Y SUPERVISION DE LOS SERVICIOS DE ASEO, LIMPIEZA Y ORDEN DE HABITACIONES, AREAS PUBLICAS Y AREAS DE SERVICIO DEL ESTABLECIMIENTO, CUMPLIENDO LA NORMATIVA LEGAL VIGENTE.",ACTIVIDADES TIPO SERVICIOS,ACTIVIDADES DE ALOJAMIENTO,,
70,INSTRUCCIÓN EN ACTIVIDADES DE CAPACITACIÓN,"FACILITAR EL APRENDIZAJE DEL INDIVIDUO QUE PARTICIPA DE LA ACCIÓN FORMATIVA, DE ACUERDO AL DISEÑO ESTABLECIDO Y OBJETIVOS DE APRENDIZAJE ESPERADOS.",ACTIVIDADES TIPO SERVICIOS,ENSEÑANZA,,
71,OPERACIONES DE SEÑALÉTICA VIAL,SEÑALIZAR LA RED VIAL ESTATAL Y DEMÁS CIRCUNSCRIPCIONES BAJO LA NORMATIVA VIGENTE.,ACTIVIDADES TIPO SERVICIOS,FABRICACIÓN DE OTROS TIPOS DE EQUIPOS DE TRANSPORTE,,
72,METROLOGÍA LEGAL,"REALIZAR EL CONTROL METROLÓGICO A LOS EQUIPOS, INSTRUMENTOS DE MEDICIÓN Y PRODUCTOS PRE ENVASADOS/PRE EMPACADOS DE ACUERDO A LAS REGULACIONES VIGENTES.",ACTIVIDADES TIPO SERVICIOS,"FABRICACIÓN DE PRODUCTOS DE INFORMÁTICA, ELECTRÓNICA Y ÓPTICA",,
73,ACTIVIDADES DE APOYO Y CONTROL EN LA TRANSFORMACIÓN DE ALIMENTOS,ACTIVIDADES DE APOYO Y CONTROL EN TRANSFORMACIÓN DE ALIMENTOS,TRANSFORMACIÓN DE ALIMENTOS (INCLUYE AGROINDUSTRIA),ELABORACIÓN DE PRODUCTOS ALIMENTICIOS,,
74,GESTIÓN AMBIENTAL,"IMPLEMENTAR EL SISTEMA DE GESTIÓN AMBIENTAL (SGA) DE LA ORGANIZACIÓN, DE ACUERDO A LA NORMATIVA AMBIENTAL VIGENTE.",ACTIVIDADES TIPO SERVICIOS,ACTIVIDADES DE OFICINAS PRINCIPALES; ACTIVIDADES DE CONSULTORÍA DE GESTIÓN,,
75,ACTIVIDADES AUXILIARES DE LINIERO,"REALIZAR ACTIVIDADES DE APOYO EN LAS LABORES DE CONSTRUCCIÓN, OPERACIÓN, MANTENIMIENTO DE REDES DE LOS SISTEMAS DE DISTRIBUCIÓN ELÉCTRICA Y ALUMBRADO PÚBLICO, DE ACUERDO A PROCEDIMIENTOS ESTABLECIDOS Y NORMATIVA LEGAL VIGENTE.","ELECTRICIDAD, GAS Y AGUA","SUMINISTRO DE ELECTRICIDAD, GAS, VAPOR Y AIRE ACONDICIONADO",,
76,OPERACIONES DE CONTROL DE TRANSPORTACIÓN PÚBLICA Y COMERCIAL,"CONTROLAR LA TRANSPORTACIÓN PÚBLICA,  COMERCIAL Y POR CUENTA PROPIA EN TODAS SUS MODALIDADES DE ACUERDO A LA NORMATIVA VIGENTE.",ACTIVIDADES TIPO SERVICIOS,ADMINISTRACIÓN PÚBLICA Y DEFENSA; PLANES DE SEGURIDAD SOCIAL DE AFILIACIÓN OBLIGATORIA,,
77,OPERACIONES ARCHIVÍSTICAS/ ADMINISTRACIÓN DE ARCHIVOS,ADMINISTRAR LA INFORMACIÓN MANUAL O AUTOMATIZADA DE LA GESTIÓN DOCUMENTAL Y ARCHIVO DE ACUERDO A NORMATIVA VIGENTE.,ACTIVIDADES TIPO SERVICIOS,"ACTIVIDADES DE BIBLIOTECAS, ARCHIVOS, MUSEOS Y OTRAS ACTIVIDADES CULTURALES",,
78,GESTIÓN ADMINISTRATIVA,"REALIZAR LAS OPERACIONES DE LA GESTIÓN ADMINISTRATIVA DE COMPRAVENTA DE PRODUCTOS Y SERVICIOS, TESORERÍA Y PERSONAL, ASÍ COMO LA INTRODUCCIÓN DE REGISTROS CONTABLES PREDEFINIDOS, PREVIA OBTENCIÓN Y PROCESAMIENTO Y ARCHIVO DE LA INFORMACIÓN NECESARIA MEDIANTE LOS SOPORTES CONVENCIONALES O INFORMÁTICOS ADECUADOS, SIGUIENDO INSTRUCCIONES DEFINIDAS, EN CONDICIONES DE SEGURIDAD, RESPETO A LA NORMATIVA VIGENTE Y ATENDIENDO A CRITERIOS DE CALIDAD DEFINIDOS POR LA ORGANIZACIÓN.",ACTIVIDADES TIPO SERVICIOS,ACTIVIDADES ADMINISTRATIVAS Y DE APOYO DE OFICINA Y OTRAS ACTIVIDADES DE APOYO A LAS EMPRESAS,,
79,ASISTENCIA DE CONTABILIDAD,"ASISTIR EN EL REGISTRO Y CÁLCULO DE LA INFORMACIÓN FINANCIERA CONTABLE EN EMPRESAS E INSTITUCIONES PÚBLICAS, PRIVADAS, CON SUJECIÓN A LAS LEYES, NORMAS, PRINCIPIOS Y PROCEDIMIENTOS CONTABLES, LABORALES, TRIBUTARIOS Y MERCANTILES, DE ACUERDO AL AVANCE TECNOLÓGICO, CON EFICACIA, EFICIENCIA, ECONOMÍA Y ÉTICA PROFESIONAL.",SERVICIOS FINANCIEROS,ACTIVIDADES JURÍDICAS Y DE CONTABILIDAD,,
80,PRODUCCIÓN DE CULTIVOS ORGÁNICOS,CULTIVAR ALIMENTOS ORGÁNICOS AGRÍCOLAS EN FUNCIÓN DE LA NORMATIVA VIGENTE.,AGRICULTURA Y PLANTACIONES,"AGRICULTURA, GANADERÍA, CAZA Y ACTIVIDADES DE SERVICIOS CONEXAS",,
81,SUPERVISIÓN DE ALERTAS DE EMERGENCIA,SUPERVISAR LAS ALERTAS DE EMERGENCIAS RECEPTADAS A TRAVÉS DE LA PLATAFORMA TECNOLÓGICA CON BASE A LOS PROCEDIMIENTOS ESTABLECIDOS POR LA INSTITUCIÓN Y LA NORMATIVA VIGENTE.,ACTIVIDADES TIPO SERVICIOS,ADMINISTRACIÓN PÚBLICA Y DEFENSA; PLANES DE SEGURIDAD SOCIAL DE AFILIACIÓN OBLIGATORIA.,,
82,SUPERVISIÓN DE EDIFICACIONES Y OBRAS CIVILES,"SUPERVISAR LAS ACTIVIDADES Y EJECUCIÓN DE LA OBRA DE ACUERDO A LAS DISPOSICIONES DE LA DIRECCIÓN, DISEÑO Y ESPECIFICACIONES TÉCNICAS DEL PROYECTO, NORMAS DE SEGURIDAD Y SALUD EN EL TRABAJO, REGLAMENTO INTERNO, REGLAMENTO DE SEGURIDAD Y NORMA AMBIENTAL.",CONSTRUCCIÓN,ACTIVIDADES ESPECIALIZADAS DE LA CONSTRUCCIÓN,,
83,ACTIVIDADES DE RECEPCIÓN,"REALIZAR ACTIVIDADES DE RECEPCIÓN DEL SERVICIO DE ALOJAMIENTO DE ACUERDO A LOS PROCEDIMIENTOS, POLÍTICAS DEL ESTABLECIMIENTO Y A LA NORMATIVA LEGAL VIGENTE",TURISMO Y ALIMENTACIÓN,ACTIVIDADES DE ALOJAMIENTO,,
84,ASISTENCIA EN SEGURIDAD INDUSTRIAL,"REALIZAR ACTIVIDADES DE APOYO A LA GESTIÓN DE SEGURIDAD INDUSTRIAL DE LA ENTIDAD, OBSERVANDO LA NORMATIVA LEGAL VIGENTE.",ACTIVIDADES TIPO SERVICIOS,"OTRAS ACTIVIDADES PROFESIONALES, CIENTÍFICAS Y TÉCNICAS",,
85,SUPERVISIÓN DE PRODUCCIONES GASTRONÓMICAS,"SUPERVISAR PROCESOS DE PRE-PRODUCCIÓN, PRODUCCIÓN, MONTAJE Y DESPACHO DE ALIMENTOS DE ACUERDO CON PROTOCOLOS ESTABLECIDOS Y LA NORMATIVA VIGENTE",TRANSFORMACIÓN DE ALIMENTOS (INCLUYE AGROINDUSTRIA),ELABORACIÓN DE PRODUCTOS ALIMENTICIOS,,
86,FORMACIÓN DE FORMADORES,"FACILITAR EL PROCESO DE ENSEÑANZA APRENDIZAJE DE METODOLOGÍAS, PRÁCTICAS PEDAGÓGICAS Y EVALUACIÓN DE ACUERDO A LAS NECESIDADES DEL GRUPO OBJETIVO.",ACTIVIDADES DE ENSEÑANZA,ENSEÑANZA,,
87,"ELABORACIÓN DE ""PRENDAS DE VESTIR""","ELABORAR ""PRENDAS DE VESTIR"" A TRAVÉS DE PROCESOS:DISEÑO; PLANO DE CORTE TENDIDO, CORTE; CONFECCIÓN Y ACABADOS, DE ACUERDO A PROCEDIMIENTOS Y/O NORMAS TÉCNICAS DE REFERENCIA Y AL USO FINAL DE LA VESTIMENTA.","PRODUCTOS TEXTILES, CUERO Y CALZADO",FABRICACIÓN DE PRENDAS DE VESTIR.,,
88,MANTENIMIENTO Y REPARACIÓN DE EQUIPOS DE COMPUTACIÓN,REALIZAR EL MANTENIMIENTO Y REPARACIÓN DE COMPUTADORAS DE ACUERDO A PARÁMETROS TÉCNICOS ESTABLECIDOS POR EL FABRICANTE.,TECNOLOGÍA: HARDWARE Y SOFTWARE (INCLUYE TIC),REPARACIÓN DE COMPUTADORES Y DE EFECTOS PERSONALES Y ENSERES DOMÉSTICOS,,
89,SEGURIDAD PENITENCIARIA,"CUSTODIAR LA SEGURIDAD DEL SISTEMA DE REHABILITACIÓN SOCIAL, EN BASE A LA NORMATIVA CONSTITUCIONAL Y LEGAL VIGENTE.",ACTIVIDADES COMUNITARIAS,ADMINISTRACIÓN PÚBLICA Y DEFENSA; PLANES DE SEGURIDAD SOCIAL DE AFILIACIÓN OBLIGATORIA,,
90,SOLDADURA EN PROCESO GTAW SOLDADURA POR ARCO CON TUNGSTENO Y GAS,"REALIZAR TRABAJOS DE UNIÓN DE ELEMENTOS COMO LÁMINAS Y TUBOS DE ACERO AL CARBONO Y ACERO INOXIDABLE EN ESTRUCTURAS METÁLICAS LIGERAS, UTILIZANDO EL PROCESO DE SOLDADURA POR ARCO CON TUNGSTENO Y GAS (GTAW); CUMPLIENDO CON LAS EXPECTATIVAS DE CALIDAD DEL SECTOR PRODUCTIVO Y APLICANDO LAS MEDIDAS DE SEGURIDAD, HIGIENE Y PROTECCION AMBIENTAL.",METALMECÁNICA,"FABRICACIÓN DE PRODUCTOS ELABORADOS DE METAL, EXCEPTO MAQUINARIA Y EQUIPO",,
91,ASISTENCIA DE PREPARACIONES GASTRONÓMICAS EN PANADERÍA Y PASTELERÍA,"ASISTIR EN ACTIVIDADES DE OPERACIÓN DE PANADERÍA Y PASTELERÍA DE ACUERDO CON LOS REQUERIMIENTOS ESTABLECIDOS, PROCEDIMIENTOS Y TÉCNICAS DE ELABORACIÓN EN PANADERÍA Y PASTELERÍA, NORMAS DE SEGURIDAD Y SALUD EN EL TRABAJO, MANIPULACIÓN DE ALIMENTOS Y BAJO LA SUPERVISIÓN DE JEFE INMEDIATO.",TRANSFORMACIÓN DE ALIMENTOS (INCLUYE AGROINDUSTRIA),ELABORACIÓN DE PRODUCTOS ALIMENTICIOS,,
92,SUPERVISIÓN EN PREPARACIÓN DE BEBIDAS Y SERVICIO DE ALIMENTOS Y BEBIDAS,"SUPERVISAR PROCESOS DE PREPARACIÓN, MONTAJE DE BEBIDAS ALCOHÓLICAS Y NO ALCOHÓLICAS Y LAS OPERACIONES DE SERVICIO DE ALIMENTOS Y BEBIDAS DE ACUERDO A PROTOCOLOS ESTABLECIDOS Y LA NORMATIVA VIGENTE",TURISMO Y ALIMENTACIÓN,SERVICIO DE ALIMENTO Y BEBIDA,,
93,"DIBUJO, PINTURA E ILUSTRACIÓN ARTÍSTICA","ELABORAR PROYECTOS U OBRAS DE DIBUJO, PINTURA O ILUSTRACIÓN ARTÍSTICA APLICANDO DIVERSAS TÉCNICAS, PROCEDIMIENTOS, HERRAMIENTAS Y PRINCIPIOS DE REPRESENTACIÓN DE ACUERDO A LOS REQUERIMIENTOS ESTABLECIDOS.",ACTIVIDADES COMUNITARIAS,"ACTIVIDADES CREATIVAS, ARTÍSTICAS Y DE ENTRETENIMIENTO",,
94,EJECUCIÓN DE TÉCNICAS Y PROCEDIMIENTOS PARA LA ATENCIÓN EN EMERGENCIAS OBSTÉTRICAS,EJECUTAR ACTIVIDADES DE ATENCIÓN DE EMERGENCIAS OBSTÉTRICAS DE ACUERDO A LAS DISPOSICIONES DEL COORDINADOR DEL EQUIPO,ACTIVIDADES DE SALUD,ACTIVIDADES DE ATENCIÓN DE LA SALUD HUMANA,,
95,OPERACIONES AUXILIARES EN PROSPECCIÓN Y EXPLORACIÓN GEOLÓGICA,"REALIZAR LABORES COMPLEMENTARIAS DE PROSPECCIÓN Y EXPLORACIÓN GEOLÓGICA UTILIZANDO EQUIPOS, HERRAMIENTAS E INSTRUMENTOS ESPECIALIZADOS DE ACUERDO CON PROCEDIMIENTOS INTERNOS ESTABLECIDOS Y NORMATIVAS VIGENTES.","MINAS, CANTERAS Y YACIMIENTOS",ACTIVIDADES DE SERVICIOS DE APOYO PARA LA EXPLOTACIÓN DE MINAS Y CANTERAS,,
96,GESTIÓN DE SISTEMAS INFORMÁTICOS,"CONFIGURAR, ADMINISTRAR Y MANTENER UN SISTEMA INFORMÁTICO A NIVEL DE HARDWARE Y SOFTWARE, GARANTIZANDO LA DISPONIBILIDAD, ÓPTIMO RENDIMIENTO, FUNCIONALIDAD E INTEGRIDAD DE LOS SERVICIOS Y RECURSOS DEL SISTEMA.",TECNOLOGÍA: HARDWARE Y SOFTWARE (INCLUYE TIC),"PROGRAMACIÓN INFORMÁTICA, CONSULTORÍA DE INFORMÁTICA Y ACTIVIDADES CONEXAS",,
97,ASISTENCIA DE PREPARACIÓN GASTRONÓMICA EN COCINA,"ASISTR EN LA EJECUCIÓN DE LOS PROCEDIMIENTOS DE PRE-ELABORACIÓN, ELABORACIÓN Y MONTAJE DE ALIMENTOS CONFORME LA SUPERVISIÓN DEL JEFE INMEDIATO, MÉTODOS, TÉNICAS DE COCCIÓN, PROTOCOLOS ESTABLECIDOS Y NORMATIVA VIGENTE.",TRANSFORMACIÓN DE ALIMENTOS (INCLUYE AGROINDUSTRIA),ELABORACIÓN DE PRODUCTOS ALIMENTICIOS,,
98,METROLOGÍA INDUSTRIAL,"REALIZAR LA CALIBRACIÓN Y/O ENSAYO, CONTROL, MANTENIMIENTO DE LOS INSTRUMENTOS DE MEDICIÓN GARANTIZANDO LA CALIDAD DE ACUERDO A PROCEDIMIENTOS ESTABLECIDOS.",ACTIVIDADES TIPO SERVICIOS,"FABRICACIÓN DE PRODUCTOS DE INFORMÁTICA, ELECTRÓNICA Y ÓPTICA",,
99,COSMIATRÍA,REALIZAR PROCEDIMIENTOS COSMIÁTRICOS FACIALES Y CORPORALES CON BASE EN LA DERIVACIÓN MÉDICA O AL DIAGNÓSTICO MÉDICO REALIZADO.,ACTIVIDADES COMUNITARIAS,OTRAS ACTIVIDADES DE SERVICIOS PERSONALES,,
100,CAPITÁN DE EMBARCACIÓN TURÍSTICA NTE INEN 2 467 2008,"EL CAPITÁN DE EMBARCACIÓN TURÍSTICA SE OCUPA, PRINCIPALMENTE, DE PLANIFICAR Y COORDINAR LAS ACTIVIDADES DE NAVEGACIÓN; SUPERVISAR EL EQUIPO Y CONDUCIR LA EMBARCACIÓN EN RUTA TURÍSTICA.","TRANSPORTE, ALMACENAMIENTO Y LOGÍSTICA",TRANSPORTE POR VÍA ACUÁTICA,,
101,INDUSTRIALIZACIÓN DE PRODUCTOS ALIMENTICIOS,"TRANSFORMAR LA MATERIA PRIMA AGROPECUARIA EN PRODUCTOS Y SUB-PRODUCTOS ELABORADOS PARA EL CONSUMO ALIMENTICIO, CONSIDERANDO LAS NORMAS TÉCNICAS VIGENTES, APLICANDO TECNOLOGÍAS AMIGABLES CON EL AMBIENTE Y SISTEMAS DE GESTIÓN DE INOCUIDAD.",TRANSFORMACIÓN DE ALIMENTOS (INCLUYE AGROINDUSTRIA),ELABORACIÓN DE PRODUCTOS ALIMENTICIOS,,
102,VIGILANCIA DE LA CALIDAD DEL AGUA PARA CONSUMO HUMANO,"VIGILAR LA CALIDAD DEL AGUA PARA CONSUMO HUMANO, DE ACUERDO A LA NORMATIVA LEGAL VIGENTE.","ELECTRICIDAD, GAS Y AGUA","CAPTACIÓN, TRATAMIENTO Y DISTRIBUCIÓN DE AGUA",,
103,COORDINACIÓN COMERCIAL,"COORDINAR EL EQUIPO COMERCIAL Y LA VENTA DE PRODUCTOS Y/O PRESTACIÓN DE SERVICIOS, CONSIDERANDO POLÍTICAS Y PROCEDIMIENTOS ESTABLECIDOS EN LA ORGANIZACIÓN",COMERCIALIZACIÓN Y VENTA DE PRODUCTOS,"COMERCIO AL POR MAYOR, EXCEPTO EL DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS",,
104,ACTIVIDADES DE EJECUCIÓN PARA LA ASISTENCIA HUMANITARIA,"EJECUTAR EL TIPO DE ASISTENCIA HUMANITARIA (ALOJAMIENTO TEMPORAL, BIENES DE ASISTENCIA HUMANITARIA Y PROTECCIÓN DE DERECHOS) REQUERIDO CONFORME A LAS NECESIDADES DE LA POBLACIÓN AFECTADA Y DAMNIFICADA ANTE EMERGENCIAS, DESASTRES Y CATÁSTROFES CONSIDERANDO LA NORMATIVA LEGAL VIGENTE Y PROCEDIMIENTOS ESTABLECIDOS.",ACTIVIDADES COMUNITARIAS,ADMINISTRACIÓN PÚBLICA Y DEFENSA; PLANES DE SEGURIDAD SOCIAL DE AFILIACIÓN OBLIGATORIA.,,
105,OPERACIONES DE LÍNEAS Y REDES ENERGIZADAS,"REALIZAR TRABAJOS DE OPERACIÓN Y MANTENIMIENTO EN REDES Y LÍNEAS ENERGIZADAS DE TRANSMISIÓN Y DISTRIBUCIÓN, DE ACUERDO A PROCEDIMIENTOS INTERNOS Y NORMATIVA LEGAL VIGENTE.","ELECTRICIDAD, GAS Y AGUA","SUMINISTRO DE ELECTRICIDAD, GAS, VAPOR Y AIRE ACONDICIONADO",,
106,OPERACIONES AUXILIARES DE VOLADURA A CIELO ABIERTO Y SUBTERRÁNEA,"EJECUTAR OPERACIONES AUXILIARES EN MINA DE CIELO ABIERTO Y SUBTERRÁNEA EN LAS ACTIVIDADES DE VOLADURA, APLICANDO LOS DIFERENTES SISTEMAS DE INICIACIÓN, DE ACUERDO A PROCEDIMIENTOS ESTABLECIDOS.","MINAS, CANTERAS Y YACIMIENTOS",ACTIVIDADES DE SERVICIOS DE APOYO PARA LA EXPLOTACIÓN DE MINAS Y CANTERAS,,
107,PESCA ARTESANAL,"REALIZAR LA CAPTURA Y FAENA DE LA PESCA, MEDIANTE TÉCNICAS ARTESANALES ESTABLECIDAS, TOMANDO EN CONSIDERACIÓN LA NORMATIVA VIGETE CON ÉNFASIS EN LA PRESERVACIÓN DEL MEDIO AMBIENTE Y CRITERIOS DE SUSTENTABILIDAD.","PESCA, ACUACULTURA Y MARICULTURA",PESCA Y ACUICULTURA,,
108,OPERACIÓN DE MÁQUINAS INDUSTRIALES DE CONFECCIÓN TEXTIL,"CONFECCIONAR PRODUCTOS DE GENERO TEXTIL OPERANDO MAQUINAS INDUSTRIALES CON EFICIENCIA, CUMPLIENDO LAS NORMAS TÉCNICAS, DE SEGURIDAD INDUSTRIAL, DE SALUD OCUPACIONAL Y CONSERVACIÓN AMBIENTAL.","PRODUCTOS TEXTILES, CUERO Y CALZADO",FABRICACIÓN DE PRODUCTOS TEXTILES,,
109,PREPARACIÓN GASTRONÓMICA DE PANADERÍA,"ELABORAR DIFERENTES TIPOS DE PRODUCTOS DE PANADERÍA DE ACUERDO A NORMAS DE SEGURIDAD Y SALUD OCUPACIONAL, BUENAS PRÁCTICAS DE MANUFACTURA Y REQUERIMIENTOS ESTABLECIDOS",TRANSFORMACIÓN DE ALIMENTOS (INCLUYE AGROINDUSTRIA),ELABORACIÓN DE PRODUCTOS ALIMENTICIOS,,
110,ENDEREZAMIENTO Y SOLDADURA AUTOMOTRIZ,"ENDEREZAR PARTES Y PIEZAS AUTOMOTRICES MEDIANTE LA UTILIZACIÓN DE EQUIPOS Y HERRAMIENTAS PARA GARANTIZAR LA CALIDAD Y EL DISEÑO TÉCNICO ORIGINAL DE LOS COMPONENTES NUEVOS Y/O RESTAURADOS, CUMPLIENDO CON NORMAS DE CALIDAD,EGURIDAD Y SALUD EN EL TRABAJO Y MEDIO AMBIENTE.","VEHÍCULOS, AUTOMOTORES, CARROCERÍAS Y SUS PARTES",COMERCIO Y REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS,,
111,FABRICACIÓN Y MONTAJE DE MUEBLES,"REALIZAR EL MECANIZADO, MONTAJE, ACABADO, ALMACENAMIENTO Y EXPEDICIÓN DE LOS PROCESOS DE FABRICACIÓN DE MUEBLES ASÍ COMO LA PREPARACIÓN, PUESTA A PUNTO Y OPERACIÓN DE LAS MÁQUINAS, HERRAMIENTAS Y EL MONTAJE DEL MUEBLE EN EL LUGAR DE DESTINO OBTENIENDO PRODUCTOS DE CALIDAD EN CONDICIONES DE SEGURIDAD Y EN LOS PLAZOS REQUERIDOS.",ACTIVIDADES TIPO SERVICIOS,FABRICACIÓN DE MUEBLES,,
