Perfil,Competenecia Laboral,Familia,Sector
PROSPECCIÓN SENIOR EN MINA,REALIZAR MUESTREO DE PUNTOS DE EXTRACCIÓN EN PROCESOS DE MINERÍA SUBTERRÁNEA DE ACUERDO A PROCEDIMIENTOS ESTABLECIDOS,"MINAS, CANTERAS Y YACIMIENTOS",ACTIVIDADES DE SERVICIOS DE APOYO PARA LA EXPLOTACIÓN DE MINAS Y CANTERAS
REPARACIÓN Y CALIBRAJE DE INSTRUMENTOS,"REALIZAR LA REPARACIÓN Y CALIBRACIÓN DE INSTRUMENTOS, MANTENIENDO EL SISTEMA DE CONTROL Y REGISTRO DE EQUIPOS Y MAQUINARIA, DE ACUERDO A LOS PROCEDIMIENTOS DE LA EMPRESA Y LA NORMATIVA LEGAL VIGENTE.",TRANSFORMACIÓN DE ALIMENTOS (INCLUYE AGROINDUSTRIA),ELABORACIÓN DE PRODUCTOS ALIMENTICIOS
GESTIÓN DE COBRANZA,"REALIZAR LA RECUPERACIÓN DE LA CARTERA DE CRÉDITOS, DE ACUERDO A PROCEDIMIENTOS ESTABLECIDOS POR LA ENTIDAD FINANCIERA Y NORMATIVA LEGAL VIGENTE.",SERVICIOS FINANCIEROS,"ACTIVIDADES DE SERVICIOS FINANCIEROS, EXCEPTO LAS DE SEGUROS Y FONDOS DE PENSIONES"
ELABORACIÓN DE SOMBRERO DE PAJA TOQUILLA,CONFECCIONAR SOMBREROS DE PAJA TOQUILLA DE ACUERDO CON LA TÉCNICA DE CADA REGIÓN Y EL REQUERIMIENTO DEL CLIENTE.,ARTESANÍAS,FABRICACIÓN DE PRENDAS DE VESTIR
SUPERVISIÓN DE LA PRODUCCIÓN DE ALIMENTOS,ELABORAR LOS RECURSOS ARTICULANDO PROCESOS DE LOS PRODUCTOS ALIMENTICIOS DE ACUERDO A LOS PROCEDIMIENTOS ESTABLECIDOS POR LA EMPRESA.,TRANSFORMACIÓN DE ALIMENTOS (INCLUYE AGROINDUSTRIA),ELABORACIÓN DE PRODUCTOS ALIMENTICIOS
OPERACIONES DE MANUFACTURA DE FRUTOS SECOS,"REALIZAR LA ELABORACION DE FRUTOS SECOS TOSTADOS, EN LAS CONDICIONES ESTABLECIDAS EN LOS MANUALES DE PROCEDIMIENTO Y CALIDAD, DE ACUERDO A LA NORMATIVA TECNICO - SANITARIA VIGENTE.",TRANSFORMACIÓN DE ALIMENTOS (INCLUYE AGROINDUSTRIA),ELABORACIÓN DE PRODUCTOS ALIMENTICIOS
"SUPERVISIÓN DE PRODUCCIÓN DE HILATURAS, TEJEDURÍAS Y PIELES","PRODUCIR HILATURAS, TEJEDURÍAS Y PIELES CURTIDAS ASEGURANDO LA CALIDAD EN LOS PRODUCTOS SIGUIENDO NORMAS ESTABLECIDAS EN LAS GUÍAS DE CONTROL.","PRODUCTOS TEXTILES, CUERO Y CALZADO",FABRICACIÓN DE PRODUCTOS TEXTILES
SUPERVISIÓN DE TURNO DE EXTRACCIÓN SUBTERRÁNEA,REALIZAR SUPERVISIÓN DE ACTIVIDADES OPERACIONALES EN PROCESOS DE EXTRACCIÓN DE MINERÍA SUBTERRÁNEA.,"MINAS, CANTERAS Y YACIMIENTOS",ACTIVIDADES DE SERVICIOS DE APOYO PARA LA EXPLOTACIÓN DE MINAS Y CANTERAS
SUPERVISIÓN Y OPERACIÓN DE PLANTEL DE REFINERÍA,"EJECUTAR ACTIVIDADES DE SUPERVISIÓN, COORDINACIÓN Y CONTROL EN LOS PROCESOS DE REFINACIÓN DE PETRÓLEO CRUDO DE ACUERDO CON LOS LINEAMIENTOS TÉCNICOS DEL PROGRAMA DE PRODUCCIÓN DE PRODUCTOS DERIVADOS DE HIDROCARBUROS BAJO NORMAS TÉCNICAS DE SEGURIDAD SALUD Y AMBIENTE","MINAS, CANTERAS Y YACIMIENTOS",FABRICACIÓN DE COQUE Y DE PRODUCTOS DE LA REFINACIÓN DEL PETRÓLEO
TEJEDURÍA DE CALADA,PRODUCIR TEJIDOS DE CALADA DE ACUERDO A LAS CONDICIONES DE SEGURIDAD Y PROCEDIMIENTOS ESTABLECIDOS.,"PRODUCTOS TEXTILES, CUERO Y CALZADO",FABRICACIÓN DE PRODUCTOS TEXTILES
TEJEDURÍA DE CHALINAS,"PRODUCIR CHALINAS, TOMANDO EN CUENTA MÉTODOS ANCESTRALES DE CALIDAD Y CONSIDERANDO NORMAS DE SEGURIDAD, SALUD OCUPACIONAL, AMBIENTAL Y, RESPETANDO AUTENTICIDAD CULTURAL.",ARTESANÍAS,FABRICACIÓN DE PRODUCTOS TEXTILES
"VERIFICACIÓN DE CALIDAD EN LA PRODUCCIÓN DE HILATURAS, TEJEDURÍAS Y PIELES",CONTROLAR LA CALIDAD DE MANERA EXHAUSTIVA EN LOS PRODUCTOS TERMINADOS E INTERMEDIAS OPERANDO MAQUINARIA Y EQUIPO DE CONTROL AL IGUAL QUE RETROALIMENTANDO DICHO CONTROL SEGÚN LOS ESTÁNDARES DE LA EMPRESA,"PRODUCTOS TEXTILES, CUERO Y CALZADO",FABRICACIÓN DE PRODUCTOS TEXTILES
GESTIÓN DE CUMPLIMIENTO DE AUDITORÍAS INSTITUCIONALES,"COORDINAR EL MONITOREO Y AUDITORIA DE LOS PROCESOS INSTITUCIONALES PROPENDIENDO A LA IDENTIFICACIÓN DE ANOMALÍAS, ALTERACIÓN O INCUMPLIMIENTO ACORDE A LA NATURALEZA DE LA INSTITUCIÓN Y NORMATIVA LEGAL VIGENTE.",ACTIVIDADES TIPO SERVICIOS,ADMINISTRACIÓN PÚBLICA Y DEFENSA; PLANES DE SEGURIDAD SOCIAL DE AFILIACIÓN OBLIGATORIA
OPERACIONES EN ILUMINACIÓN ESCÉNICA,DISEÑAR PROYECTOS DE ILUMINACIÓN Y REALIZAR MONTAJE Y DESMONTAJE ILUMINOTÉCNICO PARA OBRAS ARTISTICAS Y ESPECTÁCULOS DE ACUERDO A PROCESOS ESTABLECIDOS CUMPLIENDO NORMAS DE SEGURIDAD Y SALUD EN EL TRABAJO.,ACTIVIDADES TIPO SERVICIOS,"ACTIVIDADES CREATIVAS, ARTÍSTICAS Y DE ENTRETENIMIENTO"
ACTIVIDADES GENERALES DEL SERVICIO PÚBLICO,"BRINDAR SERVICIO A LA CIUDADANÍA, PRECAUTELANDO EL USO DE LOS RECURSOS ASIGNADOS Y GESTIONANDO LA INFORMACIÓN PÚBLICA EN CONCORDANCIA CON LA NORMATIVA LEGAL VIGENTE",ACTIVIDADES TIPO SERVICIOS,ADMINISTRACIÓN PÚBLICA Y DEFENSA; PLANES DE SEGURIDAD SOCIAL DE AFILIACIÓN OBLIGATORIA
ANIMACIÓN,"ANIMAR ACTIVIDADES PARA TODO TIPO DE USUARIOS, ADAPTÁNDOLOS A LAS CARACTERÍSTICAS Y EXPECTATIVAS DEL MEDIO Y DE LOS PARTICIPANTES DE ACUERDO A LOS REQUERIMIENTOS ESTABLECIDOS.",ACTIVIDADES COMUNITARIAS,"ACTIVIDADES DE PRODUCCIÓN DE PELÍCULAS CINEMATOGRÁFICAS, VÍDEOS Y PROGRAMAS DE TELEVISIÓN, GRABACIÓN DE SONIDO Y EDICIÓN DE MÚSICA"
GESTIÓN DE PLANIFICACIÓN ESTRATÉGICA DE TALENTO HUMANO,COORDINAR EL DESARROLLO DE LA PLANIFICACIÓN DEL TALENTO HUMANO PROYECTANDO EL PERSONAL REQUERIDO POR LA INSTITUCIÓN.,ACTIVIDADES TIPO SERVICIOS,ADMINISTRACIÓN PÚBLICA Y DEFENSA; PLANES DE SEGURIDAD SOCIAL DE AFILIACIÓN OBLIGATORIA
ASISTENCIA DE CRÉDITO,TRAMITAR SOLICITUDES DE CRÉDITO DE ACUERDO A PROCEDIMIENTOS ESTABLECIDOS POR LA ENTIDAD Y A LA NORMATIVA VIGENTE.,SERVICIOS FINANCIEROS,"ACTIVIDADES DE SERVICIOS FINANCIEROS, EXCEPTO LAS DE SEGUROS Y FONDOS DE PENSIONES"
ASISTENCIA DE RIESGOS,"REALIZAR LA IDENTIFICACIÓN, MEDICIÓN, CONTROL, Y MONITOREO DE LOS EVENTOS DE RIESGOS DE ACUERDO A PROCEDIMIENTOS ESTABLECIDOS.",SERVICIOS FINANCIEROS,ACTIVIDADES AUXILIARES DE LAS ACTIVIDADES DE SERVICIOS FINANCIEROS
ASISTENCIA EN CURADURÍA,"DESARROLLAR CONCEPTOS PARA GUIONES DE PROCESOS: EXPOSITIVOS, MUSICALES, CINEMATOGRÁFICOS, LITERARIOS, ESCÉNICOS Y OTRAS PRÁCTICAS DEL ÁMBITO CULTURAL DE ACUERDO A LOS REQUERIMIENTOS Y/O PROCEDIMIENTOS ESTABLECIDOS.",ACTIVIDADES COMUNITARIAS,"ACTIVIDADES DEPORTIVAS, DE ESPARCIMIENTO Y RECREATIVAS"
CERRAJERÍA,"ELABORAR ESTRUCTURAS METÁLICAS Y ACABADOS MEDIANTE PERFILES DE ACERO DE ACUERDO A DIMENSIONES, FORMAS, MODELOS Y HERRAMIENTAS ESTABLECIDAS (REMACHES, TORNILLOS, TIPOS DE SUELDA) CUMPLIENDO LA NORMATIVA VIGENTE.",ACTIVIDADES TIPO SERVICIOS,FABRICACIÓN DE METALES COMUNES
CUSTODIA DE RESERVAS,"GESTIONAR LOS BIENES CULTURALES, PATRIMONIALES PÚBLICOS Y PRIVADOS DE ACUERDO A LA NORMATIVA VIGENTE.",ACTIVIDADES COMUNITARIAS,"ACTIVIDADES DE BIBLIOTECAS, ARCHIVOS, MUSEOS Y OTRAS ACTIVIDADES CULTURALES"
"DIBUJO, PINTURA E ILUSTRACIÓN ARTÍSTICA","ELABORAR PROYECTOS U OBRAS DE DIBUJO, PINTURA O ILUSTRACIÓN ARTÍSTICA APLICANDO DIVERSAS TÉCNICAS, PROCEDIMIENTOS, HERRAMIENTAS Y PRINCIPIOS DE REPRESENTACIÓN DE ACUERDO A LOS REQUERIMIENTOS ESTABLECIDOS.",ACTIVIDADES COMUNITARIAS,"ACTIVIDADES CREATIVAS, ARTÍSTICAS Y DE ENTRETENIMIENTO"
DISEÑO DE TIPOGRAFÍA Y/O CALIGRAFÍA,DESARROLLAR TIPOGRAFÍAS Y/O CALIGRAFÍAS APLICANDO TÉCNICAS DE DISEÑO FUNCIONAL Y ESTÉTICO DE ACUERDO A LOS REQUERIMIENTOS ESTABLECIDOS,ACTIVIDADES COMUNITARIAS,IMPRESIÓN Y REPRODUCCIÓN DE GRABACIONES
MANTENIMIENTO Y REPARACIÓN DE INSTRUMENTOS MUSICALES,REALIZAR ACTIVIDADES DE MANTENIMIENTO Y REPARACIÓN DE INSTRUMENTOS MUSICALES EN RELACIÓN A LA FUNCIONALIDAD DEL INSTRUMENTO Y LA ERGONOMÍA DEL INSTRUMENTISTA,ACTIVIDADES TIPO SERVICIOS,"ACTIVIDADES CREATIVAS, ARTÍSTICAS Y DE ENTRETENIMIENTO"
MEDIACIÓN DE LECTURA,"FACILITAR EL ACCESO A LA LECTURA -DE CONTENIDOS LITERARIOS Y NO LITERARIOS- CONCEBIDA COMO UNA PRÁCTICA SOCIAL QUE NOS PERMITE LA CONSTRUCCIÓN DE SENTIDOS, DE UNA MANERA LIBRE, REFLEXIVA, PLACENTERA Y SENSIBLE ENMARCADA EN UN ENFOQUE DE DERECHOS PARA EL EJERCICIO DE LA CIUDADANÍA DE ACUERDO A LA NORMATIVA LEGAL VIGENTE.",ACTIVIDADES DE ENSEÑANZA,ENSEÑANZA
OPERACIONES AUXILIARES DE BIBLIOTECA,"REALIZAR LABORES DE APOYO EN SERVICIOS DE ATENCIÓN AL USUARIO, GESTIÓN TECNOLÓGICA, ADMINISTRATIVA Y DE INFORMACIÓN EN BIBLIOTECAS, CENTROS DE INFORMACIÓN Y/O DOCUMENTACIÓN, DE ACUERDO A PROCEDIMIENTOS ESTABLECIDOS.",ACTIVIDADES TIPO SERVICIOS,"ACTIVIDADES DE BIBLIOTECAS, ARCHIVOS, MUSEOS Y OTRAS ACTIVIDADES CULTURALES"
OPERACIONES AUXILIARES DE ALBAÑILERÍA,"REALIZAR ACTIVIDADES AUXILIARES DE ALBAÑILERÍA EN OBRAS DE CONSTRUCCIÓN, DE ACUERDO A LAS INSTRUCCIONES TÉCNICAS RECIBIDAS POR EL JEFE, LA NORMATIVA DE SEGURIDAD Y SALUD EN EL TRABAJO; Y MEDIO AMBIENTE.",CONSTRUCCIÓN,CONSTRUCCIÓN DE EDIFICIOS
OPERACIONES PORTUARIAS DE EMBARQUE Y DESEMBARQUE DE MERCADERÍAS,"REALIZAR LA IMPLEMENTACIÓN Y CONTROL DE LAS ACTIVIDADES PORTUARIAS DE INSTALACIONES Y EMBARQUE Y DESEMBARQUE DE NAVES PORTUARIAS, DE ACUERDO A LA PLANIFICACIÓN, PROCEDIMIENTOS ESTABLECIDOS, DANDO CUMPLIMIENTO A LAS NORMAS DE SEGURIDAD PORTUARIA.","TRANSPORTE, ALMACENAMIENTO Y LOGÍSTICA",ALMACENAMIENTO Y ACTIVIDADES DE APOYO AL TRANSPORTE
REPARACIÓN DE JOYERÍA,"REPARAR PIEZAS DE JOYERÍA SIN INVOLUCRAR CAMBIOS EN LA ESTRUCTURA O EL DISEÑO EN BASE A LOS REQUERIMIENTOS DEL CLIENTE, APLICANDO NORMAS DE SEGURIDAD Y SALUD OCUPACIONAL",ARTESANÍAS,OTRAS INDUSTRIAS MANUFACTURERAS
GESTIÓN DE MESA DE AYUDA EN TICS,BRINDAR SOPORTE TÉCNICO EN LA SOLUCIÓN DE INCIDENTES EN EL FUNCIONAMIENTO Y/O UTILIZACIÓN DE LOS RECURSOS INFORMÁTICOS DE ACUERDO A PROCEDIMIENTOS ESTABLECIDOS.,TECNOLOGÍA: HARDWARE Y SOFTWARE (INCLUYE TIC),ACTIVIDADES DE SERVICIOS DE INFORMACIÓN
TAPICERÍA AUTOMOTRIZ,FABRICAR Y RESTAURAR TAPIZADO AUTOMOTRIZ DE ACUERDO A TÉCNICAS Y PROCEDIMIENTOS ESTABLECIDOS.,"VEHÍCULOS, AUTOMOTORES, CARROCERÍAS Y SUS PARTES",COMERCIO Y REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS
ENCUADERNACIÓN ARTÍSTICA Y ARTESANAL,"REALIZAR EL DISEÑO Y DESARROLLO DE LA ENCUADERNACIÓN DEL LIBRO CON ELEMENTOS DE PROTECCIÓN Y CONTENEDORES, MEDIANTE TÉCNICAS DE ENCUADERNACIÓN DE ACUERDO AL PROYECTO ESTABLECIDO.",ACTIVIDADES COMUNITARIAS,IMPRESIÓN Y REPRODUCCIÓN DE GRABACIONES
"ACTIVIDADES AUXILIARES DE MANTENIMIENTO DE MÁQUINAS, EQUIPOS E INSTALACIONES DEL BUQUE","REALIZAR OPERACIONES AUXILIARES DE MANTENIMIENTO Y REPARACIÓN DE LA PLANTA PROPULSORA, MÁQUINAS Y EQUIPOS AUXILIARES DEL BUQUE, ELEMENTOS Y EQUIPOS A FLOTE Y EN SECO, SIGUIENDO LOS PROCEDIMIENTOS ESTABLECIDOS Y CUMPLIENDO LAS NORMAS DE SEGURIDAD PORTUARIAS.","TRANSPORTE, ALMACENAMIENTO Y LOGÍSTICA",REPARACIÓN E INSTALACIÓN DE MAQUINARIA Y EQUIPO
IMPRESIÓN DE GRABADO,REPRODUCIR MANUALMENTE ORIGINALES MÚLTIPLES EN UNA EDICIÓN LIMITADA DE ACUERDO A TÉCNICAS DE ESTAMPACIÓN Y PROCEDIMIENTOS ESTABLECIDOS,ACTIVIDADES COMUNITARIAS,"ACTIVIDADES CREATIVAS, ARTÍSTICAS Y DE ENTRETENIMIENTO"
OPERACIONES ESPECIALIZADAS EN ASEGURAMIENTO DE RIESGOS,"REALIZAR FUNCIONES DE ASEGURAMIENTO DE RIESGOS, MEDIANTE LA CONTRATACIÓN DE UNA PÓLIZA, DE ACUERDO A PROCEDIMIENTOS ESTABLECIDOS.",SERVICIOS FINANCIEROS,"SEGUROS, REASEGUROS Y FONDOS DE PENSIONES, EXCEPTO LOS PLANES DE SEGURIDAD SOCIAL DE AFILIACIÓN OBLIGATORIA"
ACABADO EN CUERO,"REALIZAR EL ACABADO EN CUERO, MANTENIENDO NORMAS DE SEGURIDAD, SALUD OCUPACIONAL Y AMBIENTAL.","PRODUCTOS TEXTILES, CUERO Y CALZADO",FABRICACIÓN DE CUEROS Y PRODUCTOS CONEXOS
ACTIVIDADES DE APOYO PARA LA INDUSTRIA MANUFACTURERA,"MANUFACTURAR PRODUCTOS DE ACUERDO A LAS INSTRUCCIONES RECIBIDAS CUMPLIENDO LAS BUENAS PRÁCTICAS DE MANUFACTURA, NORMAS AMBIENTALES Y NORMAS DE SEGURIDAD Y SALUD EN EL TRABAJO.",TRANSFORMACIÓN DE ALIMENTOS (INCLUYE AGROINDUSTRIA),ELABORACIÓN DE PRODUCTOS ALIMENTICIOS
ANÁLISIS DE CONTROL DE CALIDAD EN LA TRANSFORMACIÓN DE ALIMENTOS,"INSPECCIONAR, ANALIZAR Y VERIFICAR LA CALIDAD DE LOS ALIMENTOS DESDE EL PUNTO INICIAL (MATERIA PRIMA E INSUMOS), PASANDO POR LA TRANSFORMACIÓN DE ALIMENTOS HASTA LA OBTENCIÓN DE PRODUCTOS TERMINADOS, DESARROLLANDO ACTIVIDADES DE CONTROL Y MUESTREO.",TRANSFORMACIÓN DE ALIMENTOS (INCLUYE AGROINDUSTRIA),ELABORACIÓN DE PRODUCTOS ALIMENTICIOS
APARADOR DE CALZADO,REALIZAR EL ENSAMBLE O UNIÓN DE LAS PIEZAS DE CORTE SIGUIENDO ESPECIFICACIONES DEL DISEÑO DEL PRODUCTO O MODELO DE ACUERDO A NORMAS DE SEGURIDAD INDUSTRIAL.,"PRODUCTOS TEXTILES, CUERO Y CALZADO",FABRICACIÓN DE CUEROS Y PRODUCTOS CONEXOS
ARTESANÍAS EN TOTORA,ELABORAR ARTESANIAS EN TOTORA PARA LA SATISFACCIÓN DEL CLIENTE.,ARTESANÍAS,OTRAS INDUSTRIAS MANUFACTURERAS
ASISTENCIA DE OPERACIONES FINANCIERAS,"EJECUTAR OPERACIONES ADMINISTRATIVAS Y DE SOPORTE EN LA OFERTA DE SERVICIOS Y/O PRODUCTOS FINANCIEROS, DE ACUERDO A LOS REQUERIMIENTOS DE CLIENTES INTERNOS Y PROCEDIMIENTOS ESTABLECIDOS.",SERVICIOS FINANCIEROS,"ACTIVIDADES DE SERVICIOS FINANCIEROS, EXCEPTO LAS DE SEGUROS Y FONDOS DE PENSIONES"
ASISTENCIA DE PERFORACIÓN,OPERAR EQUIPOS DE PERFORACIÓN JUMBO EN PROCESOS DE EXTRACCIÓN MINERA DE ACUERDO A PROCEDIMIENTOS DE LA EMPRESA.,"MINAS, CANTERAS Y YACIMIENTOS",ACTIVIDADES DE SERVICIOS DE APOYO PARA LA EXPLOTACIÓN DE MINAS Y CANTERAS
ASISTENCIA DE PRODUCCIÓN EN LABORATORIO ACUÍCOLA,COORDINAR LAS ACTIVIDADES PREVIAS AL PROCESO OPERATIVO DE PRODUCCIÓN DE LARVAS DE ACUERDO A LOS PROCEDIMIENTOS ESTABLECIDOS.,"PESCA, ACUACULTURA Y MARICULTURA",PESCA Y ACUICULTURA
ASISTENCIA EN CONSTRUCCIÓN EN MINA,REALIZAR ACTIVIDADES DE CONSTRUCCIÓN Y REPARACIÓN DE INFRAESTRUCTURA EN PROCESOS DE EXTRACCIÓN SUBTERRÁNEA EN MEDIANA MINERÍA.,"MINAS, CANTERAS Y YACIMIENTOS",EXPLOTACIÓN DE OTRAS MINAS Y CANTERAS
ASISTENCIA EN LABORATORIO ACUÍCOLA,COORDINAR LAS ACTIVIDADES PREVIAS AL PROCESO OPERATIVO DE PRODUCCIÓN DE ALGAS DE ACUERDO A NORMAS TÉCNICAS DE PROCEDIMIENTOS ESTABLECIDOS.,"PESCA, ACUACULTURA Y MARICULTURA",PESCA Y ACUICULTURA
ASISTENCIA EN PREPARACIÓN Y EXPLORACIÓN DE MINA,"EJECUTAR LOS PROCESOS ASOCIADOS A LA PREPARACIÓN DE MINA SUBTERRÁNEA, DE ACUERDO AL PLAN PRODUCTIVO, ESTÁNDARES DE LA ORGANIZACIÓN Y NORMATIVA.LEGAL VIGENTE.","MINAS, CANTERAS Y YACIMIENTOS",EXPLOTACIÓN DE OTRAS MINAS Y CANTERAS
BLANQUEO Y TINTURA DE MATERIAS TEXTILES,"REALIZAR EL BLANQUEO Y/O TINTURA DE MATERIAS TEXTILES, APLICANDO TÉCNICAS Y PROCEDIMIENTOS, DE ACUERDO A LA NORMATIVA VIGENTE.","PRODUCTOS TEXTILES, CUERO Y CALZADO",FABRICACIÓN DE CUEROS Y PRODUCTOS CONEXOS
BORDADOS ARTESANALES,"ELABORAR BORDADOS ARTESANALES DESARROLLANDO TÉCNICAS ANCESTRALES, MANTENIENDO NORMAS DE SEGURIDAD, SALUD OCUPACIONAL Y AMBIENTAL.",ARTESANÍAS,OTRAS INDUSTRIAS MANUFACTURERAS
ELABORACIÓN DE ARTÍCULOS DE PELO DE CABALLO,"ELABORAR ARTÍCULOS UTILIZANDO COMO MATERIA PRIMA EL CRIN (PELO DE CABALLO) Y TÉCNICAS ANCESTRALES, ENMARCADO EN NORMAS DE SEGURIDAD, SALUD OCUPACIONAL Y LA PROTECCIÓN DEL MEDIO AMBIENTE.",ARTESANÍAS,OTRAS INDUSTRIAS MANUFACTURERAS
CONFECCIÓN EN CUERO,PRODUCIR ARTÍCULOS DE CUERO (CALZADO Y ARTÍCULOS DE MARROQUINERÍA) TOMANDO EN CONSIDERACIÓN LOS REQUERIMIENTOS ESTABLECIDOS CUMPLIENDO NORMAS DE SEGURIDAD Y SALUD OCUPACIONAL.,ARTESANÍAS,FABRICACIÓN DE CUEROS Y PRODUCTOS CONEXOS
COORDINACIÓN Y MANTENIMIENTO DE UNIDADES DE REFINACIÓN,"REALIZAR LABORES DE SOPORTE Y MANTENIMIENTO DE SISTEMAS, EQUIPOS E INSTRUMENTOS EN UNIDADES DE REFINACIÓN DE PETRÓLEO CRUDO CON LAS DIRECTRICES DEL PROGRAMA DE MANTENIMIENTO Y OPERACIÓN DE LOCACIONES FIJADAS POR LA REFINERÍA","MINAS, CANTERAS Y YACIMIENTOS",EXPLOTACIÓN DE OTRAS MINAS Y CANTERAS
CORTADOR DE CALZADO - ESTAMPADO DE MATERIAS TEXTILES,"ESTAMPAR LAS MATERIAS TEXTILES , APLICANDO TÉCNICAS Y PROCEDIMIENTOS ESTABLECIDOS.","PRODUCTOS TEXTILES, CUERO Y CALZADO",FABRICACIÓN DE PRODUCTOS TEXTILES
COSMETOLOGÍA,PRESTAR SERVICIOS COSMETOLÓGICOS FACIALES Y CORPORALES MANTENIENDO LAS CARACTERÍSTICAS Y EL EQUILIBRIO DEL PH DE LA PIEL SIN INTERVENIR EN EL CAMPO MÉDICO.,ACTIVIDADES COMUNITARIAS,ACTIVIDADES DE ATENCIÓN DE LA SALUD HUMANA
"EJECUCIÓN DE PROCESOS TÉCNICOS DE CONFECCIÓN DE ARTÍCULOS A PARTIR DE HILATURAS, TEJEDURÍAS Y PIELES","CONFECCIONAR ARTÍCULOS ELABORADOS A PARTIR DE HILATURAS, TEJEDURÍAS Y PIELES MEDIANTE LA APLICACIÓN DE CONOCIMIENTOS, EL USO DE MAQUINARIA, UTENSILIOS Y EQUIPO APLICANDO NORMAS DE CALIDAD Y SEGURIDAD OCUPACIONAL","PRODUCTOS TEXTILES, CUERO Y CALZADO",FABRICACIÓN DE PRODUCTOS TEXTILES
ELABORACIÓN DE NOGADAS,"ELABORAR NOGADAS, DE ACUERDO A NORMAS DE SEGURIDAD, SALUD OCUPACIONAL Y AMBIENTAL.",ARTESANÍAS,ELABORACIÓN DE PRODUCTOS ALIMENTICIOS
ELABORACIÓN DE VITRALES ARTÍSTICOS,"PRODUCIR VITRALES A SATISFACCIÓN DEL CLIENTE, MANTENIENDO NORMAS DE SEGURIDAD, SALUD OCUPACIONAL Y AMBIENTAL.",ARTESANÍAS,FABRICACIÓN DE OTROS PRODUCTOS MINERALES NO METÁLICOS
ESCULTURA Y TALLADO DE MADERA,"ELABORAR ESCULTURAS DE MADERA DESARROLLANDO TÉCNICAS ANCESTRALES Y/O INDUSTRIALES, CUMPLIENDO NORMAS DE SEGURIDAD, SALUD OCUPACIONAL Y AMBIENTAL.",ARTESANÍAS,"PRODUCCIÓN DE MADERA Y FABRICACIÓN DE PRODUCTOS DE MADERA Y CORCHO, EXCEPTO MUEBLES; FABRICACIÓN DE ARTÍCULOS DE PAJA Y DE MATERIALES TRENZABLES"
FABRICACIÓN DE FUEGOS DE ARTIFICIO O PIROTÉCNICOS,"PRODUCIR FUEGOS O ARTIFICIOS PIROTÉCNICOS OBSERVANDO NORMAS DE SEGURIDAD, SALUD OCUPACIONAL Y AMBIENTAL.",ARTESANÍAS,"ACTIVIDADES DEPORTIVAS, DE ESPARCIMIENTO Y RECREATIVAS"
GANADERÍA,"EJECUTAR ACTIVIDADES DE GANADERÍA BOVINA EN PRODUCCIÓN DE LECHE, CUIDADO DE ANIMALES, MANEJO DE CRÍAS LACTANTES, CONTROL DEL PERÍODO DE PREÑEZ CONSIDERANDO LINEAMIENTOS SANITARIOS ESTABLECIDOS.",PRODUCCIÓN PECUARIA,"AGRICULTURA, GANADERÍA, CAZA Y ACTIVIDADES DE SERVICIOS CONEXAS"
ACTIVIDADES DE APOYO Y CONTROL EN LA TRANSFORMACIÓN DE ALIMENTOS,ACTIVIDADES DE APOYO Y CONTROL EN TRANSFORMACIÓN DE ALIMENTOS,TRANSFORMACIÓN DE ALIMENTOS (INCLUYE AGROINDUSTRIA),ELABORACIÓN DE PRODUCTOS ALIMENTICIOS
ARTESANÍAS EN MATERIALES DE ORIGEN VEGETAL Y ANIMAL,ELABORAR PRODUCTOS ARTESANALES EN FIBRA ANIMAL O VEGETAL APLICANDO DISEÑOS EN FUNCIÓN DE LOS REQUERIMIENTOS DEL CLIENTE.,ARTESANÍAS,OTRAS INDUSTRIAS MANUFACTURERAS
ELABORACIÓN DE OBJETOS ARTÍSTICOS DE DISEÑO Y ARTESANALES DE PAPEL,"REALIZAR OBJETOS ARTÍSTICOS, DE DISEÑO Y ARTESANALES EN PAPEL DE ACUERDO A TÉCNICAS ESTABLECIDAS CUMPLIENDO LA NORMATIVA DE SEGURIDAD Y SALUD OCUPACIONAL VIGENTES.",ACTIVIDADES COMUNITARIAS,"ACTIVIDADES CREATIVAS, ARTÍSTICAS Y DE ENTRETENIMIENTO"
ESPECIALISTA EN GESTIÓN DE CALIDAD,REALIZAR PROCESOS DE CONTROL Y MEJORA CONTINUA DEL SISTEMA DE GESTIÓN DE CALIDAD DE ACUERDO AL GIRO DEL NEGOCIO DE LA ORGANIZACIÓN Y NORMATIVA APLICABLE.,ACTIVIDADES TIPO SERVICIOS,ACTIVIDADES DE OFICINAS PRINCIPALES; ACTIVIDADES DE CONSULTORÍA DE GESTIÓN
GESTIÓN ADMINISTRATIVA DEL SISTEMA DE SALUD DESCONCENTRADO,"GESTIONAR LA FUNCIONALIDAD DEL MODELO DE ATENCIÓN INTEGRAL DE SALUD, MEDIANTE LA COORDINACIÓN, SUPERVISIÓN Y CONTROL DE LOS PROCESOS AGREGADORES DE VALOR Y HABILITANTES DE APOYO Y ASESORÍA, EN SU JURISDICCIÓN.",ACTIVIDADES DE SALUD,ADMINISTRACIÓN PÚBLICA Y DEFENSA; PLANES DE SEGURIDAD SOCIAL DE AFILIACIÓN OBLIGATORIA
